field_name	type	required	desc	input_source	acceptance_check	degrade_rule
object_id	string	yes	固定为 ATRATIO_P0_A	fixed_literal	eq_ATRATIO_P0_A	no_degrade
atratio_active_buy_ratio	float	no	主动买入占比	level2_ticks_or_order_flow	value_in_reasonable_range	no_signal_if_level2_missing
atratio_active_sell_ratio	float	no	主动卖出占比	level2_ticks_or_order_flow	value_in_reasonable_range	no_signal_if_level2_missing
atratio_time_advantage	float	no	买单先于卖单提交的时间优势	order_time_sequence	0_le_value_le_1	use_0_5_if_time_data_missing
atratio_large_order_ratio	float	no	大单主动成交占比	large_order_detector	value_in_reasonable_range	use_0_if_large_order_missing
atratio_short_qualify	bool	yes	是否允许进入多空/做空场景	market_type_router	bool_present	false_for_ashare_long_only
atratio_signal_valid	bool	yes	当前信号是否有效	validity_router	bool_present	false_if_long_only_or_data_missing
atratio_composite_score	float	yes	综合评分 -1..1	factor_blender	value_in_range_minus1_1	default_0
atratio_signal_type	enum	yes	NONE/STRONG_ACTIVE_BUY/STRONG_ACTIVE_SELL/TIME_ADVANTAGE_BUY/TIME_ADVANTAGE_SELL	rules_engine	in_allowed_set	default_NONE
atratio_signal_strength	int	yes	-2..2 离散强度	score_mapper	value_in_range_-2_2	default_0
atratio_confidence	float	yes	0..1 置信度	data_quality_engine	0_le_value_le_1	default_0_for_ashare_long_only
atratio_kd_filter_action	enum	yes	PASS/BLOCK_BUY/ENHANCE_SHORT	rules_engine	in_allowed_set	default_PASS
atratio_lock_status	enum	yes	UNLOCKED/LOCKED	state_router	in_allowed_set	default_UNLOCKED
atratio_risk_action	enum	yes	NONE	risk_policy	eq_NONE	default_NONE
atratio_size_scalar	float	yes	仓位系数 0..2	size_policy	0_le_value_le_2	default_1
atratio_market_type	enum	yes	ashare_long_only/ashare_long_short/forex/futures	context_router	in_allowed_set	default_ashare_long_only
atratio_abort_reason	string	no	降级或禁做原因	rules_engine	string_or_empty	empty_if_pass
