field_name	type	required	desc	input_source	acceptance_check	degrade_rule
object_id	string	yes	固定为 INSTB_P0_A	fixed_literal	eq_INSTB_P0_A	no_degrade
instb_holder_change_pct	float	yes	机构持仓变动百分比	quarterly_holdings_or_simulated_proxy	numeric_or_nan	use_0_if_prev_quarter_missing
instb_concentration_change	float	yes	筹码集中度变化	shareholder_count_delta	value_ge_0	default_1_if_counts_missing
instb_fund_flow_trend	enum	yes	STRONG_INFLOW/MODERATE_INFLOW/STABLE/MODERATE_OUTFLOW/STRONG_OUTFLOW	fund_holding_delta	in_allowed_set	default_STABLE
instb_data_lag_days	int	yes	季报数据滞后天数	report_date_vs_current_date	value_ge_0	use_999_if_report_date_missing
instb_signal_freshness	enum	yes	FRESH/STALE/OUTDATED	freshness_classifier	in_allowed_set	default_OUTDATED
instb_composite_score	float	yes	机构行为综合评分 0..1	holder_change_plus_concentration_plus_fund_trend	0_le_value_le_1	default_0
instb_signal_type	enum	yes	NONE/ACCUMULATION/DISTRIBUTION/FUND_INFLOW/FUND_OUTFLOW	rules_engine	in_allowed_set	default_NONE
instb_signal_strength	int	yes	-1/0/1 方法层方向强度	method_layer_rules	value_in_range_-2_2	default_0
instb_kd_filter_action	enum	yes	PASS/CONTEXT_ONLY	method_layer_policy	in_allowed_set	default_PASS
instb_method_layer_use	enum	yes	SECTOR_PREFERENCE/STOCK_SCREENING/TREND_CONFIRMATION/RISK_WARNING/CONTEXT_ONLY	method_layer_router	in_allowed_set	default_CONTEXT_ONLY
instb_lock_status	enum	yes	UNLOCKED/LOCKED	score_persistence	in_allowed_set	default_UNLOCKED
instb_risk_action	enum	yes	NONE/REDUCE_POSITION	method_layer_rules	in_allowed_set	default_NONE
instb_size_scalar	float	yes	方法层仓位参考 0..2	method_layer_risk_mapping	0_le_value_le_2	default_1
instb_data_mode	enum	yes	quarterly/simulated/none	input_router	in_allowed_set	default_none
instb_abort_reason	string	no	降级或禁做原因	rules_engine	string_or_empty	empty_if_pass
