path	file_type	producer	scope	status	evidence_mode	note
README.md	INDEX_NOTE	manual	a5_g5_covariance_bodyrun	active	index_note	runtime root note
runtime_execution_card_v1.md	INDEX_NOTE	manual	a5_g5_covariance_bodyrun	active	index_note	execution boundary and commands
runtime_provenance_note_v1.md	INDEX_NOTE	manual	a5_g5_covariance_bodyrun	active	index_note	provenance contract
covariance_bodyrun_preflight_checklist_v1.md	INDEX_NOTE	manual	covariance_bodyrun_preflight	active	index_note	first fresh-run preflight checklist
covariance_bodyrun_runtime_params_template_v1.json	INDEX_NOTE	manual	covariance_bodyrun	active	template	first fresh-run runtime params template
data/covariance_bodyrun_success_template_v1.json	INDEX_NOTE	manual	covariance_bodyrun	active	template	minimal success prep template
data/covariance_bodyrun_failure_template_v1.json	INDEX_NOTE	manual	covariance_bodyrun	active	template	minimal failure prep template
covariance_bodyrun_input_assembly_note_v1.md	INDEX_NOTE	manual	covariance_bodyrun	active	index_note	input assembly scope and field note
data/covariance_bodyrun_input_template_v1.json	INDEX_NOTE	manual	covariance_bodyrun_input	active	template	minimal success input assembly template
data/covariance_bodyrun_input_failure_template_v1.json	INDEX_NOTE	manual	covariance_bodyrun_input	active	template	minimal failure input assembly template
run_covariance_bodyrun_prep_v1.py	GENERATOR	manual	covariance_bodyrun	active	generator	minimal prep runner draft
build_covariance_bodyrun_input_v1.py	GENERATOR	manual	covariance_bodyrun_input	active	generator	minimal input assembly builder
run_covariance_bodyrun_preflight_v1.py	GENERATOR	manual	covariance_bodyrun_preflight	active	generator	first fresh-run preflight runner
fetch_covariance_benchmark_series_v1.py	GENERATOR	manual	covariance_benchmark_series	active	generator	fetch benchmark daily series for first fresh-run
build_covariance_returns_input_v1.py	GENERATOR	manual	covariance_returns_input	active	generator	build asset/benchmark/active returns latest from existing Tushare daily assets
run_covariance_bodyrun_fresh_v1.py	GENERATOR	manual	covariance_bodyrun_fresh	active	generator	run benchmark_relative_sample_covariance first fresh-run
run_covariance_stability_check_v1.py	GENERATOR	manual	covariance_stability	active	generator	compare current and adjacent windows for minimum stability checking
artifacts/covariance_bodyrun/covariance_bodyrun_success_latest.json	ARTIFACT	run_covariance_bodyrun_prep_v1.py	covariance_bodyrun	active	hard	success template-level smoke-run output
artifacts/covariance_bodyrun/covariance_bodyrun_failure_latest.json	ARTIFACT	run_covariance_bodyrun_prep_v1.py	covariance_bodyrun	active	hard	failure template-level smoke-run output
artifacts/covariance_bodyrun_input/covariance_bodyrun_input_success_latest.json	ARTIFACT	build_covariance_bodyrun_input_v1.py	covariance_bodyrun_input	active	hard	success input assembly latest
artifacts/covariance_bodyrun_input/covariance_bodyrun_input_failure_latest.json	ARTIFACT	build_covariance_bodyrun_input_v1.py	covariance_bodyrun_input	active	hard	failure input assembly latest
artifacts/covariance_bodyrun_preflight/covariance_bodyrun_preflight_latest.json	ARTIFACT	run_covariance_bodyrun_preflight_v1.py	covariance_bodyrun_preflight	active	hard	first fresh-run preflight latest
artifacts/covariance_benchmark_series/covariance_benchmark_series__000300_SH__20260401_20260630.csv	ARTIFACT	fetch_covariance_benchmark_series_v1.py	covariance_benchmark_series	active	hard	benchmark daily series latest
artifacts/covariance_benchmark_series/covariance_benchmark_series__000300_SH__20260401_20260630__metadata.json	ARTIFACT	fetch_covariance_benchmark_series_v1.py	covariance_benchmark_series	active	hard	benchmark daily series metadata latest
artifacts/covariance_returns_input/asset_returns_panel_latest.csv	ARTIFACT	build_covariance_returns_input_v1.py	covariance_returns_input	active	hard	asset returns panel latest
artifacts/covariance_returns_input/benchmark_returns_series_latest.csv	ARTIFACT	build_covariance_returns_input_v1.py	covariance_returns_input	active	hard	benchmark returns series latest
artifacts/covariance_returns_input/active_returns_panel_latest.csv	ARTIFACT	build_covariance_returns_input_v1.py	covariance_returns_input	active	hard	active returns panel latest
artifacts/covariance_returns_input/covariance_returns_input_summary_latest.json	ARTIFACT	build_covariance_returns_input_v1.py	covariance_returns_input	active	hard	returns input summary latest
artifacts/covariance_bodyrun_fresh/covariance_matrix_latest.csv	ARTIFACT	run_covariance_bodyrun_fresh_v1.py	covariance_bodyrun_fresh	active	hard	first fresh-run covariance matrix latest
artifacts/covariance_bodyrun_fresh/covariance_bodyrun_fresh_latest.json	ARTIFACT	run_covariance_bodyrun_fresh_v1.py	covariance_bodyrun_fresh	active	hard	first fresh-run summary latest
artifacts/covariance_adjacent_window/raw_daily/t02_daily_tushare_batch__sample20_adjacent60__20251215_20260331.csv	ARTIFACT	fetch_t02_daily_batch_tushare_v1.py	covariance_adjacent_window	active	hard	adjacent 60d raw daily latest
artifacts/covariance_adjacent_window/raw_daily/t02_daily_tushare_batch__sample20_adjacent60__20251215_20260331__metadata.json	ARTIFACT	fetch_t02_daily_batch_tushare_v1.py	covariance_adjacent_window	active	hard	adjacent 60d raw daily metadata latest
artifacts/covariance_adjacent_window/benchmark/covariance_benchmark_series__000300_SH__20251215_20260331.csv	ARTIFACT	fetch_covariance_benchmark_series_v1.py	covariance_adjacent_window	active	hard	adjacent benchmark series latest
artifacts/covariance_adjacent_window/benchmark/covariance_benchmark_series__000300_SH__20251215_20260331__metadata.json	ARTIFACT	fetch_covariance_benchmark_series_v1.py	covariance_adjacent_window	active	hard	adjacent benchmark metadata latest
artifacts/covariance_adjacent_window/returns/asset_returns_panel_adjacent_latest.csv	ARTIFACT	build_covariance_returns_input_v1.py	covariance_adjacent_window	active	hard	adjacent asset returns latest
artifacts/covariance_adjacent_window/returns/benchmark_returns_series_adjacent_latest.csv	ARTIFACT	build_covariance_returns_input_v1.py	covariance_adjacent_window	active	hard	adjacent benchmark returns latest
artifacts/covariance_adjacent_window/returns/active_returns_panel_adjacent_latest.csv	ARTIFACT	build_covariance_returns_input_v1.py	covariance_adjacent_window	active	hard	adjacent active returns latest
artifacts/covariance_adjacent_window/returns/covariance_returns_input_adjacent_summary_latest.json	ARTIFACT	build_covariance_returns_input_v1.py	covariance_adjacent_window	active	hard	adjacent returns input summary latest
artifacts/covariance_adjacent_window/fresh/covariance_matrix_adjacent_latest.csv	ARTIFACT	run_covariance_bodyrun_fresh_v1.py	covariance_adjacent_window	active	hard	adjacent covariance matrix latest
artifacts/covariance_adjacent_window/fresh/covariance_bodyrun_fresh_adjacent_latest.json	ARTIFACT	run_covariance_bodyrun_fresh_v1.py	covariance_adjacent_window	active	hard	adjacent fresh-run summary latest
artifacts/covariance_stability/covariance_stability_check_latest.json	ARTIFACT	run_covariance_stability_check_v1.py	covariance_stability	active	hard	minimum stability check summary latest
