symbol,000001.SZ,000002.SZ,000651.SZ,000725.SZ,002230.SZ,002594.SZ,300750.SZ,600019.SH,600030.SH,600050.SH,600276.SH,600309.SH,600519.SH,600760.SH,600900.SH,601012.SH,601225.SH,601318.SH,601899.SH,688981.SH
000001.SZ,8.655930630392746e-05,1.0864587614619416e-05,5.330881235114518e-05,8.512126904392633e-06,-4.088308753702391e-05,-7.333584507051745e-06,1.4923325963909382e-05,1.7540526560266582e-05,2.787477354189288e-05,1.4201606932812712e-05,1.7495478709661065e-05,-3.916447813066636e-05,6.228724779592626e-05,-6.0616909125888946e-06,6.261495793795184e-05,-2.0015694538931495e-05,4.538475238826682e-06,3.660261197613405e-05,-8.949107934243022e-05,-4.960793034029951e-05
000002.SZ,1.0864587614619416e-05,0.00037608069536295097,2.969712707696017e-05,-2.676910267448572e-06,6.17799184872802e-05,-8.143295504532253e-05,2.0335795418559067e-05,4.641790938855829e-05,3.535854494943192e-05,6.721757321062857e-05,6.037723536746718e-05,1.093625321145657e-05,0.00010446887055676051,6.780597224671116e-05,-1.3204336148915038e-05,-4.5874497072074395e-06,-3.8117995762983904e-05,7.846841046709774e-05,7.789239141654316e-05,8.417151516631455e-06
000651.SZ,5.330881235114518e-05,2.969712707696017e-05,8.508422942641507e-05,-2.3110902855191895e-05,-1.9025513555156288e-05,-6.875599182316917e-08,4.361049208488441e-05,2.894660593859298e-06,2.1367086680672457e-05,1.6725353862247352e-05,2.494503727131936e-05,-4.8617645670410725e-05,7.318856438331903e-05,1.9505165495933246e-05,5.572359620667229e-05,-3.2205780852163034e-05,1.6197327023932075e-06,3.0272020767893638e-05,-0.0001312016622414041,-2.78459505888499e-05
000725.SZ,8.512126904392633e-06,-2.676910267448572e-06,-2.3110902855191895e-05,0.0002540242535652461,-3.5090380921306835e-06,-4.295814963184012e-05,-7.534496551325983e-05,6.076604185274171e-05,5.071061508830784e-07,4.852052262638204e-05,-5.8555999252335306e-05,8.120876794766043e-05,-7.074738402747309e-05,4.558445291595154e-05,-2.2116420324376077e-05,2.4839504974036626e-05,-1.3118152515021575e-05,-3.65709378842791e-05,0.00012034317721480234,-5.738520772724223e-06
002230.SZ,-4.088308753702391e-05,6.17799184872802e-05,-1.9025513555156288e-05,-3.5090380921306835e-06,0.0004501437486740016,-9.36253584296594e-05,-8.866042728881629e-05,-7.442035183557147e-05,-2.9812125177090984e-07,3.524209585365425e-05,0.00010255311848879621,-0.0001347608237368438,6.318708304872126e-05,-1.2755674850369766e-06,-6.687716885327288e-05,8.127495317253371e-05,-9.659576725700587e-05,1.1091083067178352e-05,9.65176705325032e-05,2.4177515517109628e-05
002594.SZ,-7.333584507051745e-06,-8.143295504532253e-05,-6.875599182316917e-08,-4.295814963184012e-05,-9.36253584296594e-05,0.00047944917697543356,6.096928912056788e-05,4.892913482987702e-05,-3.476772068160629e-05,1.7061099942533787e-05,-6.189502356466048e-05,-3.182362812585347e-05,1.0825372593953814e-05,9.826005942698978e-05,7.545974366412333e-05,7.739265072631427e-05,0.00019384710545452286,-5.656536508990868e-05,-1.1075115300594283e-05,-8.134056522785091e-06
300750.SZ,1.4923325963909382e-05,2.0335795418559067e-05,4.361049208488441e-05,-7.534496551325983e-05,-8.866042728881629e-05,6.096928912056788e-05,0.00033982957629573925,-2.3634108693362495e-05,-5.347796120915612e-07,-2.4585910463507144e-05,5.895087656882043e-05,-8.186393971067986e-05,4.9322497978509746e-05,-9.728090598033251e-05,4.2195537629423035e-05,4.536529542216833e-05,8.93287399164694e-05,2.167442683042169e-05,-0.00020081159037858007,-5.396654808440152e-07
600019.SH,1.7540526560266582e-05,4.641790938855829e-05,2.894660593859298e-06,6.076604185274171e-05,-7.442035183557147e-05,4.892913482987702e-05,-2.3634108693362495e-05,0.00018564881186590858,3.5677494340986317e-07,6.090807857356146e-05,-3.534345572765247e-05,0.00014364458678673754,-3.601527557688909e-05,3.4495609769694486e-06,3.232401927916061e-05,8.423557892877515e-06,0.00012499263690333304,-4.6949045496114994e-05,8.802689096698789e-05,-7.140589793834396e-05
600030.SH,2.787477354189288e-05,3.535854494943192e-05,2.1367086680672457e-05,5.071061508830784e-07,-2.9812125177090984e-07,-3.476772068160629e-05,-5.347796120915612e-07,3.5677494340986317e-07,6.757359946294835e-05,-7.318274000423727e-06,2.901888701423604e-05,3.820887933327308e-05,6.067799795630182e-05,-2.9576082873708207e-05,8.201232170429371e-06,-3.777620599720655e-06,-1.1546253129515345e-05,7.493740081274453e-05,6.5100607063028635e-06,-3.637792223521072e-05
600050.SH,1.4201606932812712e-05,6.721757321062857e-05,1.6725353862247352e-05,4.852052262638204e-05,3.524209585365425e-05,1.7061099942533787e-05,-2.4585910463507144e-05,6.090807857356146e-05,-7.318274000423727e-06,0.00015006010142405723,5.268306072313757e-07,3.234561791581924e-05,-1.9919750916590864e-05,5.536879203631198e-05,2.3993914412594423e-05,-1.6158010760768046e-05,5.5331393531737216e-05,-4.2194401299521163e-05,1.1296556129698863e-06,2.8219135954712934e-05
600276.SH,1.7495478709661065e-05,6.037723536746718e-05,2.494503727131936e-05,-5.8555999252335306e-05,0.00010255311848879621,-6.189502356466048e-05,5.895087656882043e-05,-3.534345572765247e-05,2.901888701423604e-05,5.268306072313757e-07,0.00026210076227282936,-4.776417243613129e-05,8.697338186670581e-05,-1.2901491971480253e-05,-1.6512056388037076e-05,-3.9225153301495865e-05,-9.342815069298816e-05,8.26493668108636e-05,-5.0775967150062864e-05,1.797798325986507e-05
600309.SH,-3.916447813066636e-05,1.093625321145657e-05,-4.8617645670410725e-05,8.120876794766043e-05,-0.0001347608237368438,-3.182362812585347e-05,-8.186393971067986e-05,0.00014364458678673754,3.820887933327308e-05,3.234561791581924e-05,-4.776417243613129e-05,0.0005723542488207274,-0.00012276525221732807,3.315615362705169e-05,-2.403192213132921e-05,-9.882412836844801e-05,9.014853246710368e-05,3.505368207349078e-05,0.00024328315002290866,-5.763494952772353e-05
600519.SH,6.228724779592626e-05,0.00010446887055676051,7.318856438331903e-05,-7.074738402747309e-05,6.318708304872126e-05,1.0825372593953814e-05,4.9322497978509746e-05,-3.601527557688909e-05,6.067799795630182e-05,-1.9919750916590864e-05,8.697338186670581e-05,-0.00012276525221732807,0.00029361776044375677,-5.454289143992986e-06,4.723721120590143e-05,2.9664160008455188e-05,-2.4029994857368642e-05,0.00013065915904545995,-9.138991960077184e-05,-0.00012434604753940436
600760.SH,-6.0616909125888946e-06,6.780597224671116e-05,1.9505165495933246e-05,4.558445291595154e-05,-1.2755674850369766e-06,9.826005942698978e-05,-9.728090598033251e-05,3.4495609769694486e-06,-2.9576082873708207e-05,5.536879203631198e-05,-1.2901491971480253e-05,3.315615362705169e-05,-5.454289143992986e-06,0.00041744140240029424,4.2509167808478866e-05,-4.421470452658919e-05,-3.695119772690623e-06,-3.1421868804119565e-05,-3.252206484774219e-05,3.2049294834916095e-05
600900.SH,6.261495793795184e-05,-1.3204336148915038e-05,5.572359620667229e-05,-2.2116420324376077e-05,-6.687716885327288e-05,7.545974366412333e-05,4.2195537629423035e-05,3.232401927916061e-05,8.201232170429371e-06,2.3993914412594423e-05,-1.6512056388037076e-05,-2.403192213132921e-05,4.723721120590143e-05,4.2509167808478866e-05,0.00011438787382944338,-4.295913298893764e-05,0.00010150959092564195,1.3878799588245309e-05,-0.0001410515997949637,-6.795524557278846e-05
601012.SH,-2.0015694538931495e-05,-4.5874497072074395e-06,-3.2205780852163034e-05,2.4839504974036626e-05,8.127495317253371e-05,7.739265072631427e-05,4.536529542216833e-05,8.423557892877515e-06,-3.777620599720655e-06,-1.6158010760768046e-05,-3.9225153301495865e-05,-9.882412836844801e-05,2.9664160008455188e-05,-4.421470452658919e-05,-4.295913298893764e-05,0.000592672390481545,4.863593265584428e-05,-2.1677206051756603e-05,2.583447619325185e-05,-2.0489618582847193e-05
601225.SH,4.538475238826682e-06,-3.8117995762983904e-05,1.6197327023932075e-06,-1.3118152515021575e-05,-9.659576725700587e-05,0.00019384710545452286,8.93287399164694e-05,0.00012499263690333304,-1.1546253129515345e-05,5.5331393531737216e-05,-9.342815069298816e-05,9.014853246710368e-05,-2.4029994857368642e-05,-3.695119772690623e-06,0.00010150959092564195,4.863593265584428e-05,0.0005530816792560999,-5.087303039421619e-05,-5.6209704580449584e-05,-8.695691476899811e-05
601318.SH,3.660261197613405e-05,7.846841046709774e-05,3.0272020767893638e-05,-3.65709378842791e-05,1.1091083067178352e-05,-5.656536508990868e-05,2.167442683042169e-05,-4.6949045496114994e-05,7.493740081274453e-05,-4.2194401299521163e-05,8.26493668108636e-05,3.505368207349078e-05,0.00013065915904545995,-3.1421868804119565e-05,1.3878799588245309e-05,-2.1677206051756603e-05,-5.087303039421619e-05,0.00021001907898361396,4.113302284568685e-05,-5.52010260933221e-05
601899.SH,-8.949107934243022e-05,7.789239141654316e-05,-0.0001312016622414041,0.00012034317721480234,9.65176705325032e-05,-1.1075115300594283e-05,-0.00020081159037858007,8.802689096698789e-05,6.5100607063028635e-06,1.1296556129698863e-06,-5.0775967150062864e-05,0.00024328315002290866,-9.138991960077184e-05,-3.252206484774219e-05,-0.0001410515997949637,2.583447619325185e-05,-5.6209704580449584e-05,4.113302284568685e-05,0.0006958806589861496,-3.6057096852589185e-05
688981.SH,-4.960793034029951e-05,8.417151516631455e-06,-2.78459505888499e-05,-5.738520772724223e-06,2.4177515517109628e-05,-8.134056522785091e-06,-5.396654808440152e-07,-7.140589793834396e-05,-3.637792223521072e-05,2.8219135954712934e-05,1.797798325986507e-05,-5.763494952772353e-05,-0.00012434604753940436,3.2049294834916095e-05,-6.795524557278846e-05,-2.0489618582847193e-05,-8.695691476899811e-05,-5.52010260933221e-05,-3.6057096852589185e-05,0.0003137248695903479
