trade_date,symbol,symbol_name,open,high,low,close,pre_close,volume,amount,data_source,asof_date,notes
20260105,000001.SZ,平安银行,11.42,11.51,11.41,11.5,11.41,875491.18,1003479.224,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,000002.SZ,万科A,4.64,4.78,4.63,4.75,4.65,1938535.19,917143.49,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,000651.SZ,格力电器,40.34,40.8,40.22,40.76,40.22,496728.62,2013848.01,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,000725.SZ,京东方A,4.22,4.27,4.19,4.23,4.21,8507615.74,3594432.719,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,002230.SZ,科大讯飞,51.0,54.54,51.0,53.84,50.29,1346857.3,7127686.667,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,002594.SZ,比亚迪,98.4,99.48,97.9,98.11,97.72,382625.21,3762797.878,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,300750.SZ,宁德时代,370.0,378.0,368.19,377.5,367.26,336881.35,12583419.574,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,600019.SH,宝钢股份,7.49,7.5,7.25,7.28,7.45,1061683.49,775873.615,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,600030.SH,中信证券,28.83,29.36,28.8,29.33,28.71,1851770.13,5402908.222,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,600050.SH,中国联通,5.13,5.16,5.11,5.16,5.11,1919288.34,985728.254,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,600276.SH,恒瑞医药,60.06,63.49,59.99,63.08,59.57,851170.28,5316701.689,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,600309.SH,万华化学,77.2,78.81,76.23,77.33,76.68,261561.4,2019846.152,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,600519.SH,贵州茅台,1385.0,1431.88,1385.0,1426.0,1377.18,70949.42,10018086.372,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,600760.SH,中航沈飞,57.04,58.5,56.92,58.28,56.15,402092.29,2328451.402,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,600900.SH,长江电力,27.2,27.31,27.1,27.28,27.19,765691.31,2084118.017,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,601012.SH,隆基绿能,18.43,18.5,18.23,18.49,18.2,1063532.4,1958453.795,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,601225.SH,陕西煤业,21.54,21.98,21.46,21.62,21.32,378421.09,820809.675,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,601318.SH,中国平安,69.2,73.0,69.2,72.36,68.4,1228831.0,8824564.893,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,601899.SH,紫金矿业,35.3,35.64,34.27,35.4,34.47,3103935.47,10870304.747,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
20260105,688981.SH,中芯国际,126.84,130.17,126.2,129.95,122.83,911394.04,11742866.839,tushare:daily,20260105,daily_ohlcv_raw_from_tushare
