trade_date,symbol,symbol_name,open,high,low,close,pre_close,volume,amount,data_source,asof_date,notes
20250701,000001.SZ,平安银行,12.06,12.33,12.06,12.3,12.07,1354341.08,1653806.75,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,000002.SZ,万科A,6.42,6.42,6.31,6.35,6.42,598318.0,380416.981,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,000651.SZ,格力电器,45.05,45.48,44.85,45.45,44.92,242453.77,1096683.969,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,000725.SZ,京东方A,4.0,4.01,3.97,3.99,3.99,2199456.46,876210.057,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,002230.SZ,科大讯飞,47.93,48.08,47.4,47.83,47.88,178244.68,851643.562,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,002594.SZ,比亚迪,330.3,333.35,328.79,331.34,331.91,88518.04,2931303.337,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,300750.SZ,宁德时代,252.5,252.74,249.88,251.5,252.22,95322.58,2395104.336,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,600019.SH,宝钢股份,6.59,6.62,6.56,6.6,6.59,475874.88,313970.428,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,600030.SH,中信证券,27.63,27.78,27.31,27.39,27.62,707623.48,1940654.049,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,600050.SH,中国联通,5.35,5.36,5.33,5.35,5.34,1160695.82,620376.118,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,600276.SH,恒瑞医药,51.89,52.74,51.8,52.46,51.9,397724.96,2084478.374,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,600309.SH,万华化学,54.03,54.49,53.93,53.98,54.26,161936.8,876513.676,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,600519.SH,贵州茅台,1409.0,1411.94,1403.31,1405.1,1409.52,19878.19,2794423.203,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,600760.SH,中航沈飞,58.64,58.64,56.94,57.94,58.62,325515.66,1870649.431,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,600900.SH,长江电力,30.2,30.52,30.15,30.37,30.14,594762.75,1806986.262,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,601012.SH,隆基绿能,14.93,14.95,14.75,14.86,15.02,634918.58,942363.553,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,601225.SH,陕西煤业,19.2,19.32,19.05,19.25,19.24,279872.78,537665.747,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,601318.SH,中国平安,55.66,55.89,55.3,55.7,55.48,352746.36,1961556.961,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,601899.SH,紫金矿业,19.69,19.92,19.38,19.9,19.5,1239334.16,2435566.618,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250701,688981.SH,中芯国际,88.0,88.85,87.65,87.76,88.17,216887.92,1911740.652,tushare:daily,20250701,daily_ohlcv_raw_from_tushare
20250702,000001.SZ,平安银行,12.31,12.41,12.23,12.32,12.3,1200411.84,1481842.213,tushare:daily,20250702,daily_ohlcv_raw_from_tushare
20250702,000002.SZ,万科A,6.36,6.52,6.34,6.5,6.35,1310859.04,843883.002,tushare:daily,20250702,daily_ohlcv_raw_from_tushare
20250702,000651.SZ,格力电器,45.55,46.72,45.49,46.41,45.45,542095.94,2510495.844,tushare:daily,20250702,daily_ohlcv_raw_from_tushare
20250702,000725.SZ,京东方A,3.99,3.99,3.97,3.98,3.99,2008557.26,798963.311,tushare:daily,20250702,daily_ohlcv_raw_from_tushare
20250702,002230.SZ,科大讯飞,47.52,47.7,46.9,47.14,47.83,172103.43,811718.968,tushare:daily,20250702,daily_ohlcv_raw_from_tushare
20250702,002594.SZ,比亚迪,332.0,333.86,328.93,330.66,331.34,93270.11,3083342.65,tushare:daily,20250702,daily_ohlcv_raw_from_tushare
