side	metric	value
label	window_consistency_label	cross_window_return_sign_majority_positive__active_sign_majority_negative__still_need_evidence
v0_current_best	benchmark_total_return	0.11896427
v0_current_best	net_total_return	-0.00947495
v0_current_best	holdout_net_total_return	-0.00291711
v0_current_best	net_active_total_return	-0.12843922
v0_current_best	net_max_drawdown	-0.01794461
v1_adjacent	benchmark_total_return	-0.02857627
v1_adjacent	net_total_return	0.00197364
v1_adjacent	holdout_net_total_return	0.00485478
v1_adjacent	net_active_total_return	0.03054991
v1_adjacent	net_max_drawdown	-0.00983588
v2_third	benchmark_total_return	0.02537539
v2_third	net_total_return	0.00740809
v2_third	holdout_net_total_return	0.00072619
v2_third	net_active_total_return	-0.0179673
v2_third	net_max_drawdown	-0.00699902
majority	net_total_return_sign	2_positive_1_negative
majority	holdout_net_total_return_sign	2_positive_1_negative
majority	net_active_total_return_sign	1_positive_2_negative
majority	net_max_drawdown_ordering	v2_best__v1_second__v0_worst
interpretation	primary_tension	portfolio_absolute_returns_partially_recovered_but_relative_performance_against_benchmark_remains_majority_negative
