section	metric	value
gross_metrics	trade_days	69
gross_metrics	positive_days	30
gross_metrics	avg_daily_return	3.215e-05
gross_metrics	volatility	0.00130124
gross_metrics	total_return	0.00216258
gross_metrics	max_drawdown	-0.00983588
gross_metrics	benchmark_total_return	-0.02857627
gross_metrics	active_total_return	0.03073885
net_metrics	trade_days	69
net_metrics	positive_days	30
net_metrics	avg_daily_return	3.124e-05
net_metrics	volatility	0.00130095
net_metrics	total_return	0.0020996
net_metrics	max_drawdown	-0.00983588
net_metrics	benchmark_total_return	-0.02857627
net_metrics	active_total_return	0.03067587
in_sample_gross	trade_days	54
in_sample_gross	positive_days	21
in_sample_gross	avg_daily_return	-4.889e-05
in_sample_gross	volatility	0.00125832
in_sample_gross	total_return	-0.00267919
in_sample_gross	max_drawdown	-0.00983588
in_sample_gross	benchmark_total_return	0.02047788
in_sample_gross	active_total_return	-0.02315707
in_sample_net	trade_days	54
in_sample_net	positive_days	21
in_sample_net	avg_daily_return	-5.005e-05
in_sample_net	volatility	0.00125786
in_sample_net	total_return	-0.00274187
in_sample_net	max_drawdown	-0.00983588
in_sample_net	benchmark_total_return	0.02047788
in_sample_net	active_total_return	-0.02321974
holdout_gross	trade_days	15
holdout_gross	positive_days	9
holdout_gross	avg_daily_return	0.00032391
holdout_gross	volatility	0.0014071
holdout_gross	total_return	0.00485478
holdout_gross	max_drawdown	-0.00547142
holdout_gross	benchmark_total_return	-0.04806978
holdout_gross	active_total_return	0.05292456
holdout_net	trade_days	15
holdout_net	positive_days	9
holdout_net	avg_daily_return	0.00032391
holdout_net	volatility	0.0014071
holdout_net	total_return	0.00485478
holdout_net	max_drawdown	-0.00547142
holdout_net	benchmark_total_return	-0.04806978
holdout_net	active_total_return	0.05292456
turnover	entry_turnover	0.125747
turnover	exit_turnover	0.0
turnover	turnover_assumption	single_entry_static_weight_minimal_backtest
