scenario_id	cost_bps	metric	value
fv_gate_cost_sensitivity_v0_5bps	5.0	net_total_return	0.0020996
fv_gate_cost_sensitivity_v0_5bps	5.0	holdout_net_total_return	0.00485478
fv_gate_cost_sensitivity_v0_5bps	5.0	net_active_total_return	0.03067587
fv_gate_cost_sensitivity_v0_5bps	5.0	net_max_drawdown	-0.00983588
fv_gate_cost_sensitivity_v0_15bps	15.0	net_total_return	0.00197364
fv_gate_cost_sensitivity_v0_15bps	15.0	holdout_net_total_return	0.00485478
fv_gate_cost_sensitivity_v0_15bps	15.0	net_active_total_return	0.03054991
fv_gate_cost_sensitivity_v0_15bps	15.0	net_max_drawdown	-0.00983588
fv_gate_cost_sensitivity_v0_25bps	25.0	net_total_return	0.00184768
fv_gate_cost_sensitivity_v0_25bps	25.0	holdout_net_total_return	0.00485478
fv_gate_cost_sensitivity_v0_25bps	25.0	net_active_total_return	0.03042395
fv_gate_cost_sensitivity_v0_25bps	25.0	net_max_drawdown	-0.00983588
