section	metric	value
gross_metrics	trade_days	69
gross_metrics	positive_days	30
gross_metrics	avg_daily_return	2.535e-05
gross_metrics	volatility	0.0012787
gross_metrics	total_return	0.00169453
gross_metrics	max_drawdown	-0.00965788
gross_metrics	benchmark_total_return	-0.02857627
gross_metrics	active_total_return	0.0302708
net_metrics	trade_days	69
net_metrics	positive_days	30
net_metrics	avg_daily_return	2.248e-05
net_metrics	volatility	0.00127804
net_metrics	total_return	0.00149584
net_metrics	max_drawdown	-0.00966033
net_metrics	benchmark_total_return	-0.02857627
net_metrics	active_total_return	0.03007211
in_sample_gross	trade_days	54
in_sample_gross	positive_days	21
in_sample_gross	avg_daily_return	-5.325e-05
in_sample_gross	volatility	0.00123391
in_sample_gross	total_return	-0.00291233
in_sample_gross	max_drawdown	-0.00965788
in_sample_gross	benchmark_total_return	0.02047788
in_sample_gross	active_total_return	-0.0233902
in_sample_net	trade_days	54
in_sample_net	positive_days	21
in_sample_net	avg_daily_return	-5.686e-05
in_sample_net	volatility	0.00123274
in_sample_net	total_return	-0.00310687
in_sample_net	max_drawdown	-0.00966033
in_sample_net	benchmark_total_return	0.02047788
in_sample_net	active_total_return	-0.02358474
holdout_gross	trade_days	15
holdout_gross	positive_days	9
holdout_gross	avg_daily_return	0.00030833
holdout_gross	volatility	0.00139211
holdout_gross	total_return	0.00462031
holdout_gross	max_drawdown	-0.00545405
holdout_gross	benchmark_total_return	-0.04806978
holdout_gross	active_total_return	0.05269009
holdout_net	trade_days	15
holdout_net	positive_days	9
holdout_net	avg_daily_return	0.00030811
holdout_net	volatility	0.00139232
holdout_net	total_return	0.00461705
holdout_net	max_drawdown	-0.00545727
holdout_net	benchmark_total_return	-0.04806978
holdout_net	active_total_return	0.05268683
turnover	entry_turnover	0.125747
turnover	rebalance_turnover_total	0.00655254
turnover	rebalance_event_count	3
turnover	rebalance_trade_dates	20260113|20260210|20260318
turnover	exit_turnover	0.0
turnover	total_turnover	0.13229954
turnover	turnover_assumption	fixed_period_rebalance_v0_minimal_backtest
holding_rule	holding_rule_id	fixed_period_rebalance_v0
holding_rule	rebalance_every_trade_days	20
