side	metric	value
baseline	net_total_return	0.00197364
baseline	holdout_net_total_return	0.00485478
baseline	net_active_total_return	0.03054991
baseline	net_max_drawdown	-0.00983588
baseline	entry_turnover	0.125747
scenario	net_total_return	0.00149584
scenario	holdout_net_total_return	0.00461705
scenario	net_active_total_return	0.03007211
scenario	net_max_drawdown	-0.00966033
scenario	entry_turnover	0.125747
scenario	rebalance_turnover_total	0.00655254
scenario	rebalance_event_count	3
delta	delta_net_total_return	-0.0004778
delta	delta_holdout_net_total_return	-0.00023773
delta	delta_net_active_total_return	-0.0004778
delta	delta_net_max_drawdown	0.00017555
label	holding_rule_label	holding_rule_stable__still_need_evidence
