section	metric	value
gross_metrics	trade_days	60
gross_metrics	positive_days	24
gross_metrics	avg_daily_return	-0.00030129
gross_metrics	volatility	0.00308785
gross_metrics	total_return	-0.01819829
gross_metrics	max_drawdown	-0.03144631
gross_metrics	benchmark_total_return	0.11896427
gross_metrics	active_total_return	-0.13716256
net_metrics	trade_days	60
net_metrics	positive_days	24
net_metrics	avg_daily_return	-0.00030744
net_metrics	volatility	0.00308389
net_metrics	total_return	-0.0185599
net_metrics	max_drawdown	-0.03144631
net_metrics	benchmark_total_return	0.11896427
net_metrics	active_total_return	-0.13752417
in_sample_gross	trade_days	45
in_sample_gross	positive_days	18
in_sample_gross	avg_daily_return	-0.00023408
in_sample_gross	volatility	0.00284117
in_sample_gross	total_return	-0.01065912
in_sample_gross	max_drawdown	-0.02173655
in_sample_gross	benchmark_total_return	0.05923536
in_sample_gross	active_total_return	-0.06989448
in_sample_net	trade_days	45
in_sample_net	positive_days	18
in_sample_net	avg_daily_return	-0.00024228
in_sample_net	volatility	0.00283561
in_sample_net	total_return	-0.01102351
in_sample_net	max_drawdown	-0.02173655
in_sample_net	benchmark_total_return	0.05923536
in_sample_net	active_total_return	-0.07025887
holdout_gross	trade_days	15
holdout_gross	positive_days	6
holdout_gross	avg_daily_return	-0.00050291
holdout_gross	volatility	0.00372403
holdout_gross	total_return	-0.0076204
holdout_gross	max_drawdown	-0.01641826
holdout_gross	benchmark_total_return	0.0563887
holdout_gross	active_total_return	-0.0640091
holdout_net	trade_days	15
holdout_net	positive_days	6
holdout_net	avg_daily_return	-0.00050291
holdout_net	volatility	0.00372403
holdout_net	total_return	-0.0076204
holdout_net	max_drawdown	-0.01641826
holdout_net	benchmark_total_return	0.0563887
holdout_net	active_total_return	-0.0640091
turnover	entry_turnover	0.246
turnover	exit_turnover	0.0
turnover	turnover_assumption	single_entry_static_weight_minimal_backtest
