section	metric	value
gross_metrics	trade_days	60
gross_metrics	positive_days	24
gross_metrics	avg_daily_return	-0.00027721
gross_metrics	volatility	0.00294566
gross_metrics	total_return	-0.01675315
gross_metrics	max_drawdown	-0.03039519
gross_metrics	benchmark_total_return	0.11896427
gross_metrics	active_total_return	-0.13571742
net_metrics	trade_days	60
net_metrics	positive_days	24
net_metrics	avg_daily_return	-0.00028277
net_metrics	volatility	0.0029422
net_metrics	total_return	-0.01708055
net_metrics	max_drawdown	-0.03039519
net_metrics	benchmark_total_return	0.11896427
net_metrics	active_total_return	-0.13604482
in_sample_gross	trade_days	45
in_sample_gross	positive_days	18
in_sample_gross	avg_daily_return	-0.00023289
in_sample_gross	volatility	0.00274644
in_sample_gross	total_return	-0.01059455
in_sample_gross	max_drawdown	-0.02164325
in_sample_gross	benchmark_total_return	0.05923536
in_sample_gross	active_total_return	-0.06982991
in_sample_net	trade_days	45
in_sample_net	positive_days	18
in_sample_net	avg_daily_return	-0.00024031
in_sample_net	volatility	0.0027416
in_sample_net	total_return	-0.010924
in_sample_net	max_drawdown	-0.02164325
in_sample_net	benchmark_total_return	0.05923536
in_sample_net	active_total_return	-0.07015936
holdout_gross	trade_days	15
holdout_gross	positive_days	6
holdout_gross	avg_daily_return	-0.00041015
holdout_gross	volatility	0.00347209
holdout_gross	total_return	-0.00622454
holdout_gross	max_drawdown	-0.01424283
holdout_gross	benchmark_total_return	0.0563887
holdout_gross	active_total_return	-0.06261325
holdout_net	trade_days	15
holdout_net	positive_days	6
holdout_net	avg_daily_return	-0.00041015
holdout_net	volatility	0.00347209
holdout_net	total_return	-0.00622454
holdout_net	max_drawdown	-0.01424283
holdout_net	benchmark_total_return	0.0563887
holdout_net	active_total_return	-0.06261325
turnover	entry_turnover	0.222367
turnover	exit_turnover	0.0
turnover	turnover_assumption	single_entry_static_weight_minimal_backtest
