section	metric	value
gross_metrics	trade_days	60
gross_metrics	positive_days	24
gross_metrics	avg_daily_return	-0.00020283
gross_metrics	volatility	0.00215536
gross_metrics	total_return	-0.0122352
gross_metrics	max_drawdown	-0.02229168
gross_metrics	benchmark_total_return	0.11896427
gross_metrics	active_total_return	-0.13119947
net_metrics	trade_days	60
net_metrics	positive_days	24
net_metrics	avg_daily_return	-0.0002069
net_metrics	volatility	0.00215283
net_metrics	total_return	-0.01247598
net_metrics	max_drawdown	-0.02229168
net_metrics	benchmark_total_return	0.11896427
net_metrics	active_total_return	-0.13144024
in_sample_gross	trade_days	45
in_sample_gross	positive_days	18
in_sample_gross	avg_daily_return	-0.00017041
in_sample_gross	volatility	0.00200959
in_sample_gross	total_return	-0.00772989
in_sample_gross	max_drawdown	-0.01585776
in_sample_gross	benchmark_total_return	0.05923536
in_sample_gross	active_total_return	-0.06696526
in_sample_net	trade_days	45
in_sample_net	positive_days	18
in_sample_net	avg_daily_return	-0.00017583
in_sample_net	volatility	0.00200605
in_sample_net	total_return	-0.00797176
in_sample_net	max_drawdown	-0.01585776
in_sample_net	benchmark_total_return	0.05923536
in_sample_net	active_total_return	-0.06720712
holdout_gross	trade_days	15
holdout_gross	positive_days	6
holdout_gross	avg_daily_return	-0.00030011
holdout_gross	volatility	0.00254055
holdout_gross	total_return	-0.00454041
holdout_gross	max_drawdown	-0.01042873
holdout_gross	benchmark_total_return	0.0563887
holdout_gross	active_total_return	-0.06092911
holdout_net	trade_days	15
holdout_net	positive_days	6
holdout_net	avg_daily_return	-0.00030011
holdout_net	volatility	0.00254055
holdout_net	total_return	-0.00454041
holdout_net	max_drawdown	-0.01042873
holdout_net	benchmark_total_return	0.0563887
holdout_net	active_total_return	-0.06092911
turnover	entry_turnover	0.162707
turnover	exit_turnover	0.0
turnover	turnover_assumption	single_entry_static_weight_minimal_backtest
