section	metric	value
gross_metrics	trade_days	60
gross_metrics	positive_days	22
gross_metrics	avg_daily_return	-0.00015415
gross_metrics	volatility	0.00172047
gross_metrics	total_return	-0.00929532
gross_metrics	max_drawdown	-0.01794461
gross_metrics	benchmark_total_return	0.11896427
gross_metrics	active_total_return	-0.12825959
net_metrics	trade_days	60
net_metrics	positive_days	22
net_metrics	avg_daily_return	-0.00015718
net_metrics	volatility	0.00171867
net_metrics	total_return	-0.00947495
net_metrics	max_drawdown	-0.01794461
net_metrics	benchmark_total_return	0.11896427
net_metrics	active_total_return	-0.12843922
in_sample_gross	trade_days	45
in_sample_gross	positive_days	17
in_sample_gross	avg_daily_return	-0.00014128
in_sample_gross	volatility	0.00162729
in_sample_gross	total_return	-0.00639687
in_sample_gross	max_drawdown	-0.01316747
in_sample_gross	benchmark_total_return	0.05923536
in_sample_gross	active_total_return	-0.06563223
in_sample_net	trade_days	45
in_sample_net	positive_days	17
in_sample_net	avg_daily_return	-0.00014531
in_sample_net	volatility	0.00162478
in_sample_net	total_return	-0.00657702
in_sample_net	max_drawdown	-0.01316747
in_sample_net	benchmark_total_return	0.05923536
in_sample_net	active_total_return	-0.06581239
holdout_gross	trade_days	15
holdout_gross	positive_days	5
holdout_gross	avg_daily_return	-0.00019279
holdout_gross	volatility	0.00197331
holdout_gross	total_return	-0.00291711
holdout_gross	max_drawdown	-0.00734216
holdout_gross	benchmark_total_return	0.0563887
holdout_gross	active_total_return	-0.05930581
holdout_net	trade_days	15
holdout_net	positive_days	5
holdout_net	avg_daily_return	-0.00019279
holdout_net	volatility	0.00197331
holdout_net	total_return	-0.00291711
holdout_net	max_drawdown	-0.00734216
holdout_net	benchmark_total_return	0.0563887
holdout_net	active_total_return	-0.05930581
turnover	entry_turnover	0.12099
turnover	exit_turnover	0.0
turnover	turnover_assumption	single_entry_static_weight_minimal_backtest
