section	metric	value
gross_metrics	trade_days	60
gross_metrics	positive_days	25
gross_metrics	avg_daily_return	-0.0003025
gross_metrics	volatility	0.00296679
gross_metrics	total_return	-0.01824819
gross_metrics	max_drawdown	-0.03063092
gross_metrics	benchmark_total_return	0.11896427
gross_metrics	active_total_return	-0.13721246
net_metrics	trade_days	60
net_metrics	positive_days	25
net_metrics	avg_daily_return	-0.00030851
net_metrics	volatility	0.00296286
net_metrics	total_return	-0.01860149
net_metrics	max_drawdown	-0.03063092
net_metrics	benchmark_total_return	0.11896427
net_metrics	active_total_return	-0.13756576
in_sample_gross	trade_days	45
in_sample_gross	positive_days	19
in_sample_gross	avg_daily_return	-0.00023503
in_sample_gross	volatility	0.00272152
in_sample_gross	total_return	-0.01068653
in_sample_gross	max_drawdown	-0.02106394
in_sample_gross	benchmark_total_return	0.05923536
in_sample_gross	active_total_return	-0.0699219
in_sample_net	trade_days	45
in_sample_net	positive_days	19
in_sample_net	avg_daily_return	-0.00024304
in_sample_net	volatility	0.002716
in_sample_net	total_return	-0.01104255
in_sample_net	max_drawdown	-0.02106394
in_sample_net	benchmark_total_return	0.05923536
in_sample_net	active_total_return	-0.07027791
holdout_gross	trade_days	15
holdout_gross	positive_days	6
holdout_gross	avg_daily_return	-0.00050492
holdout_gross	volatility	0.00359622
holdout_gross	total_return	-0.00764334
holdout_gross	max_drawdown	-0.01623534
holdout_gross	benchmark_total_return	0.0563887
holdout_gross	active_total_return	-0.06403204
holdout_net	trade_days	15
holdout_net	positive_days	6
holdout_net	avg_daily_return	-0.00050492
holdout_net	volatility	0.00359622
holdout_net	total_return	-0.00764334
holdout_net	max_drawdown	-0.01623534
holdout_net	benchmark_total_return	0.0563887
holdout_net	active_total_return	-0.06403204
turnover	entry_turnover	0.240344
turnover	exit_turnover	0.0
turnover	turnover_assumption	single_entry_static_weight_minimal_backtest
