section	metric	value
gross_metrics	trade_days	63
gross_metrics	positive_days	33
gross_metrics	avg_daily_return	0.00012109
gross_metrics	volatility	0.00144437
gross_metrics	total_return	0.00759106
gross_metrics	max_drawdown	-0.00699902
gross_metrics	benchmark_total_return	0.02537539
gross_metrics	active_total_return	-0.01778432
net_metrics	trade_days	63
net_metrics	positive_days	33
net_metrics	avg_daily_return	0.00011821
net_metrics	volatility	0.001446
net_metrics	total_return	0.00740809
net_metrics	max_drawdown	-0.00699902
net_metrics	benchmark_total_return	0.02537539
net_metrics	active_total_return	-0.0179673
in_sample_gross	trade_days	48
in_sample_gross	positive_days	24
in_sample_gross	avg_daily_return	0.0001437
in_sample_gross	volatility	0.00158889
in_sample_gross	total_return	0.00685989
in_sample_gross	max_drawdown	-0.00583654
in_sample_gross	benchmark_total_return	-0.00312932
in_sample_gross	active_total_return	0.00998921
in_sample_net	trade_days	48
in_sample_net	positive_days	24
in_sample_net	avg_daily_return	0.00013992
in_sample_net	volatility	0.0015909
in_sample_net	total_return	0.00667705
in_sample_net	max_drawdown	-0.00583654
in_sample_net	benchmark_total_return	-0.00312932
in_sample_net	active_total_return	0.00980637
holdout_gross	trade_days	15
holdout_gross	positive_days	9
holdout_gross	avg_daily_return	4.873e-05
holdout_gross	volatility	0.00082248
holdout_gross	total_return	0.00072619
holdout_gross	max_drawdown	-0.00227894
holdout_gross	benchmark_total_return	0.02859418
holdout_gross	active_total_return	-0.027868
holdout_net	trade_days	15
holdout_net	positive_days	9
holdout_net	avg_daily_return	4.873e-05
holdout_net	volatility	0.00082248
holdout_net	total_return	0.00072619
holdout_net	max_drawdown	-0.00227894
holdout_net	benchmark_total_return	0.02859418
holdout_net	active_total_return	-0.027868
turnover	entry_turnover	0.12099
turnover	exit_turnover	0.0
turnover	turnover_assumption	single_entry_static_weight_minimal_backtest
