side	metric	value
window_consistency	window_consistency_label	cross_window_return_sign_majority_positive__active_sign_majority_negative__still_need_evidence
selected_third_window	window_start	20250909
selected_third_window	window_end	20251212
selected_third_window	rejected_candidate	20250701_20250930__688981_SH_missing_20250901_to_20250908
v0_current_best	net_total_return	-0.00947495
v0_current_best	holdout_net_total_return	-0.00291711
v0_current_best	net_active_total_return	-0.12843922
v0_current_best	net_max_drawdown	-0.01794461
v1_adjacent	net_total_return	0.00197364
v1_adjacent	holdout_net_total_return	0.00485478
v1_adjacent	net_active_total_return	0.03054991
v1_adjacent	net_max_drawdown	-0.00983588
v2_third	net_total_return	0.00740809
v2_third	holdout_net_total_return	0.00072619
v2_third	net_active_total_return	-0.0179673
v2_third	net_max_drawdown	-0.00699902
majority	net_total_return_sign	2_positive_1_negative
majority	holdout_net_total_return_sign	2_positive_1_negative
majority	net_active_total_return_sign	1_positive_2_negative
majority	net_max_drawdown_ordering	v2_best__v1_second__v0_worst
delta	v2_minus_v0_net_total_return	0.01688304
delta	v2_minus_v1_net_total_return	0.00543445
delta	v2_minus_v0_holdout_net_total_return	0.0036433
delta	v2_minus_v1_holdout_net_total_return	-0.00412859
delta	v2_minus_v0_net_active_total_return	0.11047192
delta	v2_minus_v1_net_active_total_return	-0.04851721
delta	v2_minus_v0_net_max_drawdown	0.01094559
delta	v2_minus_v1_net_max_drawdown	0.00283686
