side	metric	value
current_best_window	net_total_return	-0.00947495
current_best_window	holdout_net_total_return	-0.00291711
current_best_window	net_active_total_return	-0.12843922
current_best_window	net_max_drawdown	-0.01794461
adjacent_window	net_total_return	0.00197364
adjacent_window	holdout_net_total_return	0.00485478
adjacent_window	net_active_total_return	0.03054991
adjacent_window	net_max_drawdown	-0.00983588
delta	delta_net_total_return	0.01144859
delta	delta_holdout_net_total_return	0.00777189
delta	delta_net_active_total_return	0.15898913
delta	delta_net_max_drawdown	0.00810873
sign_check	net_total_return_sign_diverged	true
sign_check	holdout_net_total_return_sign_diverged	true
sign_check	net_active_total_return_sign_diverged	true
sign_check	max_drawdown_improved_in_adjacent_window	true
label	window_consistency_label	cross_window_sign_divergence__still_need_evidence
