artifact_file	repo_path	producer	input_sample	object_card	evidence_mode	current_role	note
volfac_300302_sz_1d_output.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/volfac_300302_sz_1d_output.json	run_object_card_minimal_v1.py	acceptance_samples/clean_subset/300302_SZ_1d.csv	VOLFAC_P0_A	hard	current_terminal_rerun	验证 VOLFAC 合同与样本可跑
bpb_601991_sh_1d_output.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/bpb_601991_sh_1d_output.json	run_object_card_minimal_v1.py	acceptance_samples/watchlist_subset/601991_SH_1d.csv	BPB_P0_E	hard	current_terminal_rerun	验证 BPB 合同与样本可跑
ytc_601991_sh_daily_weekly_output.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/ytc_601991_sh_daily_weekly_output.json	run_ytc_daily_weekly_minimal_v1.py	acceptance_samples/watchlist_subset/601991_SH_1d.csv + acceptance_samples/weekly_subset/601991_SH_1w.csv	YTC_P0_E	hard	current_terminal_rerun	验证 YTC 在 daily+weekly 降级路径下可最小实跑
chzl_bsd_300302_sz_seed_output.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/chzl_bsd_300302_sz_seed_output.json	run_chzl_bsd_sample_stub_v1.py	acceptance_samples/clean_subset/300302_SZ_1d.csv + acceptance_samples/weekly_subset/300302_SZ_1w.csv + acceptance_samples/chzl_bsd_structure_bundle/300302_SZ_structure_seed_v1.tsv	CHZL_BSD_P0_E	weak_manual_seed	current_terminal_rerun	验证 CHZL_BSD 在人工 seed 标注下可输出最小 JSON，不冒充自动结构引擎
chzl_bsd_300302_sz_semi_auto_output.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/chzl_bsd_300302_sz_semi_auto_output.json	run_chzl_bsd_sample_stub_v1.py	acceptance_samples/clean_subset/300302_SZ_1d.csv + acceptance_samples/weekly_subset/300302_SZ_1w.csv + acceptance_samples/chzl_bsd_structure_bundle/auto_series/300302_SZ_structure_series_v1.tsv + acceptance_samples/chzl_bsd_structure_bundle/300302_SZ_structure_seed_v1.tsv	CHZL_BSD_P0_E	semi_auto_structure_with_seed_override	current_terminal_rerun	验证 CHZL_BSD 优先消费 auto series、并允许 seed 同日期覆盖后可输出半自动 JSON
chzl_bsd_601991_sh_semi_auto_output.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/chzl_bsd_601991_sh_semi_auto_output.json	run_chzl_bsd_sample_stub_v1.py	acceptance_samples/watchlist_subset/601991_SH_1d.csv + acceptance_samples/weekly_subset/601991_SH_1w.csv + acceptance_samples/chzl_bsd_structure_bundle/auto_series/601991_SH_structure_series_v1.tsv + acceptance_samples/chzl_bsd_structure_bundle/601991_SH_structure_seed_v1.tsv	CHZL_BSD_P0_E	semi_auto_structure_with_seed_override	current_terminal_rerun	验证 CHZL_BSD 第二只样本已绑定 auto series 与 seed，并可输出半自动 JSON
voltarget_300302_sz_1d_output.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/voltarget_300302_sz_1d_output.json	run_voltarget_minimal_v1.py	acceptance_samples/clean_subset/300302_SZ_1d.csv	VOLTARGET_P0_R	hard	current_terminal_rerun	验证 VOLTARGET 在真实日线样本上可输出 ATR/当前波动率/仓位缩放
period_queen_601991_sh_proxy_output.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/period_queen_601991_sh_proxy_output.json	run_period_queen_proxy_minimal_v1.py	acceptance_samples/watchlist_subset/601991_SH_1d.csv	PERIOD_QUEEN_P0_F	proxy_single_symbol_market_regime	current_terminal_rerun	验证 PERIOD_QUEEN 在单标的代理情绪模式下可输出 state/permission/position_max_size
vp_601991_sh_1d_output.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/vp_601991_sh_1d_output.json	run_vp_minimal_v1.py	acceptance_samples/watchlist_subset/601991_SH_1d.csv	VP_P0_E	hard	current_terminal_rerun	验证 VP 在真实日线样本上可输出 POC/VAH/VAL/HVN/LVN 与执行信号
tkr7_300302_sz_1d_output.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/tkr7_300302_sz_1d_output.json	run_tkr7_minimal_v1.py	acceptance_samples/clean_subset/300302_SZ_1d.csv	TKR7_P0_E	hard_with_no_signal	current_terminal_rerun	验证 TKR7 在样本足够时可输出 AO 值/方向/背离状态；当前样本近端无背离因此保持 NONE
