symbol	timeframe	bar_date	fractal_type	bi_direction	zs_state	zs_zg	zs_zd	divergence_flag	bsd_type	stop_logic	note	source_mode	bi_start_date	bi_end_date	bi_start_price	bi_end_price	fractal_price
300302.SZ	1d	2024-01-19	top	up	inactive			false	NONE		auto_structure_series_v1	auto_series	2024-01-18	2024-01-19	11.0200	11.5400	11.5400
300302.SZ	1d	2024-03-18	bottom	down	inactive			false	NONE		auto_structure_series_v1	auto_series	2024-01-19	2024-03-18	11.5400	13.1100	13.1100
300302.SZ	1d	2024-03-19	top	up	inactive			false	NONE		auto_structure_series_v1	auto_series	2024-03-18	2024-03-19	13.1100	13.9500	13.9500
300302.SZ	1d	2024-03-20	bottom	down	inactive			false	NONE		auto_structure_series_v1	auto_series	2024-03-19	2024-03-20	13.9500	12.9400	12.9400
300302.SZ	1d	2024-03-22	top	up	active	13.9500	13.1100	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-03-20	2024-03-22	12.9400	14.8500	14.8500
300302.SZ	1d	2024-03-27	bottom	down	active	13.9500	12.9400	false	NONE		auto_structure_series_v1	auto_series	2024-03-22	2024-03-27	14.8500	11.6600	11.6600
300302.SZ	1d	2024-04-18	top	up	inactive			true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-03-27	2024-04-18	11.6600	10.4600	10.4600
300302.SZ	1d	2024-04-22	bottom	down	inactive			false	NONE		auto_structure_series_v1	auto_series	2024-04-18	2024-04-22	10.4600	9.4100	9.4100
300302.SZ	1d	2024-05-09	top	up	inactive			true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-04-22	2024-05-09	9.4100	11.2800	11.2800
300302.SZ	1d	2024-05-27	bottom	down	active	10.4600	9.4100	false	NONE		auto_structure_series_v1	auto_series	2024-05-09	2024-05-27	11.2800	9.3600	9.3600
300302.SZ	1d	2024-05-28	top	up	active	10.2700	9.4100	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-05-27	2024-05-28	9.3600	10.2700	10.2700
300302.SZ	1d	2024-06-26	bottom	down	active	10.2700	9.3600	false	NONE		auto_structure_series_v1	auto_series	2024-05-28	2024-06-26	10.2700	8.5300	8.5300
300302.SZ	1d	2024-07-02	top	up	active	9.6600	9.3600	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-06-26	2024-07-02	8.5300	9.6600	9.6600
300302.SZ	1d	2024-07-05	bottom	down	active	9.6600	8.7900	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2024-07-02	2024-07-05	9.6600	8.7900	8.7900
300302.SZ	1d	2024-07-11	top	up	active	9.4700	8.7900	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-07-05	2024-07-11	8.7900	9.4700	9.4700
300302.SZ	1d	2024-07-12	bottom	down	active	9.4700	9.1200	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2024-07-11	2024-07-12	9.4700	9.1200	9.1200
300302.SZ	1d	2024-07-17	top	up	active	9.4700	9.1200	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-07-12	2024-07-17	9.1200	10.6300	10.6300
300302.SZ	1d	2024-07-18	bottom	down	inactive			true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2024-07-17	2024-07-18	10.6300	9.6400	9.6400
300302.SZ	1d	2024-07-22	top	up	active	10.6300	9.6400	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-07-18	2024-07-22	9.6400	10.9300	10.9300
300302.SZ	1d	2024-07-25	bottom	down	active	10.6300	9.9000	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2024-07-22	2024-07-25	10.9300	9.9000	9.9000
300302.SZ	1d	2024-08-01	top	up	active	10.9300	9.9000	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-07-25	2024-08-01	9.9000	11.4800	11.4800
300302.SZ	1d	2024-08-08	bottom	down	active	10.9300	9.9000	false	NONE		auto_structure_series_v1	auto_series	2024-08-01	2024-08-08	11.4800	9.7000	9.7000
300302.SZ	1d	2024-08-09	top	up	active	10.3600	9.9000	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-08-08	2024-08-09	9.7000	10.3600	10.3600
300302.SZ	1d	2024-08-23	bottom	down	active	10.3600	9.9100	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2024-08-09	2024-08-23	10.3600	9.9100	9.9100
300302.SZ	1d	2024-08-26	top	up	active	10.3100	9.9100	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-08-23	2024-08-26	9.9100	10.3100	10.3100
300302.SZ	1d	2024-08-28	bottom	down	active	10.3100	9.9100	false	NONE		auto_structure_series_v1	auto_series	2024-08-26	2024-08-28	10.3100	9.6700	9.6700
300302.SZ	1d	2024-10-28	top	up	active	10.3100	9.9100	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-08-28	2024-10-28	9.6700	21.9000	21.9000
300302.SZ	1d	2024-11-04	bottom	down	inactive			true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2024-10-28	2024-11-04	21.9000	16.1000	16.1000
300302.SZ	1d	2024-11-06	top	up	active	17.7800	16.1000	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-11-04	2024-11-06	16.1000	17.7800	17.7800
300302.SZ	1d	2024-11-07	bottom	down	active	17.7800	16.8400	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2024-11-06	2024-11-07	17.7800	16.8400	16.8400
300302.SZ	1d	2024-11-11	top	up	active	17.7800	16.8400	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-11-07	2024-11-11	16.8400	19.1700	19.1700
300302.SZ	1d	2024-12-03	bottom	down	active	17.7800	16.8400	false	NONE		auto_structure_series_v1	auto_series	2024-11-11	2024-12-03	19.1700	15.9800	15.9800
300302.SZ	1d	2024-12-04	top	up	inactive			true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-12-03	2024-12-04	15.9800	16.7700	16.7700
300302.SZ	1d	2024-12-05	bottom	down	active	16.7700	16.0300	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2024-12-04	2024-12-05	16.7700	16.0300	16.0300
