symbol	timeframe	bar_date	fractal_type	bi_direction	zs_state	zs_zg	zs_zd	divergence_flag	bsd_type	stop_logic	note	source_mode	bi_start_date	bi_end_date	bi_start_price	bi_end_price	fractal_price
601991.SH	1d	2020-01-13	bottom	down	inactive			false	NONE		auto_structure_series_v1	auto_series	2020-01-07	2020-01-13	2.2848	2.2216	2.2216
601991.SH	1d	2020-01-14	top	up	inactive			true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2020-01-13	2020-01-14	2.2216	2.2487	2.2487
601991.SH	1d	2020-02-04	bottom	down	active	2.2487	2.2216	false	NONE		auto_structure_series_v1	auto_series	2020-01-14	2020-02-04	2.2487	1.7429	1.7429
601991.SH	1d	2020-02-27	top	up	inactive			true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2020-02-04	2020-02-27	1.7429	2.0319	2.0319
601991.SH	1d	2020-03-04	bottom	down	active	2.0319	2.0048	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2020-02-27	2020-03-04	2.0319	2.0048	2.0048
601991.SH	1d	2020-03-05	top	up	active	2.0319	2.0048	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2020-03-04	2020-03-05	2.0048	2.0771	2.0771
601991.SH	1d	2020-03-13	bottom	down	active	2.0319	2.0048	false	NONE		auto_structure_series_v1	auto_series	2020-03-05	2020-03-13	2.0771	1.8603	1.8603
601991.SH	1d	2020-03-16	top	up	inactive			true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2020-03-13	2020-03-16	1.8603	1.9506	1.9506
601991.SH	1d	2020-03-17	bottom	down	active	1.9506	1.8694	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2020-03-16	2020-03-17	1.9506	1.8694	1.8694
601991.SH	1d	2020-03-18	top	up	active	1.9326	1.8694	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2020-03-17	2020-03-18	1.8694	1.9326	1.9326
601991.SH	1d	2020-03-19	bottom	down	active	1.9326	1.8694	false	NONE		auto_structure_series_v1	auto_series	2020-03-18	2020-03-19	1.9326	1.8423	1.8423
601991.SH	1d	2020-03-20	top	up	active	1.9055	1.8694	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2020-03-19	2020-03-20	1.8423	1.9055	1.9055
601991.SH	1d	2020-03-30	bottom	down	active	1.9055	1.8423	false	NONE		auto_structure_series_v1	auto_series	2020-03-20	2020-03-30	1.9055	1.8242	1.8242
601991.SH	1d	2020-06-08	top	up	active	1.9055	1.8423	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2020-03-30	2020-06-08	1.8242	1.9416	1.9416
601991.SH	1d	2020-06-12	bottom	down	active	1.9055	1.8694	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2020-06-08	2020-06-12	1.9416	1.8694	1.8694
601991.SH	1d	2020-07-23	top	up	active	1.9416	1.8694	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2020-06-12	2020-07-23	1.8694	2.2938	2.2938
601991.SH	1d	2020-07-29	bottom	down	inactive			true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2020-07-23	2020-07-29	2.2938	2.0771	2.0771
601991.SH	1d	2020-08-11	top	up	active	2.2757	2.0771	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2020-07-29	2020-08-11	2.0771	2.2757	2.2757
601991.SH	1d	2020-08-12	bottom	down	active	2.2757	2.1493	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2020-08-11	2020-08-12	2.2757	2.1493	2.1493
601991.SH	1d	2020-08-13	top	up	active	2.2396	2.1493	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2020-08-12	2020-08-13	2.1493	2.2396	2.2396
601991.SH	1d	2020-08-14	bottom	down	active	2.2396	2.1764	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2020-08-13	2020-08-14	2.2396	2.1764	2.1764
601991.SH	1d	2020-08-20	top	up	active	2.2396	2.1764	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2020-08-14	2020-08-20	2.1764	2.5015	2.5015
601991.SH	1d	2020-09-04	bottom	down	active	2.2396	2.2099	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2020-08-20	2020-09-04	2.5015	2.2099	2.2099
601991.SH	1d	2020-09-09	top	up	active	2.3579	2.2099	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2020-09-04	2020-09-09	2.2099	2.3579	2.3579
601991.SH	1d	2020-09-15	bottom	down	active	2.3579	2.2099	false	NONE		auto_structure_series_v1	auto_series	2020-09-09	2020-09-15	2.3579	2.1730	2.1730
601991.SH	1d	2020-09-29	top	up	inactive			true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2020-09-15	2020-09-29	2.1730	2.1452	2.1452
601991.SH	1d	2020-09-30	bottom	down	inactive			false	NONE		auto_structure_series_v1	auto_series	2020-09-29	2020-09-30	2.1452	2.0897	2.0897
601991.SH	1d	2020-10-19	top	up	inactive			true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2020-09-30	2020-10-19	2.0897	2.2007	2.2007
601991.SH	1d	2020-11-13	bottom	down	active	2.1452	2.0897	false	NONE		auto_structure_series_v1	auto_series	2020-10-19	2020-11-13	2.2007	2.0435	2.0435
601991.SH	1d	2020-12-28	top	up	active	2.2007	2.0897	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2020-11-13	2020-12-28	2.0435	2.3301	2.3301
601991.SH	1d	2021-02-04	bottom	down	active	2.2007	2.0435	false	NONE		auto_structure_series_v1	auto_series	2020-12-28	2021-02-04	2.3301	2.0435	2.0435
601991.SH	1d	2021-02-05	top	up	active	2.0897	2.0435	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2021-02-04	2021-02-05	2.0435	2.0897	2.0897
601991.SH	1d	2021-03-09	bottom	down	inactive			true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2021-02-05	2021-03-09	2.0897	2.1452	2.1452
601991.SH	1d	2021-03-16	top	up	inactive			false	NONE		auto_structure_series_v1	auto_series	2021-03-09	2021-03-16	2.1452	2.4688	2.4688
601991.SH	1d	2021-04-06	bottom	down	inactive			true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2021-03-16	2021-04-06	2.4688	2.4873	2.4873
601991.SH	1d	2021-04-07	top	up	inactive			false	NONE		auto_structure_series_v1	auto_series	2021-04-06	2021-04-07	2.4873	2.6168	2.6168
601991.SH	1d	2021-04-27	bottom	down	inactive			true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2021-04-07	2021-04-27	2.6168	2.2747	2.2747
601991.SH	1d	2021-04-29	top	up	inactive			true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2021-04-27	2021-04-29	2.2747	2.3856	2.3856
601991.SH	1d	2021-04-30	bottom	down	active	2.3856	2.3024	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2021-04-29	2021-04-30	2.3856	2.3024	2.3024
601991.SH	1d	2021-05-11	top	up	active	2.3856	2.3024	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2021-04-30	2021-05-11	2.3024	2.5521	2.5521
601991.SH	1d	2021-05-18	bottom	down	active	2.3856	2.3764	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2021-05-11	2021-05-18	2.5521	2.3764	2.3764
601991.SH	1d	2021-05-24	top	up	active	2.5521	2.3764	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2021-05-18	2021-05-24	2.3764	2.6075	2.6075
601991.SH	1d	2021-06-08	bottom	down	active	2.5521	2.3764	false	NONE		auto_structure_series_v1	auto_series	2021-05-24	2021-06-08	2.6075	2.3764	2.3764
601991.SH	1d	2021-06-28	top	up	active	2.5151	2.3764	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2021-06-08	2021-06-28	2.3764	2.5151	2.5151
601991.SH	1d	2021-07-09	bottom	down	active	2.5151	2.3764	false	NONE		auto_structure_series_v1	auto_series	2021-06-28	2021-07-09	2.5151	2.3024	2.3024
601991.SH	1d	2021-07-12	top	up	active	2.4041	2.3764	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2021-07-09	2021-07-12	2.3024	2.4041	2.4041
