date,open,high,low,close,volume,amount,symbol
2024-01-02,13.54,13.58,12.83,12.87,15376081,200534441.0,300302.SZ
2024-01-03,12.88,13.07,12.69,12.94,8551791,110116199.89,300302.SZ
2024-01-04,12.89,13.09,12.68,12.83,8036706,103882896.74,300302.SZ
2024-01-05,12.86,12.92,12.45,12.56,7743908,97995263.36,300302.SZ
2024-01-08,12.53,12.65,12.26,12.26,6956957,86019148.02,300302.SZ
2024-01-09,12.35,12.53,12.07,12.21,8148244,100145522.78,300302.SZ
2024-01-10,12.21,12.28,11.68,11.81,10533896,124994053.34,300302.SZ
2024-01-11,11.82,12.23,11.82,12.18,12178309,147326460.44,300302.SZ
2024-01-12,12.17,12.18,11.86,11.89,7416701,88845980.69,300302.SZ
2024-01-15,11.9,12.12,11.77,11.93,5834400,69868784.0,300302.SZ
2024-01-16,11.9,11.99,11.53,11.79,8581539,100433290.28,300302.SZ
2024-01-17,11.76,11.8,11.4,11.42,5998473,69485742.83,300302.SZ
2024-01-18,11.28,11.47,11.02,11.4,8874646,99472162.74,300302.SZ
2024-01-19,11.42,11.54,11.11,11.12,7042036,79439593.2,300302.SZ
2024-01-22,11.15,11.25,10.19,10.35,10927000,117017656.0,300302.SZ
2024-01-23,10.3,10.63,10.24,10.52,9284609,97377407.77,300302.SZ
2024-01-24,10.59,10.66,10.1,10.52,8293030,86059461.45,300302.SZ
2024-01-25,10.65,11.01,10.43,10.98,11226428,121360627.28,300302.SZ
2024-01-26,10.88,11.12,10.82,10.84,9212295,101053007.9,300302.SZ
2024-01-29,10.84,10.97,10.31,10.35,8803035,92488017.39,300302.SZ
2024-01-30,10.41,10.48,9.94,9.95,8295989,84447519.48,300302.SZ
2024-01-31,9.85,9.97,9.03,9.06,17143536,162137980.51,300302.SZ
2024-02-01,9.13,9.54,8.98,9.16,13623144,125556369.47,300302.SZ
2024-02-02,9.2,9.37,8.15,8.55,15183508,132435730.94,300302.SZ
2024-02-05,8.49,8.49,7.03,7.25,23302053,175198577.27,300302.SZ
2024-02-06,7.04,7.71,6.51,7.35,24058419,170415478.52,300302.SZ
2024-02-07,7.43,7.65,7.03,7.16,22106491,161710877.18,300302.SZ
2024-02-08,7.17,8.12,6.97,8.07,25589096,194734441.98,300302.SZ
2024-02-19,8.25,8.82,8.21,8.75,26360610,224390562.53,300302.SZ
2024-02-20,8.77,9.45,8.5,9.21,26881596,239788069.11,300302.SZ
2024-02-21,8.94,9.45,8.82,9.0,28539827,260093782.39,300302.SZ
2024-02-22,8.94,9.56,8.92,9.4,25416475,236282558.23,300302.SZ
2024-02-23,9.5,9.8,9.4,9.75,25808136,248712385.94,300302.SZ
2024-02-26,9.75,10.38,9.71,10.06,30950750,311325236.76,300302.SZ
2024-02-27,10.06,10.56,9.86,10.54,25030270,257728993.85,300302.SZ
2024-02-28,10.54,10.84,9.38,9.41,34772005,354013299.33,300302.SZ
2024-02-29,9.4,10.15,9.39,10.08,21991029,217835481.53,300302.SZ
2024-03-01,10.07,10.61,10.06,10.54,24963074,259697131.46,300302.SZ
2024-03-04,10.75,10.8,10.27,10.61,25007044,264174572.3,300302.SZ
2024-03-05,10.41,10.72,10.18,10.32,21480892,224556651.93,300302.SZ
2024-03-06,10.34,10.37,10.02,10.22,14057845,143388689.01,300302.SZ
2024-03-07,10.3,10.43,9.92,9.94,14246532,144453192.75,300302.SZ
2024-03-08,10.08,11.93,9.88,11.56,74462926,847814585.67,300302.SZ
2024-03-11,12.5,13.17,12.06,12.46,92571533,1162227713.11,300302.SZ
2024-03-12,12.3,14.5,12.3,13.8,94902288,1261793777.76,300302.SZ
2024-03-13,13.3,13.6,12.87,13.35,71959356,949266877.44,300302.SZ
2024-03-14,13.01,14.31,12.71,13.93,81409931,1101803448.61,300302.SZ
2024-03-15,13.45,13.72,13.12,13.5,53316410,714052599.6,300302.SZ
2024-03-18,13.28,13.58,13.11,13.4,45838251,612066974.41,300302.SZ
2024-03-19,13.36,13.95,13.12,13.28,45095556,611276959.35,300302.SZ
2024-03-20,13.13,13.52,12.94,13.36,37135177,491511506.12,300302.SZ
2024-03-21,13.79,14.2,13.4,13.4,49918429,685444871.16,300302.SZ
2024-03-22,13.79,14.85,13.6,14.32,78086301,1112552291.42,300302.SZ
2024-03-25,13.76,14.0,12.5,12.59,58066005,763364192.15,300302.SZ
2024-03-26,12.73,13.22,12.49,12.7,30343732,389833504.13,300302.SZ
2024-03-27,12.49,12.49,11.66,11.7,32639894,389311518.13,300302.SZ
2024-03-28,11.86,12.62,11.78,12.58,33175350,408455838.13,300302.SZ
2024-03-29,12.47,12.94,12.25,12.65,26050579,328887280.93,300302.SZ
2024-04-01,12.58,12.96,12.43,12.73,24281414,307270160.25,300302.SZ
2024-04-02,13.28,13.56,12.41,12.7,33117916,432488794.9,300302.SZ
2024-04-03,12.59,13.22,11.91,12.9,37986051,483839008.68,300302.SZ
