date,open,high,low,close,volume,amount,symbol
2026-04-16,207.23,255.0,199.99,244.55,21993333,4863699476.21,301666.SZ
2026-04-17,262.0,266.0,229.8,231.5,17790766,4434999898.6,301666.SZ
2026-04-20,224.67,242.34,222.22,237.99,11024510,2566009091.27,301666.SZ
2026-04-21,233.4,233.5,211.11,214.55,9999754,2178330284.92,301666.SZ
2026-04-22,213.0,228.99,212.66,224.9,8207429,1818686636.15,301666.SZ
2026-04-23,232.0,248.4,221.0,221.99,8922180,2075202794.0,301666.SZ
2026-04-24,220.03,252.0,220.0,234.5,10951037,2605584742.25,301666.SZ
2026-04-27,245.06,248.88,234.91,239.71,8677334,2091554614.99,301666.SZ
2026-04-28,238.01,258.2,234.5,252.81,8984263,2217649387.41,301666.SZ
2026-04-29,275.0,302.88,262.0,296.0,10284967,2871068114.21,301666.SZ
2026-04-30,285.0,338.5,282.0,318.0,9227630,2799610688.21,301666.SZ
2026-05-06,351.11,381.6,351.11,379.0,8954386,3351697235.18,301666.SZ
2026-05-07,380.6,439.56,371.0,432.28,10062892,4069553534.91,301666.SZ
2026-05-08,416.93,508.5,416.93,504.81,9999212,4712132982.1,301666.SZ
2026-05-11,533.1,583.1,482.0,501.17,9144284,4791551288.04,301666.SZ
2026-05-12,486.88,526.08,467.89,525.99,6392463,3229060070.88,301666.SZ
2026-05-13,510.0,631.0,505.77,631.0,7000814,3949132463.33,301666.SZ
