date,open,high,low,close,volume,amount,symbol,source_timeframe
2020-01-03,2.2215645,2.2576875,2.21253375,2.2576875,29418201,73030806.0,601991.SH,1d_to_1w
2020-01-10,2.24865675,2.28477975,2.23059525,2.239626,77503986,193603143.0,601991.SH,1d_to_1w
2020-01-17,2.239626,2.24865675,2.0048265,2.14028775,79924352,194199363.0,601991.SH,1d_to_1w
2020-01-23,2.1493185,2.1854415,2.08610325,2.10416475,40674296,96562882.0,601991.SH,1d_to_1w
2020-02-07,1.8964575,1.94161125,1.74293475,1.8964575,80765381,167711496.0,601991.SH,1d_to_1w
2020-02-14,1.88742675,1.95967275,1.878396,1.92354975,55980139,119504307.0,601991.SH,1d_to_1w
2020-02-21,1.914519,2.04998025,1.914519,2.03191875,68854491,151292599.0,601991.SH,1d_to_1w
2020-02-28,2.03191875,2.0409495,1.94161125,1.95967275,79194681,174776297.0,601991.SH,1d_to_1w
2020-03-06,1.95967275,2.0770725,1.950642,2.022888,78068439,175709884.0,601991.SH,1d_to_1w
2020-03-13,2.0048265,2.022888,1.8603345,1.92354975,72414869,157638471.0,601991.SH,1d_to_1w
2020-03-20,1.94161125,1.950642,1.842273,1.90548825,61479483,129245994.0,601991.SH,1d_to_1w
2020-03-27,1.878396,1.88742675,1.842273,1.86936525,40515168,83716776.0,601991.SH,1d_to_1w
2020-04-03,1.85130375,1.878396,1.8242115,1.8603345,34011157,69741086.0,601991.SH,1d_to_1w
2020-04-10,1.878396,1.88742675,1.8603345,1.86936525,20770888,43187880.0,601991.SH,1d_to_1w
2020-04-17,1.8603345,2.0770725,1.842273,1.94161125,116845485,256857176.0,601991.SH,1d_to_1w
2020-04-24,1.9325805,1.94161125,1.88742675,1.88742675,52724652,111653265.0,601991.SH,1d_to_1w
2020-04-30,1.8964575,1.950642,1.85130375,1.9325805,38637642,81416184.0,601991.SH,1d_to_1w
2020-05-08,1.90548825,1.950642,1.8964575,1.94161125,25074260,53593715.0,601991.SH,1d_to_1w
2020-05-15,1.94161125,1.950642,1.8964575,1.914519,30871731,65473463.0,601991.SH,1d_to_1w
2020-05-22,1.914519,1.914519,1.8603345,1.86936525,30760276,64369917.0,601991.SH,1d_to_1w
2020-05-29,1.878396,1.8964575,1.86936525,1.878396,32758962,68309880.0,601991.SH,1d_to_1w
2020-06-05,1.88742675,1.94161125,1.878396,1.92354975,43240587,91839677.0,601991.SH,1d_to_1w
2020-06-12,1.92354975,1.94161125,1.86936525,1.8964575,33081275,70047330.0,601991.SH,1d_to_1w
2020-06-19,1.8964575,1.950642,1.88742675,1.9325805,43022883,91669329.0,601991.SH,1d_to_1w
2020-06-24,1.94161125,1.94161125,1.90548825,1.914519,19195134,40924256.0,601991.SH,1d_to_1w
2020-07-03,1.914519,2.01385725,1.8964575,1.99579575,56388897,121890388.0,601991.SH,1d_to_1w
2020-07-10,2.022888,2.28477975,2.01385725,2.16738,222460576,530911857.0,601991.SH,1d_to_1w
2020-07-17,2.17641075,2.21253375,2.022888,2.0409495,142853214,337541553.0,601991.SH,1d_to_1w
2020-07-24,2.04998025,2.2938105,2.04998025,2.14028775,163995169,394630670.74,601991.SH,1d_to_1w
2020-07-31,2.131257,2.17641075,2.0770725,2.15834925,80984172,190492327.02,601991.SH,1d_to_1w
2020-08-07,2.15834925,2.239626,2.1493185,2.16738,94177333,227798253.08,601991.SH,1d_to_1w
2020-08-14,2.15834925,2.275749,2.1493185,2.21253375,101396899,247551394.19,601991.SH,1d_to_1w
2020-08-21,2.203503,2.50151775,2.19447225,2.347995,346951613,919299157.23,601991.SH,1d_to_1w
2020-08-28,2.3660565,2.39314875,2.28391514,2.32090162,123669998,316596394.18,601991.SH,1d_to_1w
2020-09-04,2.33014824,2.33014824,2.20994218,2.23768204,85006287,208400858.80,601991.SH,1d_to_1w
2020-09-11,2.25617528,2.3578881,2.1729557,2.20069556,109963987,269851302.84,601991.SH,1d_to_1w
2020-09-18,2.20069556,2.23768204,2.1729557,2.2191888,49801891,118693271.94,601991.SH,1d_to_1w
2020-09-25,2.22843542,2.22843542,2.10822936,2.11747598,35915730,84291804.7,601991.SH,1d_to_1w
