date,open,high,low,close,volume,amount,pct_chg,symbol,provider_code
2024-01-02,2.3454165600,2.4226319200,2.3357646400,2.4129800000,118444934,293229033.9600,3.305800,601991.SH,sh.601991
2024-01-03,2.4129800000,2.4901953600,2.4033280800,2.4901953600,130642442,331856862.9100,3.200000,601991.SH,sh.601991
2024-01-04,2.4901953600,2.4998472800,2.4419357600,2.4901953600,94817200,242618648.0000,0.000000,601991.SH,sh.601991
2024-01-05,2.4708915200,2.5191511200,2.4612396000,2.4805434400,93995036,242565328.2400,-0.387600,601991.SH,sh.601991
2024-01-08,2.4805434400,2.4805434400,2.4226319200,2.4322838400,59703467,151231017.8400,-1.945500,601991.SH,sh.601991
2024-01-09,2.4419357600,2.4708915200,2.4226319200,2.4612396000,62719200,158961936.0000,1.190500,601991.SH,sh.601991
2024-01-10,2.4612396000,2.4612396000,2.4322838400,2.4322838400,40163382,101542609.6400,-1.176500,601991.SH,sh.601991
2024-01-11,2.4419357600,2.4419357600,2.3936761600,2.3936761600,71847500,179478860.0000,-1.587300,601991.SH,sh.601991
2024-01-12,2.4033280800,2.4805434400,2.3936761600,2.4708915200,114051927,290432537.0800,3.225800,601991.SH,sh.601991
2024-01-15,2.4708915200,2.4805434400,2.4419357600,2.4708915200,65436075,167168054.0000,0.000000,601991.SH,sh.601991
2024-01-16,2.4612396000,2.4612396000,2.4033280800,2.4322838400,91076857,229383588.6100,-1.562500,601991.SH,sh.601991
2024-01-17,2.4322838400,2.4419357600,2.3743723200,2.3840242400,63272900,158218833.0000,-1.984100,601991.SH,sh.601991
2024-01-18,2.3743723200,2.3743723200,2.2585492800,2.3068088800,136205392,324958110.0900,-3.238900,601991.SH,sh.601991
2024-01-19,2.3068088800,2.3068088800,2.2295935200,2.2392454400,129163407,302464202.1500,-2.928900,601991.SH,sh.601991
2024-01-22,2.2295935200,2.2488973600,2.1330743200,2.1523781600,97663205,222748324.6000,-3.879300,601991.SH,sh.601991
2024-01-23,2.1523781600,2.2295935200,2.1137704800,2.2199416000,80869137,182607433.6000,3.139000,601991.SH,sh.601991
2024-01-24,2.2295935200,2.2875050400,2.2006377600,2.2875050400,87337819,203203189.1700,3.043500,601991.SH,sh.601991
2024-01-25,2.2875050400,2.4129800000,2.2778531200,2.4129800000,101657241,248105543.9500,5.485200,601991.SH,sh.601991
2024-01-26,2.4033280800,2.4226319200,2.3840242400,2.4129800000,80378584,200606813.4800,0.000000,601991.SH,sh.601991
2024-01-29,2.4129800000,2.4419357600,2.3936761600,2.4226319200,99241711,249409245.3500,0.400000,601991.SH,sh.601991
2024-01-30,2.4226319200,2.4515876800,2.3936761600,2.3936761600,97364353,244684708.8800,-1.195200,601991.SH,sh.601991
2024-01-31,2.3647204000,2.4129800000,2.2778531200,2.3550684800,123754509,304306351.9600,-1.612900,601991.SH,sh.601991
