source_repo_path	promoted_repo_path	symbol	date_range	batch_family	action	evidence_mode	note
00_assets/_raw_snapshot_batch09/ashare_clean/000066_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/000066_SZ_1d.csv	000066.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/000720_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/000720_SZ_1d.csv	000720.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/002031_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002031_SZ_1d.csv	002031.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/002081_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002081_SZ_1d.csv	002081.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/002317_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002317_SZ_1d.csv	002317.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/002491_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002491_SZ_1d.csv	002491.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/002552_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002552_SZ_1d.csv	002552.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/002655_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002655_SZ_1d.csv	002655.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/002903_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002903_SZ_1d.csv	002903.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/002929_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002929_SZ_1d.csv	002929.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/002930_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002930_SZ_1d.csv	002930.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/300161_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300161_SZ_1d.csv	300161.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/300209_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300209_SZ_1d.csv	300209.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/300283_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300283_SZ_1d.csv	300283.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/300302_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300302_SZ_1d.csv	300302.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/300488_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300488_SZ_1d.csv	300488.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/300571_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300571_SZ_1d.csv	300571.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/300632_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300632_SZ_1d.csv	300632.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/300745_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300745_SZ_1d.csv	300745.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/300750_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300750_SZ_1d.csv	300750.SZ	20180611-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/300769_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300769_SZ_1d.csv	300769.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/301217_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/301217_SZ_1d.csv	301217.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/301319_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/301319_SZ_1d.csv	301319.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/301511_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/301511_SZ_1d.csv	301511.SZ	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/301666_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/301666_SZ_1d.csv	301666.SZ	20260416-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/600130_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/600130_SH_1d.csv	600130.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/600936_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/600936_SH_1d.csv	600936.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/601991_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/601991_SH_1d.csv	601991.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/603045_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603045_SH_1d.csv	603045.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/603278_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603278_SH_1d.csv	603278.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/603399_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603399_SH_1d.csv	603399.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/603459_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603459_SH_1d.csv	603459.SH	20260408-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/603618_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603618_SH_1d.csv	603618.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/603629_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603629_SH_1d.csv	603629.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/603636_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603636_SH_1d.csv	603636.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/603738_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603738_SH_1d.csv	603738.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/603937_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603937_SH_1d.csv	603937.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/605006_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/605006_SH_1d.csv	605006.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/688069_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/688069_SH_1d.csv	688069.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/688256_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/688256_SH_1d.csv	688256.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/688371_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/688371_SH_1d.csv	688371.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/688400_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/688400_SH_1d.csv	688400.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/688449_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/688449_SH_1d.csv	688449.SH	20241129-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/688515_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/688515_SH_1d.csv	688515.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/688531_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/688531_SH_1d.csv	688531.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_clean/688655_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/688655_SH_1d.csv	688655.SH	20240102-20260508	ashare_clean	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_watchlist/kline_1d/300302_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/watchlist_kline_1d/300302_SZ_1d.csv	300302.SZ	20200102-20260513	watchlist_kline_1d	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_watchlist/kline_1d/300736_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/watchlist_kline_1d/300736_SZ_1d.csv	300736.SZ	20200102-20260513	watchlist_kline_1d	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_watchlist/kline_1d/301666_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/watchlist_kline_1d/301666_SZ_1d.csv	301666.SZ	20260416-20260513	watchlist_kline_1d	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
00_assets/_raw_snapshot_batch09/ashare_watchlist/kline_1d/601991_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/watchlist_kline_1d/601991_SH_1d.csv	601991.SH	20200102-20260513	watchlist_kline_1d	move_promote	historical_recovered	从合同外 00_assets/_raw_snapshot_batch09 归位到 runtime 正式原始输入层；保留 batch09 回链
