symbol	timeframe	provider	date_range	repo_path	source_type	source_csv	source_metadata	generator_entry	current_role	evidence_mode	note
000066.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/000066_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/000066_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
000720.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/000720_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/000720_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
002031.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002031_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/002031_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
002081.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002081_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/002081_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
002317.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002317_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/002317_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
002491.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002491_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/002491_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
002552.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002552_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/002552_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
002655.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002655_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/002655_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
002903.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002903_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/002903_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
002929.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002929_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/002929_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
002930.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/002930_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/002930_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
300161.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300161_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/300161_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
300209.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300209_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/300209_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
300283.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300283_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/300283_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
