code,ticker,name,theme_score,ladder_height,open_num,order_amount,turnover_rate,industry,reason_type,tags,source,date,fundamental_score
603045,603045.SH,福达合金,1.0,4,0,114069155.0,1.2311,小金属,风光储能+数据中心+电接触材料+业绩大增,总龙头;一字龙,quicktiny_ladder,20260508,0.0
600130,600130.SH,波导股份,0.8172692823306574,3,0,89934599.0,7.9616,元器件,摘帽+参股华大北斗+汽车电子+消费电子,题材龙,quicktiny_ladder,20260508,0.0
603278,603278.SH,大业股份,0.7704613478493681,3,0,96246093.0,18.0371,钢加工,人形机器人+腱绳+商业航天+胎圈钢丝,题材龙,quicktiny_ladder,20260508,0.0
601991,601991.SH,大唐发电,0.7938334667778505,3,14,199275350.0,9.8102,火力发电,蒙电入苏+绿电+央企,,quicktiny_ladder,20260508,0.0
603618,603618.SH,杭电股份,0.669838355878528,3,3,64429404.0,13.9199,电气设备,光纤涨价+特高压+锂电铜箔+一季报增长,题材龙,quicktiny_ladder,20260508,0.0
603636,603636.SH,南威软件,0.5934248956774203,2,0,124902931.0,2.7214,软件服务,算力租赁+Token工厂+AI政务+华为合作,题材龙,quicktiny_ladder,20260508,0.0
002317,002317.SZ,众生药业,0.65,2,0,207707140.0,5.3631,中成药,创新药+流感+MASH,题材龙,quicktiny_ladder,20260508,0.0
600936,600936.SH,北投科技,0.5898243016646069,2,0,120089174.0,4.482,软件服务,AI应用+智慧交通+机器人概念+广西国资,题材龙,quicktiny_ladder,20260508,0.0
002929,002929.SZ,润建股份,0.5669354753439981,2,1,165107070.0,10.0484,通信设备,算力租赁+Token工厂+通信网络管维,中军,quicktiny_ladder,20260508,0.0
002930,002930.SZ,宏川智慧,0.5654708519083677,2,0,87530216.0,4.6832,仓储物流,算力+石化仓储+交割资质,,quicktiny_ladder,20260508,0.0
603738,603738.SH,泰晶科技,0.5472848037635921,2,4,196910080.0,5.1549,元器件,625MHz晶振+光模块+人形机器人,,quicktiny_ladder,20260508,0.0
002552,002552.SZ,宝鼎科技,0.6000185144998804,2,0,133718165.0,3.091,元器件,PCB铜箔+黄金采选+Q1业绩大增,题材龙,quicktiny_ladder,20260508,0.0
605006,605006.SH,山东玻纤,0.5671061890292042,2,0,89716554.0,5.4645,玻璃,玻纤涨价+风电纱+山东国资,,quicktiny_ladder,20260508,0.0
603459,603459.SH,红板科技,0.40269241113947085,2,8,112995939.0,23.4196,元器件,PCB扩产+1.6T光模块+商业航天,中军,quicktiny_ladder,20260508,0.0
002031,002031.SZ,巨轮智能,0.6155883983310366,2,0,176937720.0,11.8598,汽车配件,人形机器人+RV减速器+XT减速器,,quicktiny_ladder,20260508,0.0
002491,002491.SZ,通鼎互联,0.5210103006085578,2,2,168714870.0,9.8039,通信设备,光纤涨价+数据中心+通信电缆,,quicktiny_ladder,20260508,0.0
002655,002655.SZ,共达电声,0.5631057961987868,2,0,108365829.0,12.0716,元器件,增持+车载声学+MEMS芯片,中军,quicktiny_ladder,20260508,0.0
000720,000720.SZ,新能泰山,0.33853006408609587,2,3,32208245.0,24.0831,电气设备,光纤+电缆+实控人中国华能+央企,,quicktiny_ladder,20260508,0.0
