top_rank,rank,code,name,pct,price,exchange,board,tradable,ticker,asof,source
1,1,301666,大普微-UW,99.68,,SZ,CYB,True,301666.SZ,,sohu_stage_rank_5d
2,2,300209,行云科技,63.78,,SZ,CYB,True,300209.SZ,,sohu_stage_rank_5d
3,3,603045,福达合金,55.0,,SH,SH_MAIN,True,603045.SH,,sohu_stage_rank_5d
4,5,603937,丽岛新材,49.84,,SH,SH_MAIN,True,603937.SH,,sohu_stage_rank_5d
5,3,301217,铜冠铜箔,49.69,,SZ,CYB,True,301217.SZ,,sohu_stage_rank_5d
6,6,603399,永杉锂业,49.66,,SH,SH_MAIN,True,603399.SH,,sohu_stage_rank_5d
7,4,300571,平治信息,49.1,,SZ,CYB,True,300571.SZ,,sohu_stage_rank_5d
8,5,300769,德方纳米,48.7,,SZ,CYB,True,300769.SZ,,sohu_stage_rank_5d
9,6,300632,光莆股份,47.09,,SZ,CYB,True,300632.SZ,,sohu_stage_rank_5d
10,7,300283,温州宏丰,44.63,,SZ,CYB,True,300283.SZ,,sohu_stage_rank_5d
11,8,002929,润建股份,42.29,,SZ,SZ_MAIN,True,002929.SZ,,sohu_stage_rank_5d
12,9,301319,唯特偶,41.79,,SZ,CYB,True,301319.SZ,,sohu_stage_rank_5d
13,10,300161,华中数控,41.48,,SZ,CYB,True,300161.SZ,,sohu_stage_rank_5d
14,11,002655,共达电声,41.13,,SZ,SZ_MAIN,True,002655.SZ,,sohu_stage_rank_5d
15,12,603629,利通电子,40.42,,SH,SH_MAIN,True,603629.SH,,sohu_stage_rank_5d
16,12,300488,恒锋工具,40.36,,SZ,CYB,True,300488.SZ,,sohu_stage_rank_5d
17,13,301511,德福科技,39.75,,SZ,CYB,True,301511.SZ,,sohu_stage_rank_5d
18,14,002081,金 螳 螂,39.63,,SZ,SZ_MAIN,True,002081.SZ,,sohu_stage_rank_5d
19,15,300302,同有科技,39.22,,SZ,CYB,True,300302.SZ,,sohu_stage_rank_5d
20,16,002903,宇环数控,39.12,,SZ,SZ_MAIN,True,002903.SZ,,sohu_stage_rank_5d
