section	field	type	required	meaning
aggregate_summary	buy_votes	int	yes	买方投票数量
aggregate_summary	sell_votes	int	yes	卖方投票数量
aggregate_summary	neutral_votes	int	yes	中性票数量
aggregate_summary	buy_score	float	yes	买方加权总分
aggregate_summary	sell_score	float	yes	卖方加权总分
aggregate_summary	net_score	float	yes	净分数
aggregate_summary	avg_size_scalar	float	yes	过滤与仓位卡综合出的平均缩放
aggregate_summary	permission	string	yes	环境权限
aggregate_summary	final_signal	enum	yes	最终结论：BUY/SELL/NEUTRAL/NO_TRADE
aggregate_summary	blockers	list	yes	触发过滤或阻塞的对象卡
final_decision_card	trade_gate	enum	yes	执行门：ALLOW/WAIT/EXIT/BLOCKED
final_decision_card	hard_block	bool	yes	是否存在硬阻塞
final_decision_card	rationale	string	yes	最终结论原因摘要
size_policy_card	environment_cap	float	yes	环境卡给出的上限
size_policy_card	voltarget_scalar	float	yes	波动率目标卡给出的缩放
size_policy_card	volfac_filter_scalar	float	yes	波动过滤卡给出的过滤缩放
size_policy_card	recommended_size_scalar	float	yes	最终建议仓位缩放
size_policy_card	size_policy	string	yes	仓位裁决规则摘要
