YYYYMMDD	FileCount	TotalKB	SamplePath	ExtensionDist
20260417	2	31	D:\Stock\trading_assistant\10_source_library_archive\_raw_snapshot_batch09\10_来源库_SOURCE_LIBRARY\00_大隐体系\0)stochastic oscillator指标组的各种讲解\6.关于如何把股票走势图移植到MT4软件上,stochastic oscillator指标组和指标模板应用的问题,并对股票、期货、外汇等全市场品种指标组和指标模板的建立和使用方法做了较为详尽的介绍.mp4.md	{".md":2}
20260608	11	215	D:\Stock\trading_assistant\10_source_library_archive\_raw_snapshot_batch09\10_来源库_SOURCE_LIBRARY\00_TK外汇\外汇交易课程第一集-信号_导出.md	{".md":10,".txt":1}
20260614	244	20188	D:\Stock\trading_assistant\10_source_library_archive\_raw_snapshot_batch09\10_来源库_SOURCE_LIBRARY\00_TK外汇\20231219TK外汇交易系统学习资料整理(6)_导出.md	{".md":1,".png":226,".jpg":15,".gif":2}
20260615	5	29	D:\Stock\trading_assistant\10_source_library_archive\_raw_snapshot_batch09\10_来源库_SOURCE_LIBRARY\00_TK外汇\20231219TK外汇交易系统学习资料整理(6)_吸收结论_v1.md	{".md":5}
20260617	6	274	D:\Stock\trading_assistant\10_source_library_archive\mirror_kimi_inbox\GROUP_05_趋势_系统交易\01_F1_cutpack_v2_final\CUTPACK__F1__CN__外汇日内交易与波段交易__v2_r1.md	{".md":6}
20260622	20	15392	D:\Stock\trading_assistant\10_source_library_archive\mirror_kimi_inbox\GROUP_08_A股量化_数据研究\01_source_raw\新的参考书\《Python股票量化交易从入门到实践》完整版\美股外汇黄金石油期货“世界杯”平台\支持购买世界杯的全能平台.jpg	{".jpg":20}
20260704	1	4	D:\Stock\trading_assistant\10_source_library_archive\_raw_snapshot_batch09\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\01_外部公开指标资料_Batch9\REOPEN_B9_N02_OTHER_TIMEFRAME_VALIDATION_EURUSD_M5_FALL_DST_P0_关系入口_v1.md	{".md":1}
20260705	2	8	D:\Stock\trading_assistant\10_source_library_archive\_raw_snapshot_batch09\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\01_外部公开指标资料_Batch9\REOPEN_B9_N02_SECOND_FX_SUBHOUR_HISTORICAL_RECOVERY_GBPUSD_M15_P0_关系入口_v1.md	{".md":2}
20260706	25	155116	D:\Stock\trading_assistant\10_source_library_archive\raw_assets\__cut_file_cold_archive__20260706\data\《Python股票量化交易从入门到实践》完整版\美股外汇黄金石油期货“世界杯”平台\支持购买世界杯的全能平台.jpg	{".jpg":10,".md":10,".pdf":3,".epub":2}
20260707	16	7845	D:\Stock\trading_assistant\10_source_library_archive\batch_09_legacy_source_library_alignment__20260707\mirror_kimi_inbox_incoming\GROUP_05_趋势_系统交易\01_F1_cutpack_v2_final\CUTPACK__F1__CN__外汇日内交易与波段交易__v2_r1.md	{".md":6,".jpg":10}
20260708	3	37	D:\Stock\trading_assistant\10_source_library_archive\batch_110_external_folder_absorb__20260708\00_raw_snapshot\GLM_DELIVERY_05_TK_FOREX_OPTIMIZATION_v1.0.md	{".md":3}
20260713	15	62	D:\Stock\trading_assistant\10_source_library_archive\_raw_snapshot_batch09\10_来源库_SOURCE_LIBRARY\00_TK外汇\INDEX_phase1_v1.md	{".md":12,".tsv":3}
