YYYYMMDD	FileCount	TotalKB	SamplePath	ExtensionDist
20210618	3	487	D:\Stock\trading_assistant\10_source_library_archive\_raw_snapshot_batch09\10_来源库_SOURCE_LIBRARY\00_大隐体系\2)大隐於朝二维时空技术讲座系列\4_1.有关文华指数的日线和周线走势预测推演图.jpg	{".jpg":3}
20260417	5	61	D:\Stock\trading_assistant\10_source_library_archive\_raw_snapshot_batch09\10_来源库_SOURCE_LIBRARY\00_大隐体系\1)大隐时空波浪相关课程视频\12.欧元美元和美元指数未来几周的走势预测和推演.mp4.md	{".md":5}
20260526	94	29619	D:\Stock\trading_assistant\10_source_library_archive\_raw_snapshot_batch09\10_来源库_SOURCE_LIBRARY\00_交易系统书籍\01_期货市场技术分析_墨菲\raw_chapters\第八章_长期图表和商品指数.md	{".md":2,".png":90,".jpg":2}
20260613	2	66	D:\Stock\trading_assistant\10_source_library_archive\mirror_kimi_inbox\GROUP_07_传记_行业史_故事\GROUP_07_quant_history_index.md	{".md":2}
20260615	2	10	D:\Stock\trading_assistant\10_source_library_archive\mirror_kimi_inbox\GROUP_08_A股量化_数据研究\01_62份研究PDF\A股_量化选股_研究PDF_总摘要_v1_index.md	{".md":2}
20260616	58	179765	D:\Stock\trading_assistant\10_source_library_archive\mirror_kimi_inbox\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__资产配置__涨跌比小盘指数择时__v2.md	{".md":4,".pdf":54}
20260617	2	422	D:\Stock\trading_assistant\10_source_library_archive\mirror_kimi_inbox\S_BUCKET_INDEX__2026-06-17.tsv	{".tsv":2}
20260618	10	224	D:\Stock\trading_assistant\10_source_library_archive\mirror_kimi_inbox\GROUP_10_A5_财报_估值_组合管理\01_A5_cutpack_v1_final\5073_Quantitative_Equity_Portfolio_Management\INDEX.md	{".md":10}
20260622	12	5842	D:\Stock\trading_assistant\10_source_library_archive\mirror_kimi_inbox\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业轮动模型\妙用涨跌比，小盘指数巧择时.pdf	{".pdf":8,".txt":4}
20260627	1	2	D:\Stock\trading_assistant\10_source_library_archive\mirror_kimi_inbox\S_BUCKET_round3_function_core_field_truth_index_v1.tsv	{".tsv":1}
20260706	11	1595	D:\Stock\trading_assistant\10_source_library_archive\raw_assets\__cut_file_cold_archive__20260706\A3\extracted_擒住大牛\index.json	{".json":2,".md":5,".pdf":2,".txt":2}
20260707	60	61970	D:\Stock\trading_assistant\10_source_library_archive\batch_09_legacy_source_library_alignment__20260707\mirror_kimi_inbox_incoming\GROUP_07_传记_行业史_故事\GROUP_07_quant_history_index.md	{".md":33,".txt":2,".pdf":20,".tsv":5}
20260708	19	84	D:\Stock\trading_assistant\10_source_library_archive\batch_110_external_folder_absorb__20260708\00_raw_snapshot\GLM_MATERIAL_PACKAGE_INDEX.md	{".md":9,".tsv":10}
20260709	5	9	D:\Stock\trading_assistant\10_source_library_archive\batch_120_tools_workspace_absorb__20260709\01_index\promotion_map_v1.tsv	{".tsv":5}
20260712	9	23	D:\Stock\trading_assistant\10_source_library_archive\batch_140_tushare_tdx_data_source_absorb__20260712\01_index\family_entry_map_v1.tsv	{".tsv":3,".md":6}
20260713	27	91	D:\Stock\trading_assistant\10_source_library_archive\batch_143_group08_rotation_style_contract_absorb__20260713\01_index\family_entry_map_v1.tsv	{".tsv":4,".md":23}
20260719	129	2393	D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\BATCH_149_ARTIFACT_INDEX_v1.md	{".md":7,".txt":1,".dat":1,".html":10,".css":7,".png":3,".jpg":1,".js":7,".xml":8,".ldb":9,".log":13,"(noext)":52,".old":9,".tsv":1}
20260723	1	8	D:\Stock\trading_assistant\10_source_library_archive\archive_batch_index_v1.tsv	{".tsv":1}
20260730	11	1438	D:\Stock\trading_assistant\10_source_library_archive\batch_150_quicktiny_second_round_manual_sample__20260730\00_raw_snapshot\formula_shells\ZSDB指数对比__formula_shell.png	{".png":2,".txt":2,".md":2,".css":3,".下载":2}
