date	open	high	low	close	volume	amplitude	pct_chg	source
2026-01-01	4323.698	4351.005	4323.198	4347.805	0.86305	27.807	0.0000	M1_23yr_archive
2026-01-02	4347.798	4401.928	4309.618	4331.575	44.20763	92.310	-0.3733	M1_23yr_archive
2026-01-04	4360.875	4375.665	4344.425	4372.345	2.53048	31.240	0.9412	M1_23yr_archive
2026-01-05	4372.275	4459.815	4370.025	4440.285	59.66160	89.790	1.5539	M1_23yr_archive
2026-01-06	4440.285	4500.348	4427.725	4493.235	70.41068	72.623	1.1925	M1_23yr_archive
2026-01-07	4493.185	4495.595	4423.135	4463.205	56.96313	72.460	-0.6683	M1_23yr_archive
2026-01-08	4463.145	4483.548	4407.485	4475.485	56.34380	76.063	0.2751	M1_23yr_archive
2026-01-09	4475.445	4516.898	4452.585	4509.015	56.58375	64.313	0.7492	M1_23yr_archive
2026-01-11	4520.298	4544.735	4511.898	4539.855	1.94480	32.837	0.6840	M1_23yr_archive
2026-01-12	4539.775	4629.975	4536.055	4599.095	57.36969	93.920	1.3049	M1_23yr_archive
2026-01-13	4599.205	4634.285	4569.185	4596.805	57.08719	65.100	-0.0498	M1_23yr_archive
2026-01-14	4596.795	4642.695	4596.745	4615.015	52.77114	45.950	0.3961	M1_23yr_archive
2026-01-15	4614.935	4624.325	4580.815	4609.855	59.04851	43.510	-0.1118	M1_23yr_archive
2026-01-16	4609.835	4620.035	4536.515	4595.515	49.49357	83.520	-0.3111	M1_23yr_archive
2026-01-18	4625.755	4690.265	4618.988	4672.365	2.81757	71.277	1.6723	M1_23yr_archive
2026-01-19	4672.375	4681.735	4652.845	4665.135	30.64414	28.890	-0.1547	M1_23yr_archive
2026-01-20	4665.145	4780.895	4659.245	4775.625	52.11814	121.650	2.3684	M1_23yr_archive
2026-01-21	4775.605	4888.075	4755.345	4777.915	55.78441	132.730	0.0480	M1_23yr_archive
2026-01-22	4777.875	4960.435	4772.185	4958.795	40.74589	188.250	3.7858	M1_23yr_archive
2026-01-23	4958.785	4989.675	4899.545	4983.785	38.19971	90.130	0.5040	M1_23yr_archive
2026-01-25	5003.285	5039.695	5001.098	5039.395	2.33516	38.597	1.1158	M1_23yr_archive
2026-01-26	5039.525	5110.885	4989.805	5043.195	65.68283	121.080	0.0754	M1_23yr_archive
2026-01-27	5043.225	5190.235	5013.595	5171.895	59.96343	176.640	2.5520	M1_23yr_archive
2026-01-28	5171.975	5596.805	5157.115	5512.255	77.42513	439.690	6.5810	M1_23yr_archive
2026-01-29	5512.795	5595.275	5098.765	5437.995	87.88641	496.510	-1.3472	M1_23yr_archive
2026-01-30	5437.995	5450.745	4679.725	4895.118	119.62531	771.020	-9.9830	M1_23yr_archive
2026-02-01	4895.118	4895.118	4694.575	4741.745	1.76572	200.543	-3.1332	M1_23yr_archive
2026-02-02	4741.725	4884.248	4401.038	4773.935	132.16471	483.210	0.6789	M1_23yr_archive
2026-02-03	4773.975	4993.458	4744.808	4946.875	85.21512	248.650	3.6226	M1_23yr_archive
2026-02-04	4946.895	5091.395	4844.165	5011.895	67.10657	247.230	1.3144	M1_23yr_archive
2026-02-05	5011.705	5020.175	4702.915	4703.275	85.23178	317.260	-6.1578	M1_23yr_archive
2026-02-06	4703.265	4970.898	4654.355	4964.298	58.42251	316.543	5.5498	M1_23yr_archive
2026-02-08	4980.098	5046.805	4962.605	5035.475	2.17988	84.200	1.4338	M1_23yr_archive
2026-02-09	5035.475	5086.265	4967.835	5031.245	45.80338	118.430	-0.0840	M1_23yr_archive
2026-02-10	5031.095	5078.485	4998.685	5041.575	42.96272	79.800	0.2053	M1_23yr_archive
2026-02-11	5041.535	5118.815	5017.995	5060.785	42.45839	100.820	0.3810	M1_23yr_archive
2026-02-12	5060.625	5083.475	4877.255	4919.775	46.54363	206.220	-2.7863	M1_23yr_archive
2026-02-13	4919.875	5045.965	4913.505	5040.285	39.95796	132.460	2.4495	M1_23yr_archive
2026-02-15	5035.898	5051.678	5006.628	5019.898	1.81444	45.050	-0.4045	M1_23yr_archive
2026-02-16	5019.655	5030.945	4964.868	4989.435	18.22250	66.077	-0.6068	M1_23yr_archive
2026-02-17	4989.465	4991.005	4840.095	4858.815	42.57743	150.910	-2.6179	M1_23yr_archive
2026-02-18	4858.855	5010.815	4857.848	4975.635	27.09394	152.967	2.4043	M1_23yr_archive
2026-02-19	4975.615	5022.015	4960.048	4987.445	26.96016	61.967	0.2374	M1_23yr_archive
2026-02-20	4987.508	5107.698	4981.315	5106.169	33.81093	126.383	2.3805	M1_23yr_archive
2026-02-22	5106.098	5171.565	5096.958	5165.025	2.08629	74.607	1.1526	M1_23yr_archive
2026-02-23	5164.255	5249.575	5121.818	5235.345	37.73239	127.757	1.3615	M1_23yr_archive
2026-02-24	5235.395	5237.825	5093.225	5146.365	40.34911	144.600	-1.6996	M1_23yr_archive
2026-02-25	5146.395	5217.385	5136.535	5162.905	31.74640	80.850	0.3214	M1_23yr_archive
2026-02-26	5162.925	5205.215	5129.495	5184.345	37.78680	75.720	0.4153	M1_23yr_archive
2026-02-27	5184.375	5280.878	5166.535	5277.419	44.78192	114.343	1.7953	M1_23yr_archive
2026-03-01	5372.198	5392.995	5296.668	5386.545	3.17058	96.327	2.0678	M1_23yr_archive
2026-03-02	5386.675	5418.875	5260.095	5345.695	53.04669	158.780	-0.7584	M1_23yr_archive
2026-03-03	5345.755	5379.755	4995.475	5125.035	67.28969	384.280	-4.1278	M1_23yr_archive
2026-03-04	5125.015	5205.995	5105.348	5165.025	54.02221	100.647	0.7803	M1_23yr_archive
2026-03-05	5164.995	5194.615	5050.638	5087.035	46.53539	143.977	-1.5100	M1_23yr_archive
2026-03-06	5085.835	5175.048	5062.125	5171.798	40.91005	112.923	1.6663	M1_23yr_archive
2026-03-08	5178.935	5196.698	5043.468	5075.675	6.04770	153.230	-1.8586	M1_23yr_archive
2026-03-09	5075.295	5155.825	5014.655	5139.475	50.18612	141.170	1.2570	M1_23yr_archive
2026-03-10	5139.305	5238.365	5124.465	5197.175	38.63221	113.900	1.1227	M1_23yr_archive
2026-03-11	5197.175	5223.015	5129.175	5134.355	39.91808	93.840	-1.2087	M1_23yr_archive
2026-03-12	5134.225	5191.388	5054.795	5097.775	36.76771	136.593	-0.7125	M1_23yr_archive
2026-03-13	5097.725	5128.225	5009.495	5018.098	35.20716	118.730	-1.5630	M1_23yr_archive
2026-03-15	5003.001	5029.945	4967.125	4993.325	4.37134	62.820	-0.4937	M1_23yr_archive
2026-03-16	4997.275	5037.715	4970.115	5012.645	40.02467	67.600	0.3869	M1_23yr_archive
2026-03-17	5012.575	5044.355	4973.495	5002.695	31.50515	70.860	-0.1985	M1_23yr_archive
2026-03-18	5002.705	5016.065	4803.845	4836.505	64.71240	212.220	-3.3220	M1_23yr_archive
2026-03-19	4836.495	4866.995	4502.108	4643.325	65.53923	364.887	-3.9942	M1_23yr_archive
2026-03-20	4643.205	4735.835	4477.125	4490.055	58.66996	258.710	-3.3009	M1_23yr_archive
2026-03-22	4470.705	4535.815	4448.835	4464.415	4.79612	86.980	-0.5710	M1_23yr_archive
2026-03-23	4464.435	4512.665	4098.275	4440.915	91.00114	414.390	-0.5264	M1_23yr_archive
2026-03-24	4440.895	4551.118	4305.565	4546.375	99.13922	245.553	2.3747	M1_23yr_archive
2026-03-25	4546.335	4602.125	4486.508	4497.875	55.48146	115.617	-1.0668	M1_23yr_archive
2026-03-26	4497.845	4544.275	4350.995	4404.935	61.48260	193.280	-2.0663	M1_23yr_archive
2026-03-27	4404.775	4554.965	4375.235	4492.375	44.39073	179.730	1.9850	M1_23yr_archive
2026-03-29	4491.518	4514.675	4443.485	4448.495	4.32540	71.190	-0.9768	M1_23yr_archive
2026-03-30	4448.675	4580.465	4417.665	4513.325	45.64218	162.800	1.4573	M1_23yr_archive
2026-03-31	4513.375	4699.825	4482.115	4696.065	51.03893	217.710	4.0489	M1_23yr_archive
