date	open	high	low	close	volume
2003-05-05	340.345	342.588	339.734	341.315	5.84918
2003-05-06	341.315	344.208	340.276	343.282	6.83739
2003-05-07	343.282	344.185	339.005	341.228	6.12393
2003-05-08	341.228	348.131	339.956	347.382	6.25970
2003-05-09	347.382	347.382	347.382	347.382	0.00000
2004-01-01	414.922	414.922	414.232	414.558	0.73827
2004-01-02	414.322	416.098	413.867	415.395	3.82642
2004-01-04	414.695	414.698	414.096	414.444	0.03866
2004-01-05	415.376	423.981	414.234	421.893	10.41885
2004-01-06	422.332	423.295	422.332	423.295	0.00898
2005-01-02	437.770	437.822	437.037	437.318	0.08261
2005-01-03	437.315	437.568	426.123	428.612	16.92643
2005-01-04	429.098	430.201	423.425	425.082	18.41841
2005-01-05	425.618	427.933	424.282	426.104	19.01813
2005-01-06	426.104	426.104	426.104	426.104	0.00000
2006-01-01	515.964	516.046	515.221	515.955	0.27872
2006-01-02	515.955	516.396	514.953	516.314	10.40106
2006-01-03	515.778	534.953	515.677	533.847	26.79263
2006-01-04	533.963	535.304	525.007	533.836	25.43981
2006-01-05	534.038	534.418	533.808	533.948	0.01730
2007-01-01	635.854	637.103	635.006	635.943	11.03596
2007-01-02	635.791	640.802	635.286	639.143	25.96362
2007-01-03	639.029	644.663	624.634	626.602	25.81437
2007-01-04	626.699	630.352	619.600	622.533	27.69606
2007-01-05	622.268	622.789	622.072	622.387	0.01726
2008-01-01	833.022	833.319	832.865	833.246	3.74759
2008-01-02	833.040	860.809	832.937	856.723	7.19514
2008-01-03	856.759	868.807	852.920	864.335	7.42551
2008-01-04	864.601	868.347	854.163	858.922	6.97911
2008-01-06	859.600	859.931	859.535	859.931	0.00391
2009-01-01	879.888	882.045	879.762	882.016	3.68253
2009-01-02	882.016	886.220	866.974	874.755	7.02158
2009-01-04	874.230	884.883	874.230	883.756	0.21717
2009-01-05	883.705	884.137	844.849	856.201	6.96664
2009-01-06	856.201	856.201	856.201	856.201	0.00000
2010-01-01	1096.093	1096.340	1095.857	1096.099	7.12930
2010-01-03	1097.105	1099.914	1095.404	1095.404	0.28930
2010-01-04	1095.404	1123.295	1092.987	1120.416	15.98000
2010-01-05	1120.416	1127.532	1114.864	1118.253	17.55185
2010-01-06	1118.097	1118.261	1118.097	1118.261	0.00486
2011-01-02	1420.433	1420.539	1416.247	1416.247	0.29776
2011-01-03	1416.862	1423.774	1412.631	1414.592	18.23016
2011-01-04	1414.745	1417.192	1374.672	1384.025	24.09049
2011-01-05	1384.003	1384.755	1363.819	1375.515	22.30007
2011-01-06	1375.377	1375.377	1375.278	1375.311	0.00463
2012-01-01	1564.947	1565.150	1564.900	1564.947	0.01400
2012-01-02	1564.500	1572.050	1564.500	1572.050	1.65460
2012-01-03	1572.050	1607.333	1571.250	1605.893	134.75656
2012-01-04	1605.893	1618.452	1592.633	1611.190	129.42980
2012-01-05	1611.223	1611.362	1611.066	1611.271	0.01480
2013-01-01	1674.603	1674.603	1670.152	1670.819	0.40060
2013-01-02	1670.796	1694.873	1670.352	1687.252	25.82934
2013-01-03	1687.252	1689.952	1660.752	1660.887	31.51326
2013-01-04	1661.052	1662.152	1625.759	1655.463	40.00850
2013-01-06	1655.943	1656.873	1655.863	1656.283	0.01940
2014-01-01	1203.612	1205.883	1202.302	1205.883	0.27050
2014-01-02	1205.913	1230.773	1204.893	1223.710	27.35900
2014-01-03	1223.687	1240.153	1223.297	1236.683	26.35719
2014-01-05	1236.983	1238.353	1233.842	1234.042	0.32800
2014-01-06	1234.042	1234.343	1233.342	1233.623	0.07590
2015-01-01	1183.949	1187.403	1183.230	1186.664	0.55697
2015-01-02	1186.684	1194.998	1167.430	1188.354	42.71626
2015-01-04	1188.111	1188.480	1177.929	1183.841	1.18095
2015-01-05	1183.841	1207.387	1182.784	1203.241	50.59279
2015-01-06	1203.230	1203.247	1203.060	1203.149	0.03096
2016-01-03	1062.341	1066.321	1061.729	1063.059	1.61136
2016-01-04	1063.059	1083.488	1062.239	1072.979	76.56875
2016-01-05	1072.990	1082.048	1072.629	1077.632	72.43959
