symbol,timeframe,bar_time,kd_week_bias,kd_day_signal,kd_4h_confirm,kd_alignment_tier,kd_direction_filter,kd_week_extreme_zone
EURUSD,H1,2026-06-18T08:00:00Z,up,golden_cross,confirm_up,s,long_preferred,normal
XAUUSD,H1,2026-06-18T12:00:00Z,up,death_cross,confirm_down,conflict,wait,overbought
BTCUSD,H1,2026-06-18T16:00:00Z,up,golden_cross,none,b,wait,oversold
GBPUSD,H1,2026-06-19T04:00:00Z,down,death_cross,confirm_down,s,short_preferred,normal
USDJPY,H1,2026-06-19T08:00:00Z,unknown,golden_cross,confirm_up,a,long_preferred,unknown
EURUSD,H1,2025-01-29T00:00:00Z,unknown,death_cross,confirm_down,a,short_preferred,unknown
EURUSD,H1,2025-02-13T04:00:00Z,unknown,golden_cross,confirm_up,a,long_preferred,unknown
EURUSD,H1,2025-04-30T00:00:00Z,up,death_cross,confirm_up,conflict,wait,overbought
EURUSD,H1,2025-05-09T00:00:00Z,down,death_cross,confirm_down,s,short_preferred,overbought
EURUSD,H1,2025-06-06T00:00:00Z,up,death_cross,confirm_down,conflict,wait,normal
EURUSD,H1,2025-06-12T00:00:00Z,up,golden_cross,confirm_up,s,long_preferred,normal
EURUSD,H1,2025-08-29T00:00:00Z,up,golden_cross,confirm_up,s,long_preferred,normal
EURUSD,H1,2026-03-27T16:00:00Z,down,death_cross,none,b,wait,normal
