symbol,timeframe,bar_time,open,high,low,close
EURUSD,H1,2025-01-02T00:00:00Z,1.03515,1.03579,1.03487,1.03556
EURUSD,H1,2025-01-02T01:00:00Z,1.03556,1.03567,1.03466,1.03509
EURUSD,H1,2025-01-02T02:00:00Z,1.03509,1.03566,1.03474,1.03522
EURUSD,H1,2025-01-02T03:00:00Z,1.03522,1.03609,1.03443,1.03579
EURUSD,H1,2025-01-02T04:00:00Z,1.03579,1.03713,1.03578,1.03709
EURUSD,H1,2025-01-02T05:00:00Z,1.03709,1.03743,1.03683,1.03716
EURUSD,H1,2025-01-02T06:00:00Z,1.03718,1.03756,1.03665,1.03694
EURUSD,H1,2025-01-02T07:00:00Z,1.03694,1.03708,1.03618,1.03638
EURUSD,H1,2025-01-02T08:00:00Z,1.03638,1.0365,1.036,1.03638
EURUSD,H1,2025-01-02T09:00:00Z,1.03638,1.03725,1.03624,1.03629
EURUSD,H1,2025-01-02T10:00:00Z,1.03629,1.0371,1.03464,1.03629
EURUSD,H1,2025-01-02T11:00:00Z,1.0363,1.03706,1.03496,1.03517
EURUSD,H1,2025-01-02T12:00:00Z,1.03517,1.03569,1.03138,1.03168
EURUSD,H1,2025-01-02T13:00:00Z,1.03168,1.03344,1.03149,1.03322
EURUSD,H1,2025-01-02T14:00:00Z,1.03322,1.03344,1.03149,1.03183
EURUSD,H1,2025-01-02T15:00:00Z,1.03183,1.03297,1.03115,1.03134
EURUSD,H1,2025-01-02T16:00:00Z,1.03134,1.03239,1.03023,1.0306
EURUSD,H1,2025-01-02T17:00:00Z,1.03036,1.03089,1.02727,1.02742
EURUSD,H1,2025-01-02T18:00:00Z,1.02742,1.02763,1.02243,1.02613
EURUSD,H1,2025-01-02T19:00:00Z,1.02613,1.02681,1.02513,1.0265
EURUSD,H1,2025-01-02T20:00:00Z,1.0265,1.02663,1.02558,1.02565
EURUSD,H1,2025-01-02T21:00:00Z,1.02565,1.02596,1.0248,1.02512
EURUSD,H1,2025-01-02T22:00:00Z,1.02511,1.02645,1.02508,1.02615
EURUSD,H1,2025-01-02T23:00:00Z,1.02615,1.02687,1.02614,1.0267
EURUSD,H1,2025-01-03T00:00:00Z,1.02572,1.02668,1.02529,1.02646
EURUSD,H1,2025-01-03T01:00:00Z,1.02652,1.02682,1.02644,1.02678
EURUSD,H1,2025-01-03T02:00:00Z,1.02678,1.02736,1.02659,1.0273
EURUSD,H1,2025-01-03T03:00:00Z,1.0273,1.02731,1.02665,1.02676
EURUSD,H1,2025-01-03T04:00:00Z,1.02676,1.02747,1.02668,1.02724
EURUSD,H1,2025-01-03T05:00:00Z,1.02724,1.02745,1.02688,1.02708
EURUSD,H1,2025-01-03T06:00:00Z,1.02708,1.0271,1.02672,1.02697
EURUSD,H1,2025-01-03T07:00:00Z,1.02697,1.02736,1.02647,1.02718
EURUSD,H1,2025-01-03T08:00:00Z,1.02718,1.02794,1.02716,1.02793
EURUSD,H1,2025-01-03T09:00:00Z,1.02793,1.02847,1.02688,1.02808
EURUSD,H1,2025-01-03T10:00:00Z,1.02809,1.02881,1.02728,1.02804
EURUSD,H1,2025-01-03T11:00:00Z,1.02804,1.03,1.02802,1.0290300000000001
EURUSD,H1,2025-01-03T12:00:00Z,1.0290300000000001,1.02939,1.02792,1.02814
EURUSD,H1,2025-01-03T13:00:00Z,1.02814,1.03029,1.02814,1.02973
EURUSD,H1,2025-01-03T14:00:00Z,1.02973,1.03009,1.02942,1.02956
EURUSD,H1,2025-01-03T15:00:00Z,1.02956,1.03002,1.02914,1.02932
EURUSD,H1,2025-01-03T16:00:00Z,1.02932,1.03024,1.0288,1.03004
EURUSD,H1,2025-01-03T17:00:00Z,1.03004,1.03058,1.02731,1.02893
EURUSD,H1,2025-01-03T18:00:00Z,1.02893,1.03,1.02836,1.02909
EURUSD,H1,2025-01-03T19:00:00Z,1.02909,1.03057,1.02909,1.0298
EURUSD,H1,2025-01-03T20:00:00Z,1.0298,1.03021,1.02924,1.02973
EURUSD,H1,2025-01-03T21:00:00Z,1.02973,1.03061,1.02938,1.03013
EURUSD,H1,2025-01-03T22:00:00Z,1.03013,1.03076,1.02989,1.03058
EURUSD,H1,2025-01-03T23:00:00Z,1.03058,1.03099,1.03047,1.0308
EURUSD,H1,2025-01-06T00:00:00Z,1.03021,1.03063,1.02957,1.03011
EURUSD,H1,2025-01-06T01:00:00Z,1.03011,1.0308,1.03011,1.03052
EURUSD,H1,2025-01-06T02:00:00Z,1.03052,1.03053,1.02955,1.0303
EURUSD,H1,2025-01-06T03:00:00Z,1.0303,1.03137,1.03013,1.03123
EURUSD,H1,2025-01-06T04:00:00Z,1.03123,1.03177,1.03109,1.0316
EURUSD,H1,2025-01-06T05:00:00Z,1.0316,1.03183,1.03131,1.03165
EURUSD,H1,2025-01-06T06:00:00Z,1.03165,1.03176,1.03129,1.03153
EURUSD,H1,2025-01-06T07:00:00Z,1.03153,1.03182,1.03086,1.03089
EURUSD,H1,2025-01-06T08:00:00Z,1.03089,1.03166,1.03078,1.03127
EURUSD,H1,2025-01-06T09:00:00Z,1.03127,1.03284,1.03099,1.03273
EURUSD,H1,2025-01-06T10:00:00Z,1.03273,1.03525,1.03266,1.03503
EURUSD,H1,2025-01-06T11:00:00Z,1.03503,1.03689,1.03402,1.03556
EURUSD,H1,2025-01-06T12:00:00Z,1.03556,1.0358,1.03351,1.03351
EURUSD,H1,2025-01-06T13:00:00Z,1.03351,1.0433,1.03287,1.04219
EURUSD,H1,2025-01-06T14:00:00Z,1.04219,1.04308,1.03921,1.04109
EURUSD,H1,2025-01-06T15:00:00Z,1.04111,1.04369,1.04045,1.04169
EURUSD,H1,2025-01-06T16:00:00Z,1.04168,1.04239,1.03526,1.03926
EURUSD,H1,2025-01-06T17:00:00Z,1.03926,1.03989,1.03714,1.03935
EURUSD,H1,2025-01-06T18:00:00Z,1.03937,1.04029,1.03854,1.03969
EURUSD,H1,2025-01-06T19:00:00Z,1.03969,1.03969,1.03793,1.03875
EURUSD,H1,2025-01-06T20:00:00Z,1.03875,1.03893,1.03771,1.0382
EURUSD,H1,2025-01-06T21:00:00Z,1.0382,1.03919,1.0379,1.03884
EURUSD,H1,2025-01-06T22:00:00Z,1.03885,1.03922,1.03858,1.03879
EURUSD,H1,2025-01-06T23:00:00Z,1.03879,1.03923,1.03862,1.03897
EURUSD,H1,2025-01-07T00:00:00Z,1.03896,1.03915,1.0378,1.03893
EURUSD,H1,2025-01-07T01:00:00Z,1.03896,1.03901,1.03817,1.03834
EURUSD,H1,2025-01-07T02:00:00Z,1.03833,1.03854,1.03772,1.03844
EURUSD,H1,2025-01-07T03:00:00Z,1.03844,1.03849,1.03763,1.03812
EURUSD,H1,2025-01-07T04:00:00Z,1.03812,1.03854,1.038,1.03824
EURUSD,H1,2025-01-07T05:00:00Z,1.03824,1.0393,1.03802,1.03929
EURUSD,H1,2025-01-07T06:00:00Z,1.03929,1.03945,1.03905,1.03918
EURUSD,H1,2025-01-07T07:00:00Z,1.03918,1.04033,1.0391,1.03968
EURUSD,H1,2025-01-07T08:00:00Z,1.03968,1.04042,1.03963,1.03975
EURUSD,H1,2025-01-07T09:00:00Z,1.03975,1.04246,1.03975,1.04147
EURUSD,H1,2025-01-07T10:00:00Z,1.04148,1.04253,1.04031,1.04253
EURUSD,H1,2025-01-07T11:00:00Z,1.04253,1.04344,1.04242,1.04277
EURUSD,H1,2025-01-07T12:00:00Z,1.04277,1.04345,1.04168,1.0428
EURUSD,H1,2025-01-07T13:00:00Z,1.0428,1.04285,1.04052,1.04135
EURUSD,H1,2025-01-07T14:00:00Z,1.04135,1.04171,1.03873,1.03893
EURUSD,H1,2025-01-07T15:00:00Z,1.03894,1.04052,1.03867,1.03966
EURUSD,H1,2025-01-07T16:00:00Z,1.03967,1.03977,1.03893,1.03932
EURUSD,H1,2025-01-07T17:00:00Z,1.03932,1.03932,1.03552,1.03729
EURUSD,H1,2025-01-07T18:00:00Z,1.03731,1.03815,1.03627,1.03685
EURUSD,H1,2025-01-07T19:00:00Z,1.03685,1.03739,1.0354,1.03671
EURUSD,H1,2025-01-07T20:00:00Z,1.03671,1.03695,1.03495,1.03544
EURUSD,H1,2025-01-07T21:00:00Z,1.03544,1.03598,1.03523,1.03554
EURUSD,H1,2025-01-07T22:00:00Z,1.03552,1.03559,1.03442,1.03444
EURUSD,H1,2025-01-07T23:00:00Z,1.03444,1.03444,1.03396,1.03398
EURUSD,H1,2025-01-08T00:00:00Z,1.03401,1.03427,1.0338,1.03417
EURUSD,H1,2025-01-08T01:00:00Z,1.03418,1.0345,1.03392,1.03416
EURUSD,H1,2025-01-08T02:00:00Z,1.03416,1.03494,1.03416,1.03468
EURUSD,H1,2025-01-08T03:00:00Z,1.03468,1.03531,1.03453,1.0352999999999999
EURUSD,H1,2025-01-08T04:00:00Z,1.0352999999999999,1.03549,1.03515,1.03542
EURUSD,H1,2025-01-08T05:00:00Z,1.03542,1.03542,1.03464,1.03478
EURUSD,H1,2025-01-08T06:00:00Z,1.03478,1.03521,1.03474,1.03513
EURUSD,H1,2025-01-08T07:00:00Z,1.03513,1.03558,1.03495,1.0355
EURUSD,H1,2025-01-08T08:00:00Z,1.0355,1.03577,1.03462,1.03516
