"file","room_anchor","display_date","display_time","topic_anchor","excerpt_preview"
"info_live_export__20260731_171017.json","查看原文","2026/07/31","16:04:38","### 股海降龙十八掌赋 时间：","### 股海降龙十八掌赋 时间："
"info_live_export__20260731_171037.json","先知","2026/07/28","00:42:34","#历史第一) • 2016年1月#","2026/07/28 10:10:56 机构小秘圈 还是那句话，光刻机是事件催化驱动的波段性机会，非产业景气度驱动的趋势性机会，毕竟还没几台。 回复 罗叹：老师今天更新不少光刻机零部件公司，我这里还是谨慎，一是大盘并未企稳，二是光刻机这两年"
"info_live_export__20260731_171048.json","浮光","2026/07/23","09:29:10","2026/07/23 10:31:43 讲师 2026/07/24 09:28:13 讲师 2026/07/24 10:31:39 讲师 2026/07/24","2026/07/23 10:31:43 讲师 2026/07/24 09:28:13 讲师 2026/07/24 10:31:39 讲师 2026/07/24 13:13:00 讲师 2026/07/24 14:28:57 讲师 2026/"
"info_live_export__20260731_171058.json","梅森","2026/07/30","12:00:05","7月盈利超厉害了，稳住20260730 11:26:46守纪律25.12:我也空仓中，身在梅家圈实在太幸运了，7月份做了几天锐捷，保住了利润，实现了总体仓位盈利","7月盈利超厉害了，稳住20260730 11:26:46守纪律25.12:我也空仓中，身在梅家圈实在太幸运了，7月份做了几天锐捷，保住了利润，实现了总体仓位盈利10% 讲师"
"info_live_export__20260731_171110.json","讲师","2026/07/28","10:00:49","低位脑机接口 盈康生命 讲师","低位脑机接口 盈康生命 讲师"
"info_live_export__20260731_171125.json","讲师","2026/07/28","10:00:49","低位脑机接口 盈康生命 讲师","低位脑机接口 盈康生命 讲师"
"info_live_export__20260731_171142.json","讲师","2026/07/21","10:52:18","..兄安游资.. VIP 观点 ---- 战友们,热泪盈眶啊,普反的这一天终于熬到了. 但愿今天多来一些涨停板！鼓舞一下信心！ ---- 相关股票，， 讲师","..兄安游资.. VIP 观点 ---- 战友们,热泪盈眶啊,普反的这一天终于熬到了. 但愿今天多来一些涨停板！鼓舞一下信心！ ---- 相关股票，， 讲师"
"info_live_export__20260731_171201.json","讲师","2026/07/31","13:23:05","因为大成交大多还都在AI硬件方向，所以现在还是AI硬件和指数深度绑定，如果看指数反弹，AI硬件这个超跌反弹是避免不了的方向 讲师","因为大成交大多还都在AI硬件方向，所以现在还是AI硬件和指数深度绑定，如果看指数反弹，AI硬件这个超跌反弹是避免不了的方向 讲师"
"info_live_export__20260731_171215.json","讲师","2026/07/31","10:32:05","李朋","李朋"
"info_live_export__20260731_171227.json","讲师","2026/07/30","11:31:05","担心呀 讲师","担心呀 讲师"
"info_live_export__20260731_171240.json","讲师","2026/07/01","09:31:59","朱平","朱平"
"info_live_export__20260731_171253.json","讲师","2026/07/30","13:45:36","#格兰投研#","#格兰投研#：太惨了。 防止失联QQ群859780254 讲师"
"info_live_export__20260731_171310.json","讲师","2026/07/20","09:53:48","新开只有米奥哥、通源哥 其他先手慢慢处理。 多耐心。 讲师","新开只有米奥哥、通源哥 其他先手慢慢处理。 多耐心。 讲师"
"info_live_export__20260731_171411.json","讲师","2026/07/21","10:57:19","老师：它不是人啊ID:100039 讲师","老师：它不是人啊ID:100039 讲师"
"info_live_export__20260731_171427.json","讲师","2026/07/27","11:07:06","大盘这！存在一个预期差！当大家的目光都放在长鑫上市！硬科技这块！反而早盘表现得比较好的是医药、脑机、锂电、以及情绪投机方向！还是之前说的长鑫带着科技的预期都被拉","大盘这！存在一个预期差！当大家的目光都放在长鑫上市！硬科技这块！反而早盘表现得比较好的是医药、脑机、锂电、以及情绪投机方向！还是之前说的长鑫带着科技的预期都被拉满了！不存在预期差！那么反而在市场反弹的时候！医药这些预期不高的会出来表现！博弈"
"info_live_export__20260731_171441.json","讲师","2026/07/13","10:34:42","独立逻辑就是牛逼炸裂 讲师","独立逻辑就是牛逼炸裂 讲师"
"info_live_export__20260731_171454.json","k神","2026/07/23","09:25:38","情绪铆钉k神 这光模块被偷了还能高开.这市场应该怎么理解？？？ 更多资讯加微信好友aa1240458509","情绪铆钉k神 这光模块被偷了还能高开.这市场应该怎么理解？？？ 更多资讯加微信好友aa1240458509"
"info_live_export__20260731_171529.json","讲师","2026/07/01","13:56:42","但我认为会围绕40上下穿梭！震荡！还会上到40之上…… 讲师","但我认为会围绕40上下穿梭！震荡！还会上到40之上…… 讲师"
"info_live_export__20260731_171549.json","讲师","2026/07/14","10:20:44","今天开始关注业绩正反馈 讲师","今天开始关注业绩正反馈 讲师"
"info_live_export__20260731_171605.json","讲师","2026/07/01","09:44:21","兴业给到了2个多板 讲师","兴业给到了2个多板 讲师"
"info_live_export__20260731_171619.json","讲师","2026/07/09","09:20:21","#满足前提直接做）：#","陈子瞻 09:20:18 周四思路参考#其他临盘随时补充）昨盘面本尝试修复午后被韩市拖累继续多杀多，今盘前美股探底回升微红 韩市直接高开反弹暂震荡，其他盘前玻璃基板，电子布，商航，AI手机等利好。对应今盘面也映射尝试修复，还是又高开低走多杀"
"info_live_export__20260731_171634.json","讲师","2026/07/22","10:21:29","李娟昨天盘前推送的：华电辽能目前也成功涨停！今日盘前推送的：紫光古份目前也成功涨停！只要市场恢复正常！我们就能够迅速拿回一切！！！大家有没有信心￥ID:1000","李娟昨天盘前推送的：华电辽能目前也成功涨停！今日盘前推送的：紫光古份目前也成功涨停！只要市场恢复正常！我们就能够迅速拿回一切！！！大家有没有信心￥ID:100039 讲师"
