"Seq24"	"RoomName"	"TradeDate"	"S1_RawTodayExist"	"S1_RawTodayFileCount"	"S2_DraftOrSummaryTodayExist"	"S3_ManualAbsorbMarkAtDateExist"	"All3PASS"	"LightTag_ASCII_Draft"
"1"	"复盘哥"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"2"	"独家老师5号"	"2026-08-11"	"YES"	"3"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"3"	"独家短线老师6号"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"4"	"机构电话会议纪要+小作文+情报"	"2026-08-11"	"YES"	"16"	"NO"	"NO"	"NO"	"YELLOW_WIP"
"5"	"梅森"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"6"	"顺势而为"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"7"	"混江龙"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"8"	"天赢居"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"9"	"先知"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"10"	"天机"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"11"	"游资胖大叔"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"12"	"潜伏王者"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"13"	"k神"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"14"	"周期女王"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"15"	"格兰投研"	"2026-08-11"	"YES"	"2"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"16"	"擒龙小师姐"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"17"	"独家竞价低吸"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"18"	"小锦鲤"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"19"	"核心逻辑社"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"20"	"梦幻一步"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"21"	"新生代"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"22"	"龙头交易猿"	"2026-08-11"	"YES"	"1"	"YES"	"NO"	"NO"	"YELLOW_WIP"
"23"	"机构研报资讯精选"	"2026-08-11"	"YES"	"4"	"NO"	"NO"	"NO"	"YELLOW_WIP"
"24"	"小作文嗅嗅+机构研报"	"2026-08-11"	"YES"	"3"	"YES"	"NO"	"NO"	"YELLOW_WIP"
