房名	ROOM.md(A/B/C)	SENTINEL(A/B/C)	NOTES.md(A/B/C)	总完整性评级	ROOM.md字节差(A-B,前5对)
k神	Y/Y/N	N/N/N	Y/N/Y	待补	A=1609 B=1609 差=0
先知	Y/Y/N	N/N/N	Y/N/Y	待补	A=1639 B=1639 差=0
周期女王	Y/Y/N	N/N/N	Y/N/Y	待补	A=1614 B=1614 差=0
复盘哥	Y/Y/N	N/N/N	Y/N/Y	待补	A=1698 B=1698 差=0
天机	Y/Y/N	N/N/N	Y/N/Y	待补	A=1585 B=1585 差=0
天赢居	Y/Y/N	N/N/N	Y/N/Y	待补	
小作文嗅嗅+机构研报	Y/Y/N	N/N/N	Y/N/Y	待补	
小锦鲤	Y/Y/N	N/N/N	Y/N/Y	待补	
擒龙小师姐	Y/Y/N	N/N/N	Y/N/Y	待补	
新生代	Y/Y/N	N/N/N	Y/N/Y	待补	
机构电话会议纪要+小作文+情报	Y/Y/N	N/N/N	Y/N/Y	待补	
机构研报资讯精选	Y/Y/N	N/N/N	Y/N/Y	待补	
核心逻辑社	Y/Y/N	N/N/N	Y/N/Y	待补	
格兰投研	Y/Y/N	N/N/N	Y/N/Y	待补	
梅森	Y/Y/N	N/N/N	Y/N/Y	待补	
梦幻一步	Y/Y/N	N/N/N	Y/N/Y	待补	
混江龙	Y/Y/N	N/N/N	Y/N/Y	待补	
游资胖大叔	Y/Y/N	N/N/N	Y/N/Y	待补	
潜伏王者	Y/Y/N	N/N/N	Y/N/Y	待补	
独家短线老师6号	Y/Y/N	N/N/N	Y/N/Y	待补	
独家竞价低吸	Y/Y/N	N/N/N	Y/N/Y	待补	
独家老师5号	Y/Y/N	N/N/N	Y/N/Y	待补	
顺势而为	Y/Y/N	N/N/N	Y/N/Y	待补	
龙头交易猿	Y/Y/N	N/N/N	Y/N/Y	待补	
