bar_time,symbol,timeframe,open,high,low,close,tick_volume,source_path,source_row_number,contract_version
2012-05-20T22:00:00,XTIUSD,1H,91.303,91.35,90.84,90.88,2095.0,D:\Stock\trading_assistant\legacy_analysis\data\xtiusd_1h.csv,2,purchased_csv_contract_v1
2012-05-20T23:00:00,XTIUSD,1H,90.89,91.26,90.84,91.24,2133.0,D:\Stock\trading_assistant\legacy_analysis\data\xtiusd_1h.csv,3,purchased_csv_contract_v1
2012-05-21T00:00:00,XTIUSD,1H,91.24,91.79,91.24,91.54,3297.0,D:\Stock\trading_assistant\legacy_analysis\data\xtiusd_1h.csv,4,purchased_csv_contract_v1
2012-05-21T01:00:00,XTIUSD,1H,91.54,92.0,91.39,92.0,2725.0,D:\Stock\trading_assistant\legacy_analysis\data\xtiusd_1h.csv,5,purchased_csv_contract_v1
2012-05-21T02:00:00,XTIUSD,1H,92.0,92.04,91.7,91.92,2161.0,D:\Stock\trading_assistant\legacy_analysis\data\xtiusd_1h.csv,6,purchased_csv_contract_v1
2012-05-21T03:00:00,XTIUSD,1H,91.9,91.96,91.78,91.94,1399.0,D:\Stock\trading_assistant\legacy_analysis\data\xtiusd_1h.csv,7,purchased_csv_contract_v1
2012-05-21T04:00:00,XTIUSD,1H,91.94,91.99,91.87,91.91,2283.0,D:\Stock\trading_assistant\legacy_analysis\data\xtiusd_1h.csv,8,purchased_csv_contract_v1
2012-05-21T05:00:00,XTIUSD,1H,91.91,91.91,91.81,91.89,2399.0,D:\Stock\trading_assistant\legacy_analysis\data\xtiusd_1h.csv,9,purchased_csv_contract_v1
2012-05-21T06:00:00,XTIUSD,1H,91.89,91.938,91.63,91.84,3570.0,D:\Stock\trading_assistant\legacy_analysis\data\xtiusd_1h.csv,10,purchased_csv_contract_v1
2012-05-21T07:00:00,XTIUSD,1H,91.84,92.15,91.6,92.1,7348.0,D:\Stock\trading_assistant\legacy_analysis\data\xtiusd_1h.csv,11,purchased_csv_contract_v1
2012-05-21T08:00:00,XTIUSD,1H,92.1,92.2,91.95,91.95,5831.0,D:\Stock\trading_assistant\legacy_analysis\data\xtiusd_1h.csv,12,purchased_csv_contract_v1
2012-05-21T09:00:00,XTIUSD,1H,91.95,92.03,91.66,91.81,6168.0,D:\Stock\trading_assistant\legacy_analysis\data\xtiusd_1h.csv,13,purchased_csv_contract_v1
2012-05-21T10:00:00,XTIUSD,1H,91.81,91.92,91.73,91.83,5096.0,D:\Stock\trading_assistant\legacy_analysis\data\xtiusd_1h.csv,14,purchased_csv_contract_v1
2012-05-21T11:00:00,XTIUSD,1H,91.83,92.0,91.75,91.76,5018.0,D:\Stock\trading_assistant\legacy_analysis\data\xtiusd_1h.csv,15,purchased_csv_contract_v1
2012-05-21T12:00:00,XTIUSD,1H,91.76,91.868,91.59,91.62,7715.0,D:\Stock\trading_assistant\legacy_analysis\data\xtiusd_1h.csv,16,purchased_csv_contract_v1
2012-05-21T13:00:00,XTIUSD,1H,91.62,91.96,91.45,91.88,12441.0,D:\Stock\trading_assistant\legacy_analysis\data\xtiusd_1h.csv,17,purchased_csv_contract_v1
