bar_time,symbol,timeframe,open,high,low,close,tick_volume,source_path,source_row_number,contract_version
2016-01-03T22:00:00,GBPUSD,1H,1.47306,1.47445,1.47306,1.4734,647.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpusd_1h.csv,2,purchased_csv_contract_v1
2016-01-03T23:00:00,GBPUSD,1H,1.47337,1.47375,1.4726,1.47352,2386.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpusd_1h.csv,3,purchased_csv_contract_v1
2016-01-04T00:00:00,GBPUSD,1H,1.4735,1.47402,1.47235,1.47268,2608.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpusd_1h.csv,4,purchased_csv_contract_v1
2016-01-04T01:00:00,GBPUSD,1H,1.47272,1.47297,1.46924,1.47173,5330.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpusd_1h.csv,5,purchased_csv_contract_v1
2016-01-04T02:00:00,GBPUSD,1H,1.47172,1.47224,1.47034,1.47176,4423.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpusd_1h.csv,6,purchased_csv_contract_v1
2016-01-04T03:00:00,GBPUSD,1H,1.47176,1.47229,1.47151,1.47171,2178.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpusd_1h.csv,7,purchased_csv_contract_v1
2016-01-04T04:00:00,GBPUSD,1H,1.4717,1.47353,1.4717,1.47351,3196.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpusd_1h.csv,8,purchased_csv_contract_v1
2016-01-04T05:00:00,GBPUSD,1H,1.47349,1.47452,1.47306,1.4736,4045.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpusd_1h.csv,9,purchased_csv_contract_v1
2016-01-04T06:00:00,GBPUSD,1H,1.4736,1.47408,1.47342,1.47379,3192.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpusd_1h.csv,10,purchased_csv_contract_v1
2016-01-04T07:00:00,GBPUSD,1H,1.47379,1.47619,1.472,1.47589,8781.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpusd_1h.csv,11,purchased_csv_contract_v1
2016-01-04T08:00:00,GBPUSD,1H,1.47592,1.47719,1.4735,1.47693,10826.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpusd_1h.csv,12,purchased_csv_contract_v1
2016-01-04T09:00:00,GBPUSD,1H,1.47693,1.47837,1.47532,1.47828,8834.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpusd_1h.csv,13,purchased_csv_contract_v1
2016-01-04T10:00:00,GBPUSD,1H,1.47827,1.48152,1.47773,1.47889,8915.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpusd_1h.csv,14,purchased_csv_contract_v1
2016-01-04T11:00:00,GBPUSD,1H,1.47888,1.479,1.47635,1.47678,7851.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpusd_1h.csv,15,purchased_csv_contract_v1
2016-01-04T12:00:00,GBPUSD,1H,1.47678,1.47857,1.47545,1.47594,7635.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpusd_1h.csv,16,purchased_csv_contract_v1
2016-01-04T13:00:00,GBPUSD,1H,1.47595,1.47659,1.47339,1.47358,8435.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpusd_1h.csv,17,purchased_csv_contract_v1
2016-01-04T14:00:00,GBPUSD,1H,1.47358,1.47436,1.47135,1.47153,8433.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpusd_1h.csv,18,purchased_csv_contract_v1
