bar_time,symbol,timeframe,open,high,low,close,tick_volume,source_path,source_row_number,contract_version
2016-01-03T23:00:00,XAGUSD,1H,13.809,13.891,13.809,13.89,539.0,D:\Stock\trading_assistant\legacy_analysis\data\xagusd_1h.csv,2,purchased_csv_contract_v1
2016-01-04T00:00:00,XAGUSD,1H,13.89,13.947,13.87,13.902,742.0,D:\Stock\trading_assistant\legacy_analysis\data\xagusd_1h.csv,3,purchased_csv_contract_v1
2016-01-04T01:00:00,XAGUSD,1H,13.906,13.911,13.835,13.862,1409.0,D:\Stock\trading_assistant\legacy_analysis\data\xagusd_1h.csv,4,purchased_csv_contract_v1
2016-01-04T02:00:00,XAGUSD,1H,13.861,13.88,13.852,13.865,856.0,D:\Stock\trading_assistant\legacy_analysis\data\xagusd_1h.csv,5,purchased_csv_contract_v1
2016-01-04T03:00:00,XAGUSD,1H,13.868,13.878,13.849,13.849,452.0,D:\Stock\trading_assistant\legacy_analysis\data\xagusd_1h.csv,6,purchased_csv_contract_v1
2016-01-04T04:00:00,XAGUSD,1H,13.85,13.89,13.83,13.889,850.0,D:\Stock\trading_assistant\legacy_analysis\data\xagusd_1h.csv,7,purchased_csv_contract_v1
2016-01-04T05:00:00,XAGUSD,1H,13.89,13.941,13.874,13.931,1245.0,D:\Stock\trading_assistant\legacy_analysis\data\xagusd_1h.csv,8,purchased_csv_contract_v1
2016-01-04T06:00:00,XAGUSD,1H,13.933,14.015,13.909,13.984,1220.0,D:\Stock\trading_assistant\legacy_analysis\data\xagusd_1h.csv,9,purchased_csv_contract_v1
2016-01-04T07:00:00,XAGUSD,1H,13.984,13.984,13.876,13.932,1317.0,D:\Stock\trading_assistant\legacy_analysis\data\xagusd_1h.csv,10,purchased_csv_contract_v1
2016-01-04T08:00:00,XAGUSD,1H,13.932,13.978,13.891,13.93,1963.0,D:\Stock\trading_assistant\legacy_analysis\data\xagusd_1h.csv,11,purchased_csv_contract_v1
2016-01-04T09:00:00,XAGUSD,1H,13.93,13.97,13.918,13.97,955.0,D:\Stock\trading_assistant\legacy_analysis\data\xagusd_1h.csv,12,purchased_csv_contract_v1
2016-01-04T10:00:00,XAGUSD,1H,13.967,13.982,13.953,13.977,1067.0,D:\Stock\trading_assistant\legacy_analysis\data\xagusd_1h.csv,13,purchased_csv_contract_v1
2016-01-04T11:00:00,XAGUSD,1H,13.978,14.009,13.93,13.949,1800.0,D:\Stock\trading_assistant\legacy_analysis\data\xagusd_1h.csv,14,purchased_csv_contract_v1
2016-01-04T12:00:00,XAGUSD,1H,13.948,13.984,13.92,13.956,1862.0,D:\Stock\trading_assistant\legacy_analysis\data\xagusd_1h.csv,15,purchased_csv_contract_v1
