bar_time,symbol,timeframe,open,high,low,close,tick_volume,source_path,source_row_number,contract_version
2016-01-03T23:00:00,XAUUSD,1H,1062.6,1066.18,1061.66,1063.05,2890.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,2,purchased_csv_contract_v1
2016-01-04T00:00:00,XAUUSD,1H,1063.01,1064.67,1062.65,1064.43,3773.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,3,purchased_csv_contract_v1
2016-01-04T01:00:00,XAUUSD,1H,1064.43,1065.28,1062.21,1063.37,5137.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,4,purchased_csv_contract_v1
2016-01-04T02:00:00,XAUUSD,1H,1063.34,1064.56,1063.2,1064.23,5969.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,5,purchased_csv_contract_v1
2016-01-04T03:00:00,XAUUSD,1H,1064.24,1064.62,1063.65,1063.68,3509.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,6,purchased_csv_contract_v1
2016-01-04T04:00:00,XAUUSD,1H,1063.69,1065.3,1063.43,1065.26,4312.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,7,purchased_csv_contract_v1
2016-01-04T05:00:00,XAUUSD,1H,1065.25,1068.91,1064.98,1068.63,7023.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,8,purchased_csv_contract_v1
2016-01-04T06:00:00,XAUUSD,1H,1068.63,1070.08,1067.92,1069.79,5327.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,9,purchased_csv_contract_v1
2016-01-04T07:00:00,XAUUSD,1H,1069.79,1073.03,1068.5,1071.27,5816.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,10,purchased_csv_contract_v1
2016-01-04T08:00:00,XAUUSD,1H,1071.25,1074.04,1070.41,1072.62,9039.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,11,purchased_csv_contract_v1
2016-01-04T09:00:00,XAUUSD,1H,1072.67,1073.66,1071.25,1073.58,6052.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,12,purchased_csv_contract_v1
2016-01-04T10:00:00,XAUUSD,1H,1073.58,1073.85,1072.39,1072.65,5984.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,13,purchased_csv_contract_v1
2016-01-04T11:00:00,XAUUSD,1H,1072.61,1074.62,1070.3,1072.48,6814.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,14,purchased_csv_contract_v1
2016-01-04T12:00:00,XAUUSD,1H,1072.48,1072.96,1071.14,1072.29,5361.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,15,purchased_csv_contract_v1
2016-01-04T13:00:00,XAUUSD,1H,1072.33,1079.47,1070.37,1078.47,12541.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,16,purchased_csv_contract_v1
2016-01-04T14:00:00,XAUUSD,1H,1078.48,1081.57,1077.31,1080.32,11015.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,17,purchased_csv_contract_v1
2016-01-04T15:00:00,XAUUSD,1H,1080.36,1083.44,1076.63,1077.81,13330.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,18,purchased_csv_contract_v1
2016-01-04T16:00:00,XAUUSD,1H,1077.86,1078.68,1071.23,1073.32,9797.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,19,purchased_csv_contract_v1
2016-01-04T17:00:00,XAUUSD,1H,1073.32,1077.08,1073.1,1076.1,7559.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,20,purchased_csv_contract_v1
2016-01-04T18:00:00,XAUUSD,1H,1076.09,1076.43,1074.97,1074.98,6391.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,21,purchased_csv_contract_v1
2016-01-04T19:00:00,XAUUSD,1H,1074.96,1075.63,1074.77,1075.03,3716.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,22,purchased_csv_contract_v1
2016-01-04T20:00:00,XAUUSD,1H,1075.08,1075.33,1073.91,1075.03,4032.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,23,purchased_csv_contract_v1
2016-01-04T21:00:00,XAUUSD,1H,1075.1,1075.1,1071.83,1074.3,1126.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,24,purchased_csv_contract_v1
2016-01-04T23:00:00,XAUUSD,1H,1073.44,1073.8,1072.92,1072.98,1364.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,25,purchased_csv_contract_v1
2016-01-05T00:00:00,XAUUSD,1H,1072.99,1076.59,1072.56,1075.7,4580.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,26,purchased_csv_contract_v1
2016-01-05T01:00:00,XAUUSD,1H,1075.71,1076.91,1074.43,1076.16,6758.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,27,purchased_csv_contract_v1
2016-01-05T02:00:00,XAUUSD,1H,1076.15,1076.42,1075.58,1076.03,3553.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,28,purchased_csv_contract_v1
2016-01-05T03:00:00,XAUUSD,1H,1076.06,1076.9,1075.82,1076.82,2845.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,29,purchased_csv_contract_v1
2016-01-05T04:00:00,XAUUSD,1H,1076.8,1077.73,1076.29,1077.3,2780.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,30,purchased_csv_contract_v1
2016-01-05T05:00:00,XAUUSD,1H,1077.29,1078.82,1076.85,1078.26,4720.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,31,purchased_csv_contract_v1
2016-01-05T06:00:00,XAUUSD,1H,1078.27,1079.06,1077.44,1078.92,3980.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,32,purchased_csv_contract_v1
2016-01-05T07:00:00,XAUUSD,1H,1078.89,1079.62,1076.34,1076.71,5713.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,33,purchased_csv_contract_v1
2016-01-05T08:00:00,XAUUSD,1H,1076.71,1077.35,1076.28,1076.83,6858.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,34,purchased_csv_contract_v1
2016-01-05T09:00:00,XAUUSD,1H,1076.86,1079.65,1076.74,1077.91,7402.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,35,purchased_csv_contract_v1
2016-01-05T10:00:00,XAUUSD,1H,1077.88,1080.07,1076.97,1077.4,7035.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,36,purchased_csv_contract_v1
2016-01-05T11:00:00,XAUUSD,1H,1077.4,1080.77,1076.99,1079.74,5079.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,37,purchased_csv_contract_v1
2016-01-05T12:00:00,XAUUSD,1H,1079.77,1081.9,1079.01,1079.25,6683.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,38,purchased_csv_contract_v1
2016-01-05T13:00:00,XAUUSD,1H,1079.31,1081.83,1075.18,1075.19,9569.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,39,purchased_csv_contract_v1
2016-01-05T14:00:00,XAUUSD,1H,1075.2,1078.1,1075.15,1076.81,10207.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,40,purchased_csv_contract_v1
2016-01-05T15:00:00,XAUUSD,1H,1076.82,1079.28,1075.69,1076.93,10816.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,41,purchased_csv_contract_v1
2016-01-05T16:00:00,XAUUSD,1H,1076.94,1080.3,1076.88,1079.62,8202.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,42,purchased_csv_contract_v1
2016-01-05T17:00:00,XAUUSD,1H,1079.66,1081.13,1078.4,1079.59,5618.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,43,purchased_csv_contract_v1
2016-01-05T18:00:00,XAUUSD,1H,1079.57,1079.66,1076.78,1078.42,5616.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,44,purchased_csv_contract_v1
2016-01-05T19:00:00,XAUUSD,1H,1078.37,1078.61,1077.58,1078.61,2330.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,45,purchased_csv_contract_v1
2016-01-05T20:00:00,XAUUSD,1H,1078.61,1078.87,1078.04,1078.43,2573.0,D:\Stock\trading_assistant\legacy_analysis\data\xauusd_1h.csv,46,purchased_csv_contract_v1
