bar_time,symbol,timeframe,open,high,low,close,tick_volume,source_path,source_row_number,contract_version
2023-01-01T22:00:00,AUDNZD,1H,1.07324,1.07553,1.07324,1.07548,80.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,2,purchased_csv_contract_v1
2023-01-01T23:00:00,AUDNZD,1H,1.07525,1.07528,1.07306,1.07314,193.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,3,purchased_csv_contract_v1
2023-01-02T00:00:00,AUDNZD,1H,1.07314,1.07328,1.07183,1.07281,276.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,4,purchased_csv_contract_v1
2023-01-02T01:00:00,AUDNZD,1H,1.07277,1.07488,1.07258,1.07334,345.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,5,purchased_csv_contract_v1
2023-01-02T02:00:00,AUDNZD,1H,1.07352,1.07978,1.07327,1.07624,630.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,6,purchased_csv_contract_v1
2023-01-02T03:00:00,AUDNZD,1H,1.07626,1.07629,1.07517,1.07553,275.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,7,purchased_csv_contract_v1
2023-01-02T04:00:00,AUDNZD,1H,1.07555,1.07565,1.07507,1.07514,261.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,8,purchased_csv_contract_v1
2023-01-02T05:00:00,AUDNZD,1H,1.07514,1.07575,1.07405,1.0746,549.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,9,purchased_csv_contract_v1
2023-01-02T06:00:00,AUDNZD,1H,1.07463,1.07542,1.07436,1.07501,660.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,10,purchased_csv_contract_v1
2023-01-02T07:00:00,AUDNZD,1H,1.0747,1.07523,1.07358,1.07424,667.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,11,purchased_csv_contract_v1
2023-01-02T08:00:00,AUDNZD,1H,1.07422,1.07625,1.07412,1.07514,2391.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,12,purchased_csv_contract_v1
2023-01-02T09:00:00,AUDNZD,1H,1.07515,1.07522,1.07355,1.07396,2629.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,13,purchased_csv_contract_v1
2023-01-02T10:00:00,AUDNZD,1H,1.07394,1.07539,1.07369,1.07381,5382.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,14,purchased_csv_contract_v1
2023-01-02T11:00:00,AUDNZD,1H,1.0738,1.07529,1.07373,1.07506,2324.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,15,purchased_csv_contract_v1
2023-01-02T12:00:00,AUDNZD,1H,1.07507,1.0764,1.07434,1.07558,2554.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,16,purchased_csv_contract_v1
2023-01-02T13:00:00,AUDNZD,1H,1.07559,1.07606,1.07451,1.07548,2325.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,17,purchased_csv_contract_v1
2023-01-02T14:00:00,AUDNZD,1H,1.07545,1.07589,1.07393,1.07512,1909.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,18,purchased_csv_contract_v1
2023-01-02T15:00:00,AUDNZD,1H,1.07509,1.07857,1.07507,1.07844,1417.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,19,purchased_csv_contract_v1
2023-01-02T16:00:00,AUDNZD,1H,1.07846,1.0790899999999999,1.0779,1.07846,1879.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,20,purchased_csv_contract_v1
2023-01-02T17:00:00,AUDNZD,1H,1.07844,1.07884,1.07776,1.07793,2518.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,21,purchased_csv_contract_v1
2023-01-02T18:00:00,AUDNZD,1H,1.07815,1.07815,1.07566,1.07615,1161.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,22,purchased_csv_contract_v1
2023-01-02T19:00:00,AUDNZD,1H,1.07614,1.07639,1.07514,1.07532,1440.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,23,purchased_csv_contract_v1
2023-01-02T20:00:00,AUDNZD,1H,1.07524,1.07689,1.07497,1.07598,747.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,24,purchased_csv_contract_v1
2023-01-02T21:00:00,AUDNZD,1H,1.0760399999999999,1.0766499999999999,1.075,1.0761,597.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,25,purchased_csv_contract_v1
2023-01-02T22:00:00,AUDNZD,1H,1.07601,1.07673,1.07495,1.07535,718.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDNZD_1h.csv,26,purchased_csv_contract_v1
