bar_time,symbol,timeframe,open,high,low,close,tick_volume,source_path,source_row_number,contract_version
2016-01-04T00:00:00,EURGBP,1H,0.73738,0.73759,0.73662,0.73727,948.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,2,purchased_csv_contract_v1
2016-01-04T01:00:00,EURGBP,1H,0.73727,0.73731,0.73611,0.73638,3170.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,3,purchased_csv_contract_v1
2016-01-04T02:00:00,EURGBP,1H,0.73638,0.73669,0.73604,0.73632,3018.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,4,purchased_csv_contract_v1
2016-01-04T03:00:00,EURGBP,1H,0.73632,0.7379,0.73573,0.7378,4794.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,5,purchased_csv_contract_v1
2016-01-04T04:00:00,EURGBP,1H,0.73779,0.73913,0.73765,0.73856,4770.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,6,purchased_csv_contract_v1
2016-01-04T05:00:00,EURGBP,1H,0.73857,0.73863,0.73811,0.73859,2675.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,7,purchased_csv_contract_v1
2016-01-04T06:00:00,EURGBP,1H,0.73859,0.73871,0.73813,0.73827,3392.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,8,purchased_csv_contract_v1
2016-01-04T07:00:00,EURGBP,1H,0.73827,0.73946,0.73792,0.73941,4205.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,9,purchased_csv_contract_v1
2016-01-04T08:00:00,EURGBP,1H,0.73941,0.73952,0.73853,0.73874,3610.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,10,purchased_csv_contract_v1
2016-01-04T09:00:00,EURGBP,1H,0.73872,0.74017,0.73862,0.73932,8328.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,11,purchased_csv_contract_v1
2016-01-04T10:00:00,EURGBP,1H,0.73929,0.74237,0.73912,0.7396,10228.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,12,purchased_csv_contract_v1
2016-01-04T11:00:00,EURGBP,1H,0.73958,0.74051,0.73851,0.73923,8017.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,13,purchased_csv_contract_v1
2016-01-04T12:00:00,EURGBP,1H,0.73923,0.73961,0.73691,0.73735,8111.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,14,purchased_csv_contract_v1
2016-01-04T13:00:00,EURGBP,1H,0.73736,0.73916,0.73688,0.73916,6719.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,15,purchased_csv_contract_v1
2016-01-04T14:00:00,EURGBP,1H,0.73915,0.73966,0.73788,0.73887,6989.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,16,purchased_csv_contract_v1
2016-01-04T15:00:00,EURGBP,1H,0.73882,0.73882,0.73505,0.73654,8532.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,17,purchased_csv_contract_v1
2016-01-04T16:00:00,EURGBP,1H,0.73654,0.73701,0.73568,0.73628,8932.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,18,purchased_csv_contract_v1
2016-01-04T17:00:00,EURGBP,1H,0.73628,0.73662,0.73523,0.73532,11639.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,19,purchased_csv_contract_v1
2016-01-04T18:00:00,EURGBP,1H,0.73533,0.73609,0.73462,0.73564,9638.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,20,purchased_csv_contract_v1
2016-01-04T19:00:00,EURGBP,1H,0.73562,0.73625,0.73529,0.73603,5553.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,21,purchased_csv_contract_v1
2016-01-04T20:00:00,EURGBP,1H,0.73603,0.73621,0.7354,0.73581,4682.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,22,purchased_csv_contract_v1
2016-01-04T21:00:00,EURGBP,1H,0.73581,0.73597,0.73537,0.73592,3595.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,23,purchased_csv_contract_v1
2016-01-04T22:00:00,EURGBP,1H,0.73592,0.7363,0.73543,0.73546,4465.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,24,purchased_csv_contract_v1
2016-01-04T23:00:00,EURGBP,1H,0.73546,0.73616,0.73544,0.73587,2821.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,25,purchased_csv_contract_v1
2016-01-05T00:00:00,EURGBP,1H,0.7348,0.73614,0.7348,0.73579,1594.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,26,purchased_csv_contract_v1
2016-01-05T01:00:00,EURGBP,1H,0.7358,0.73615,0.73557,0.73569,3091.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,27,purchased_csv_contract_v1
2016-01-05T02:00:00,EURGBP,1H,0.73568,0.7361,0.73541,0.73588,2435.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,28,purchased_csv_contract_v1
2016-01-05T03:00:00,EURGBP,1H,0.73586,0.73638,0.73509,0.73509,4066.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,29,purchased_csv_contract_v1
2016-01-05T04:00:00,EURGBP,1H,0.73511,0.7358,0.73507,0.73509,2512.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,30,purchased_csv_contract_v1
2016-01-05T05:00:00,EURGBP,1H,0.73509,0.73519,0.73472,0.73492,2382.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,31,purchased_csv_contract_v1
2016-01-05T06:00:00,EURGBP,1H,0.73492,0.73549,0.73484,0.73525,3228.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,32,purchased_csv_contract_v1
2016-01-05T07:00:00,EURGBP,1H,0.73525,0.73596,0.73517,0.73574,3039.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,33,purchased_csv_contract_v1
2016-01-05T08:00:00,EURGBP,1H,0.73574,0.73627,0.73525,0.73529,3644.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,34,purchased_csv_contract_v1
2016-01-05T09:00:00,EURGBP,1H,0.73529,0.7357,0.73403,0.7347,6323.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,35,purchased_csv_contract_v1
2016-01-05T10:00:00,EURGBP,1H,0.7347,0.73567,0.73425,0.73455,7810.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,36,purchased_csv_contract_v1
2016-01-05T11:00:00,EURGBP,1H,0.73455,0.73502,0.73319,0.73397,7916.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,37,purchased_csv_contract_v1
2016-01-05T12:00:00,EURGBP,1H,0.73398,0.73484,0.73332,0.73423,7630.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,38,purchased_csv_contract_v1
2016-01-05T13:00:00,EURGBP,1H,0.73424,0.73424,0.73258,0.73328,6098.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,39,purchased_csv_contract_v1
2016-01-05T14:00:00,EURGBP,1H,0.73328,0.73386,0.73214,0.73225,5753.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,40,purchased_csv_contract_v1
2016-01-05T15:00:00,EURGBP,1H,0.73225,0.73284,0.73174,0.73174,6883.0,D:\Stock\trading_assistant\legacy_analysis\data\EURGBP_1h.csv,41,purchased_csv_contract_v1
