bar_time,symbol,timeframe,open,high,low,close,tick_volume,source_path,source_row_number,contract_version
2016-01-04T00:00:00,NZDJPY,1H,82.067,82.184,82.055,82.168,826.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,2,purchased_csv_contract_v1
2016-01-04T01:00:00,NZDJPY,1H,82.168,82.242,82.105,82.143,3128.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,3,purchased_csv_contract_v1
2016-01-04T02:00:00,NZDJPY,1H,82.143,82.202,81.875,81.909,3527.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,4,purchased_csv_contract_v1
2016-01-04T03:00:00,NZDJPY,1H,81.909,81.91,81.202,81.202,5962.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,5,purchased_csv_contract_v1
2016-01-04T04:00:00,NZDJPY,1H,81.203,81.214,80.849,81.043,6698.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,6,purchased_csv_contract_v1
2016-01-04T05:00:00,NZDJPY,1H,81.041,81.076,80.772,80.809,3418.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,7,purchased_csv_contract_v1
2016-01-04T06:00:00,NZDJPY,1H,80.806,80.86,80.685,80.75,4722.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,8,purchased_csv_contract_v1
2016-01-04T07:00:00,NZDJPY,1H,80.75,80.777,80.496,80.602,5442.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,9,purchased_csv_contract_v1
2016-01-04T08:00:00,NZDJPY,1H,80.602,80.739,80.555,80.675,3726.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,10,purchased_csv_contract_v1
2016-01-04T09:00:00,NZDJPY,1H,80.675,80.693,80.421,80.515,6843.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,11,purchased_csv_contract_v1
2016-01-04T10:00:00,NZDJPY,1H,80.518,80.653,80.295,80.483,8075.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,12,purchased_csv_contract_v1
2016-01-04T11:00:00,NZDJPY,1H,80.481,80.512,80.369,80.417,4773.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,13,purchased_csv_contract_v1
2016-01-04T12:00:00,NZDJPY,1H,80.417,80.614,80.39,80.553,4809.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,14,purchased_csv_contract_v1
2016-01-04T13:00:00,NZDJPY,1H,80.556,80.594,80.226,80.284,4589.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,15,purchased_csv_contract_v1
2016-01-04T14:00:00,NZDJPY,1H,80.286,80.475,80.114,80.427,4912.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,16,purchased_csv_contract_v1
2016-01-04T15:00:00,NZDJPY,1H,80.427,80.501,80.311,80.407,6267.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,17,purchased_csv_contract_v1
2016-01-04T16:00:00,NZDJPY,1H,80.408,80.606,80.321,80.479,7084.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,18,purchased_csv_contract_v1
2016-01-04T17:00:00,NZDJPY,1H,80.476,80.556,80.239,80.299,8255.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,19,purchased_csv_contract_v1
2016-01-04T18:00:00,NZDJPY,1H,80.299,80.412,80.163,80.376,6489.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,20,purchased_csv_contract_v1
2016-01-04T19:00:00,NZDJPY,1H,80.376,80.539,80.312,80.524,3875.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,21,purchased_csv_contract_v1
2016-01-04T20:00:00,NZDJPY,1H,80.52,80.573,80.473,80.53,2923.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,22,purchased_csv_contract_v1
2016-01-04T21:00:00,NZDJPY,1H,80.527,80.553,80.43,80.501,2866.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,23,purchased_csv_contract_v1
2016-01-04T22:00:00,NZDJPY,1H,80.502,80.591,80.42,80.552,3546.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,24,purchased_csv_contract_v1
2016-01-04T23:00:00,NZDJPY,1H,80.552,80.629,80.528,80.628,1975.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,25,purchased_csv_contract_v1
2016-01-05T00:00:00,NZDJPY,1H,80.581,80.631,80.436,80.522,2558.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,26,purchased_csv_contract_v1
2016-01-05T01:00:00,NZDJPY,1H,80.522,80.561,80.451,80.551,3244.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,27,purchased_csv_contract_v1
2016-01-05T02:00:00,NZDJPY,1H,80.551,80.609,80.361,80.405,3896.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,28,purchased_csv_contract_v1
2016-01-05T03:00:00,NZDJPY,1H,80.402,80.811,80.339,80.783,5969.0,D:\Stock\trading_assistant\legacy_analysis\data\NZDJPY_1h.csv,29,purchased_csv_contract_v1
