bar_time,symbol,timeframe,open,high,low,close,tick_volume,source_path,source_row_number,contract_version
2016-01-03T22:00:00,AUDUSD,1H,0.72816,0.72957,0.72816,0.72944,1986.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,2,purchased_csv_contract_v1
2016-01-03T23:00:00,AUDUSD,1H,0.72943,0.73006,0.72832,0.72839,3628.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,3,purchased_csv_contract_v1
2016-01-04T00:00:00,AUDUSD,1H,0.7284,0.72896,0.72712,0.72759,4080.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,4,purchased_csv_contract_v1
2016-01-04T01:00:00,AUDUSD,1H,0.72757,0.72782,0.72125,0.72235,5953.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,5,purchased_csv_contract_v1
2016-01-04T02:00:00,AUDUSD,1H,0.72235,0.72291,0.72077,0.7228,4433.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,6,purchased_csv_contract_v1
2016-01-04T03:00:00,AUDUSD,1H,0.7228,0.72342,0.72258,0.72289,2904.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,7,purchased_csv_contract_v1
2016-01-04T04:00:00,AUDUSD,1H,0.7229,0.72334,0.72247,0.72252,2722.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,8,purchased_csv_contract_v1
2016-01-04T05:00:00,AUDUSD,1H,0.7225,0.72295,0.72065,0.72162,3619.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,9,purchased_csv_contract_v1
2016-01-04T06:00:00,AUDUSD,1H,0.72161,0.72192,0.71996,0.72067,3425.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,10,purchased_csv_contract_v1
2016-01-04T07:00:00,AUDUSD,1H,0.72067,0.72174,0.71978,0.72167,5747.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,11,purchased_csv_contract_v1
2016-01-04T08:00:00,AUDUSD,1H,0.72168,0.72249,0.72059,0.72175,7325.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,12,purchased_csv_contract_v1
2016-01-04T09:00:00,AUDUSD,1H,0.72174,0.72218,0.72115,0.72158,4357.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,13,purchased_csv_contract_v1
2016-01-04T10:00:00,AUDUSD,1H,0.72157,0.72216,0.72106,0.72123,4795.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,14,purchased_csv_contract_v1
2016-01-04T11:00:00,AUDUSD,1H,0.72123,0.72178,0.72023,0.72038,4968.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,15,purchased_csv_contract_v1
2016-01-04T12:00:00,AUDUSD,1H,0.72038,0.72056,0.71939,0.71956,4831.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,16,purchased_csv_contract_v1
2016-01-04T13:00:00,AUDUSD,1H,0.71956,0.71962,0.71816,0.71866,4998.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,17,purchased_csv_contract_v1
2016-01-04T14:00:00,AUDUSD,1H,0.71866,0.71885,0.7178,0.71851,5802.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,18,purchased_csv_contract_v1
2016-01-04T15:00:00,AUDUSD,1H,0.71848,0.71863,0.71641,0.7165,7402.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,19,purchased_csv_contract_v1
2016-01-04T16:00:00,AUDUSD,1H,0.71651,0.71682,0.71555,0.71651,5732.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,20,purchased_csv_contract_v1
2016-01-04T17:00:00,AUDUSD,1H,0.71651,0.71789,0.71609,0.71771,3208.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,21,purchased_csv_contract_v1
2016-01-04T18:00:00,AUDUSD,1H,0.71771,0.71843,0.71723,0.71833,3185.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,22,purchased_csv_contract_v1
2016-01-04T19:00:00,AUDUSD,1H,0.71835,0.71841,0.71787,0.71821,2882.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,23,purchased_csv_contract_v1
2016-01-04T20:00:00,AUDUSD,1H,0.71822,0.71888,0.7181,0.71885,3385.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,24,purchased_csv_contract_v1
2016-01-04T21:00:00,AUDUSD,1H,0.71887,0.71964,0.71881,0.71901,2083.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,25,purchased_csv_contract_v1
2016-01-04T22:00:00,AUDUSD,1H,0.71905,0.71905,0.71731,0.71792,5969.0,D:\Stock\trading_assistant\legacy_analysis\data\audusd_1h.csv,26,purchased_csv_contract_v1
