bar_time,symbol,timeframe,open,high,low,close,tick_volume,source_path,source_row_number,contract_version
2017-12-01T01:00:00,USIDX,1H,90.895,92.011,90.895,91.938,19.98,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,2,purchased_csv_contract_v1
2017-12-01T02:00:00,USIDX,1H,91.936,91.982,91.68,91.909,23.8,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,3,purchased_csv_contract_v1
2017-12-01T03:00:00,USIDX,1H,91.934,92.023,91.696,91.906,15.15,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,4,purchased_csv_contract_v1
2017-12-01T04:00:00,USIDX,1H,91.704,91.983,91.689,91.958,10.81,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,5,purchased_csv_contract_v1
2017-12-01T05:00:00,USIDX,1H,91.928,91.983,91.619,91.869,12.36,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,6,purchased_csv_contract_v1
2017-12-01T06:00:00,USIDX,1H,91.678,91.937,91.596,91.881,19.28,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,7,purchased_csv_contract_v1
2017-12-01T07:00:00,USIDX,1H,91.866,91.993,90.726,91.907,11.64,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,8,purchased_csv_contract_v1
2017-12-01T08:00:00,USIDX,1H,91.949,91.963,91.759,91.871,11.06,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,9,purchased_csv_contract_v1
2017-12-01T09:00:00,USIDX,1H,91.871,92.018,91.812,92.0,9.620000000000001,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,10,purchased_csv_contract_v1
2017-12-01T10:00:00,USIDX,1H,92.004,92.095,91.905,92.049,23.9,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,11,purchased_csv_contract_v1
2017-12-01T11:00:00,USIDX,1H,92.022,92.092,91.931,91.991,15.98,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,12,purchased_csv_contract_v1
2017-12-01T12:00:00,USIDX,1H,91.998,92.073,90.673,92.028,27.38,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,13,purchased_csv_contract_v1
2017-12-01T13:00:00,USIDX,1H,92.011,92.196,91.993,92.126,38.71,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,14,purchased_csv_contract_v1
2017-12-01T14:00:00,USIDX,1H,92.132,92.208,91.78,92.101,35.04,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,15,purchased_csv_contract_v1
2017-12-01T15:00:00,USIDX,1H,92.207,92.25,91.915,92.113,37.19,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,16,purchased_csv_contract_v1
2017-12-01T16:00:00,USIDX,1H,92.105,92.142,90.572,91.779,61.19,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,17,purchased_csv_contract_v1
2017-12-01T17:00:00,USIDX,1H,91.796,91.87,91.664,91.824,37.93,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,18,purchased_csv_contract_v1
2017-12-01T18:00:00,USIDX,1H,91.779,91.964,91.736,91.867,32.48,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,19,purchased_csv_contract_v1
2017-12-01T19:00:00,USIDX,1H,91.851,91.972,91.798,91.892,30.5,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,20,purchased_csv_contract_v1
2017-12-01T20:00:00,USIDX,1H,91.874,91.929,91.113,91.913,19.71,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,21,purchased_csv_contract_v1
2017-12-01T21:00:00,USIDX,1H,91.89,91.919,91.535,91.855,14.14,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,22,purchased_csv_contract_v1
2017-12-04T01:00:00,USIDX,1H,92.07,92.137,91.204,92.065,19.82,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,23,purchased_csv_contract_v1
2017-12-04T02:00:00,USIDX,1H,92.04,92.207,91.108,92.164,17.580000000000002,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,24,purchased_csv_contract_v1
2017-12-04T03:00:00,USIDX,1H,92.164,92.212,92.164,92.206,1.1099999999999999,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,25,purchased_csv_contract_v1
2017-12-04T04:00:00,USIDX,1H,92.206,92.215,92.19,92.205,1.79,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,26,purchased_csv_contract_v1
2017-12-04T05:00:00,USIDX,1H,92.205,92.205,92.205,92.205,0.0,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,27,purchased_csv_contract_v1
2017-12-04T06:00:00,USIDX,1H,92.205,92.245,92.205,92.237,0.89,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,28,purchased_csv_contract_v1
2017-12-04T07:00:00,USIDX,1H,92.237,92.382,92.209,92.299,19.83,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,29,purchased_csv_contract_v1
2017-12-04T08:00:00,USIDX,1H,92.299,92.305,91.497,92.188,0.77,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,30,purchased_csv_contract_v1
2017-12-04T09:00:00,USIDX,1H,92.188,92.263,92.17,92.236,22.0,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,31,purchased_csv_contract_v1
2017-12-04T10:00:00,USIDX,1H,92.211,92.313,91.113,92.234,11.93,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,32,purchased_csv_contract_v1
2017-12-04T11:00:00,USIDX,1H,92.256,92.28,92.172,92.211,6.45,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,33,purchased_csv_contract_v1
2017-12-04T12:00:00,USIDX,1H,92.211,92.241,92.206,92.223,2.79,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,34,purchased_csv_contract_v1
2017-12-04T13:00:00,USIDX,1H,92.222,92.248,90.979,92.226,5.8,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,35,purchased_csv_contract_v1
2017-12-04T14:00:00,USIDX,1H,92.204,92.309,92.156,92.225,22.14,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,36,purchased_csv_contract_v1
2017-12-04T15:00:00,USIDX,1H,92.223,92.318,92.159,92.209,30.94,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,37,purchased_csv_contract_v1
2017-12-04T16:00:00,USIDX,1H,92.236,92.259,92.153,92.218,24.91,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,38,purchased_csv_contract_v1
2017-12-04T17:00:00,USIDX,1H,92.228,92.308,92.193,92.289,18.78,D:\Stock\trading_assistant\legacy_analysis\data\dollaridxusd_1h.csv,39,purchased_csv_contract_v1
