bar_time,symbol,timeframe,open,high,low,close,tick_volume,source_path,source_row_number,contract_version
2016-01-03T22:00:00,EURJPY,1H,130.657,130.76,130.603,130.707,2623.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,2,purchased_csv_contract_v1
2016-01-03T23:00:00,EURJPY,1H,130.717,130.722,130.475,130.567,5266.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,3,purchased_csv_contract_v1
2016-01-04T00:00:00,EURJPY,1H,130.567,130.641,130.479,130.543,5783.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,4,purchased_csv_contract_v1
2016-01-04T01:00:00,EURJPY,1H,130.542,130.56,130.321,130.343,9640.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,5,purchased_csv_contract_v1
2016-01-04T02:00:00,EURJPY,1H,130.344,130.365,130.023,130.256,11303.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,6,purchased_csv_contract_v1
2016-01-04T03:00:00,EURJPY,1H,130.255,130.255,130.069,130.109,6446.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,7,purchased_csv_contract_v1
2016-01-04T04:00:00,EURJPY,1H,130.109,130.148,129.966,130.04,8091.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,8,purchased_csv_contract_v1
2016-01-04T05:00:00,EURJPY,1H,130.043,130.126,129.962,130.088,8213.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,9,purchased_csv_contract_v1
2016-01-04T06:00:00,EURJPY,1H,130.088,130.147,129.993,130.032,6915.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,10,purchased_csv_contract_v1
2016-01-04T07:00:00,EURJPY,1H,130.035,130.078,129.738,129.829,12602.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,11,purchased_csv_contract_v1
2016-01-04T08:00:00,EURJPY,1H,129.828,130.177,129.761,130.017,15577.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,12,purchased_csv_contract_v1
2016-01-04T09:00:00,EURJPY,1H,130.017,130.042,129.824,129.915,10689.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,13,purchased_csv_contract_v1
2016-01-04T10:00:00,EURJPY,1H,129.915,129.992,129.762,129.774,10803.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,14,purchased_csv_contract_v1
2016-01-04T11:00:00,EURJPY,1H,129.773,129.776,129.545,129.682,9923.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,15,purchased_csv_contract_v1
2016-01-04T12:00:00,EURJPY,1H,129.681,129.878,129.622,129.858,10418.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,16,purchased_csv_contract_v1
2016-01-04T13:00:00,EURJPY,1H,129.857,129.857,129.388,129.446,11828.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,17,purchased_csv_contract_v1
2016-01-04T14:00:00,EURJPY,1H,129.446,129.467,129.016,129.017,13322.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,18,purchased_csv_contract_v1
2016-01-04T15:00:00,EURJPY,1H,129.039,129.17,128.852,128.854,16057.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,19,purchased_csv_contract_v1
2016-01-04T16:00:00,EURJPY,1H,128.856,128.898,128.674,128.888,13389.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,20,purchased_csv_contract_v1
2016-01-04T17:00:00,EURJPY,1H,128.885,129.223,128.859,129.174,8215.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,21,purchased_csv_contract_v1
2016-01-04T18:00:00,EURJPY,1H,129.173,129.291,129.152,129.17,6658.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,22,purchased_csv_contract_v1
2016-01-04T19:00:00,EURJPY,1H,129.17,129.198,129.11,129.166,5228.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,23,purchased_csv_contract_v1
2016-01-04T20:00:00,EURJPY,1H,129.166,129.397,129.166,129.32,7437.0,D:\Stock\trading_assistant\legacy_analysis\data\eurjpy_1h.csv,24,purchased_csv_contract_v1
