bar_time,symbol,timeframe,open,high,low,close,tick_volume,source_path,source_row_number,contract_version
2016-01-03T22:00:00,GBPJPY,1H,177.072,177.311,177.07,177.217,958.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,2,purchased_csv_contract_v1
2016-01-03T23:00:00,GBPJPY,1H,177.221,177.338,177.149,177.276,2939.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,3,purchased_csv_contract_v1
2016-01-04T00:00:00,GBPJPY,1H,177.276,177.356,177.166,177.258,4287.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,4,purchased_csv_contract_v1
2016-01-04T01:00:00,GBPJPY,1H,177.262,177.346,176.607,176.634,7140.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,5,purchased_csv_contract_v1
2016-01-04T02:00:00,GBPJPY,1H,176.634,176.657,175.993,176.336,9272.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,6,purchased_csv_contract_v1
2016-01-04T03:00:00,GBPJPY,1H,176.335,176.345,176.123,176.129,4108.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,7,purchased_csv_contract_v1
2016-01-04T04:00:00,GBPJPY,1H,176.129,176.226,175.985,176.126,5964.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,8,purchased_csv_contract_v1
2016-01-04T05:00:00,GBPJPY,1H,176.125,176.152,175.784,175.907,7188.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,9,purchased_csv_contract_v1
2016-01-04T06:00:00,GBPJPY,1H,175.906,176.059,175.815,175.992,4535.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,10,purchased_csv_contract_v1
2016-01-04T07:00:00,GBPJPY,1H,175.996,176.026,175.397,175.586,10024.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,11,purchased_csv_contract_v1
2016-01-04T08:00:00,GBPJPY,1H,175.586,175.907,174.929,175.774,13073.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,12,purchased_csv_contract_v1
2016-01-04T09:00:00,GBPJPY,1H,175.777,175.951,175.555,175.725,8954.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,13,purchased_csv_contract_v1
2016-01-04T10:00:00,GBPJPY,1H,175.722,176.286,175.639,175.973,8336.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,14,purchased_csv_contract_v1
2016-01-04T11:00:00,GBPJPY,1H,175.974,175.995,175.345,175.422,7816.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,15,purchased_csv_contract_v1
2016-01-04T12:00:00,GBPJPY,1H,175.424,175.797,175.376,175.726,7893.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,16,purchased_csv_contract_v1
2016-01-04T13:00:00,GBPJPY,1H,175.73,176.063,175.644,175.726,9892.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,17,purchased_csv_contract_v1
2016-01-04T14:00:00,GBPJPY,1H,175.726,175.77,175.212,175.234,10550.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,18,purchased_csv_contract_v1
2016-01-04T15:00:00,GBPJPY,1H,175.228,175.489,175.162,175.215,13422.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,19,purchased_csv_contract_v1
2016-01-04T16:00:00,GBPJPY,1H,175.216,175.295,174.964,175.181,10945.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,20,purchased_csv_contract_v1
2016-01-04T17:00:00,GBPJPY,1H,175.181,175.542,175.144,175.477,7008.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,21,purchased_csv_contract_v1
2016-01-04T18:00:00,GBPJPY,1H,175.482,175.694,175.453,175.523,5096.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,22,purchased_csv_contract_v1
2016-01-04T19:00:00,GBPJPY,1H,175.526,175.599,175.45,175.488,4914.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,23,purchased_csv_contract_v1
2016-01-04T20:00:00,GBPJPY,1H,175.493,175.818,175.491,175.813,5809.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,24,purchased_csv_contract_v1
2016-01-04T21:00:00,GBPJPY,1H,175.815,175.906,175.704,175.789,2600.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,25,purchased_csv_contract_v1
2016-01-04T22:00:00,GBPJPY,1H,175.689,175.737,175.523,175.566,3480.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,26,purchased_csv_contract_v1
2016-01-04T23:00:00,GBPJPY,1H,175.566,175.751,175.456,175.744,2767.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,27,purchased_csv_contract_v1
2016-01-05T00:00:00,GBPJPY,1H,175.746,175.806,175.386,175.456,5374.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,28,purchased_csv_contract_v1
2016-01-05T01:00:00,GBPJPY,1H,175.452,176.068,175.297,176.056,7874.0,D:\Stock\trading_assistant\legacy_analysis\data\gbpjpy_1h.csv,29,purchased_csv_contract_v1
