bar_time,symbol,timeframe,open,high,low,close,tick_volume,source_path,source_row_number,contract_version
2016-01-03T22:00:00,NZDUSD,1H,0.68278,0.683,0.68253,0.68297,249.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,2,purchased_csv_contract_v1
2016-01-03T23:00:00,NZDUSD,1H,0.68303,0.68343,0.6823,0.68269,4392.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,3,purchased_csv_contract_v1
2016-01-04T00:00:00,NZDUSD,1H,0.68269,0.68315,0.68019,0.68045,3861.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,4,purchased_csv_contract_v1
2016-01-04T01:00:00,NZDUSD,1H,0.68043,0.6805,0.67552,0.67653,4558.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,5,purchased_csv_contract_v1
2016-01-04T02:00:00,NZDUSD,1H,0.67651,0.67692,0.67531,0.67635,3530.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,6,purchased_csv_contract_v1
2016-01-04T03:00:00,NZDUSD,1H,0.67639,0.67673,0.67478,0.67516,2335.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,7,purchased_csv_contract_v1
2016-01-04T04:00:00,NZDUSD,1H,0.67516,0.67587,0.67506,0.67549,2513.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,8,purchased_csv_contract_v1
2016-01-04T05:00:00,NZDUSD,1H,0.67547,0.67595,0.67443,0.67515,3090.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,9,purchased_csv_contract_v1
2016-01-04T06:00:00,NZDUSD,1H,0.67516,0.67584,0.67492,0.67549,3476.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,10,purchased_csv_contract_v1
2016-01-04T07:00:00,NZDUSD,1H,0.67556,0.67674,0.67448,0.67671,4701.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,11,purchased_csv_contract_v1
2016-01-04T08:00:00,NZDUSD,1H,0.67672,0.67729,0.67574,0.67617,6015.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,12,purchased_csv_contract_v1
2016-01-04T09:00:00,NZDUSD,1H,0.67618,0.67664,0.67549,0.67643,3186.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,13,purchased_csv_contract_v1
2016-01-04T10:00:00,NZDUSD,1H,0.67644,0.67742,0.67628,0.67691,3583.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,14,purchased_csv_contract_v1
2016-01-04T11:00:00,NZDUSD,1H,0.67691,0.67748,0.67556,0.6758,2977.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,15,purchased_csv_contract_v1
2016-01-04T12:00:00,NZDUSD,1H,0.6758,0.67596,0.67406,0.67548,3815.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,16,purchased_csv_contract_v1
2016-01-04T13:00:00,NZDUSD,1H,0.67549,0.67559,0.67347,0.6742,4068.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,17,purchased_csv_contract_v1
2016-01-04T14:00:00,NZDUSD,1H,0.6742,0.67615,0.67398,0.67577,5323.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,18,purchased_csv_contract_v1
2016-01-04T15:00:00,NZDUSD,1H,0.67573,0.67637,0.67278,0.67301,6078.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,19,purchased_csv_contract_v1
2016-01-04T16:00:00,NZDUSD,1H,0.67301,0.67371,0.67183,0.67364,4507.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,20,purchased_csv_contract_v1
2016-01-04T17:00:00,NZDUSD,1H,0.67364,0.67441,0.67287,0.67432,3260.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,21,purchased_csv_contract_v1
2016-01-04T18:00:00,NZDUSD,1H,0.67431,0.67488,0.67377,0.67467,2980.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,22,purchased_csv_contract_v1
2016-01-04T19:00:00,NZDUSD,1H,0.67465,0.67478,0.67407,0.67477,2685.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,23,purchased_csv_contract_v1
2016-01-04T20:00:00,NZDUSD,1H,0.67477,0.67511,0.67402,0.67449,3638.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,24,purchased_csv_contract_v1
2016-01-04T21:00:00,NZDUSD,1H,0.67448,0.67508,0.67429,0.67491,2125.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,25,purchased_csv_contract_v1
2016-01-04T22:00:00,NZDUSD,1H,0.67475,0.67493,0.67397,0.67482,2007.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,26,purchased_csv_contract_v1
2016-01-04T23:00:00,NZDUSD,1H,0.67482,0.67484,0.67398,0.6742,4541.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,27,purchased_csv_contract_v1
2016-01-05T00:00:00,NZDUSD,1H,0.67418,0.67482,0.67396,0.6743,3913.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,28,purchased_csv_contract_v1
2016-01-05T01:00:00,NZDUSD,1H,0.67429,0.67567,0.67409,0.67552,3792.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,29,purchased_csv_contract_v1
2016-01-05T02:00:00,NZDUSD,1H,0.67555,0.67561,0.67395,0.67469,2517.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,30,purchased_csv_contract_v1
2016-01-05T03:00:00,NZDUSD,1H,0.6747,0.67494,0.67381,0.67396,2570.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,31,purchased_csv_contract_v1
2016-01-05T04:00:00,NZDUSD,1H,0.67396,0.67429,0.67342,0.67393,2578.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,32,purchased_csv_contract_v1
2016-01-05T05:00:00,NZDUSD,1H,0.67392,0.67395,0.67275,0.67345,2937.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,33,purchased_csv_contract_v1
2016-01-05T06:00:00,NZDUSD,1H,0.67346,0.67388,0.67293,0.67382,3884.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,34,purchased_csv_contract_v1
2016-01-05T07:00:00,NZDUSD,1H,0.67382,0.67425,0.67314,0.67315,4889.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,35,purchased_csv_contract_v1
2016-01-05T08:00:00,NZDUSD,1H,0.67316,0.67375,0.67075,0.67084,4752.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,36,purchased_csv_contract_v1
2016-01-05T09:00:00,NZDUSD,1H,0.67084,0.671,0.66973,0.66994,3486.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,37,purchased_csv_contract_v1
2016-01-05T10:00:00,NZDUSD,1H,0.66994,0.67047,0.66937,0.67007,3622.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,38,purchased_csv_contract_v1
2016-01-05T11:00:00,NZDUSD,1H,0.67007,0.67125,0.66983,0.67114,3020.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,39,purchased_csv_contract_v1
2016-01-05T12:00:00,NZDUSD,1H,0.67115,0.67171,0.67093,0.67118,3951.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,40,purchased_csv_contract_v1
2016-01-05T13:00:00,NZDUSD,1H,0.67116,0.67279,0.67116,0.67205,4650.0,D:\Stock\trading_assistant\legacy_analysis\data\nzdusd_1h.csv,41,purchased_csv_contract_v1
