bar_time,symbol,timeframe,open,high,low,close,tick_volume,source_path,source_row_number,contract_version
2016-01-03T22:00:00,USDCAD,1H,1.38132,1.38689,1.38132,1.38667,1532.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,2,purchased_csv_contract_v1
2016-01-03T23:00:00,USDCAD,1H,1.38675,1.38762,1.38407,1.3873,2666.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,3,purchased_csv_contract_v1
2016-01-04T00:00:00,USDCAD,1H,1.38727,1.38736,1.38492,1.38685,3276.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,4,purchased_csv_contract_v1
2016-01-04T01:00:00,USDCAD,1H,1.38684,1.39093,1.38684,1.39077,3867.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,5,purchased_csv_contract_v1
2016-01-04T02:00:00,USDCAD,1H,1.39077,1.39185,1.38906,1.38958,4992.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,6,purchased_csv_contract_v1
2016-01-04T03:00:00,USDCAD,1H,1.38958,1.38987,1.38828,1.38887,2418.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,7,purchased_csv_contract_v1
2016-01-04T04:00:00,USDCAD,1H,1.38885,1.38958,1.38861,1.38921,2705.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,8,purchased_csv_contract_v1
2016-01-04T05:00:00,USDCAD,1H,1.38922,1.3901,1.38915,1.38951,3369.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,9,purchased_csv_contract_v1
2016-01-04T06:00:00,USDCAD,1H,1.38951,1.3907,1.38928,1.39069,2935.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,10,purchased_csv_contract_v1
2016-01-04T07:00:00,USDCAD,1H,1.39069,1.39358,1.39049,1.39259,7008.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,11,purchased_csv_contract_v1
2016-01-04T08:00:00,USDCAD,1H,1.3926,1.39373,1.39205,1.39332,8555.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,12,purchased_csv_contract_v1
2016-01-04T09:00:00,USDCAD,1H,1.39332,1.39387,1.39022,1.39047,6233.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,13,purchased_csv_contract_v1
2016-01-04T10:00:00,USDCAD,1H,1.39047,1.39066,1.38855,1.39052,7132.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,14,purchased_csv_contract_v1
2016-01-04T11:00:00,USDCAD,1H,1.39053,1.39244,1.38877,1.39112,7158.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,15,purchased_csv_contract_v1
2016-01-04T12:00:00,USDCAD,1H,1.39114,1.39281,1.39089,1.39111,6356.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,16,purchased_csv_contract_v1
2016-01-04T13:00:00,USDCAD,1H,1.39111,1.39282,1.39048,1.39062,7556.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,17,purchased_csv_contract_v1
2016-01-04T14:00:00,USDCAD,1H,1.39075,1.3911,1.38757,1.38803,9404.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,18,purchased_csv_contract_v1
2016-01-04T15:00:00,USDCAD,1H,1.38809,1.39448,1.38716,1.39423,12541.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,19,purchased_csv_contract_v1
2016-01-04T16:00:00,USDCAD,1H,1.39425,1.39827,1.39379,1.39689,10679.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,20,purchased_csv_contract_v1
2016-01-04T17:00:00,USDCAD,1H,1.39689,1.39736,1.39521,1.39596,6833.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,21,purchased_csv_contract_v1
2016-01-04T18:00:00,USDCAD,1H,1.39596,1.3961,1.39453,1.39494,7272.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,22,purchased_csv_contract_v1
2016-01-04T19:00:00,USDCAD,1H,1.39494,1.39605,1.3947,1.39533,5425.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,23,purchased_csv_contract_v1
2016-01-04T20:00:00,USDCAD,1H,1.39532,1.39549,1.39384,1.39392,4241.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,24,purchased_csv_contract_v1
2016-01-04T21:00:00,USDCAD,1H,1.39392,1.39518,1.39322,1.39504,3033.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,25,purchased_csv_contract_v1
2016-01-04T22:00:00,USDCAD,1H,1.39487,1.39523,1.39252,1.39276,2115.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,26,purchased_csv_contract_v1
2016-01-04T23:00:00,USDCAD,1H,1.39274,1.39404,1.39274,1.3936,1642.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,27,purchased_csv_contract_v1
2016-01-05T00:00:00,USDCAD,1H,1.3936,1.39361,1.3925,1.39281,1735.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,28,purchased_csv_contract_v1
2016-01-05T01:00:00,USDCAD,1H,1.39281,1.3929,1.39147,1.39155,3781.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,29,purchased_csv_contract_v1
2016-01-05T02:00:00,USDCAD,1H,1.39153,1.39196,1.39018,1.3902,2599.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,30,purchased_csv_contract_v1
2016-01-05T03:00:00,USDCAD,1H,1.39021,1.39079,1.38976,1.39076,2030.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,31,purchased_csv_contract_v1
2016-01-05T04:00:00,USDCAD,1H,1.39076,1.39104,1.39016,1.39088,2064.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,32,purchased_csv_contract_v1
2016-01-05T05:00:00,USDCAD,1H,1.39088,1.39198,1.39079,1.3916,2024.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,33,purchased_csv_contract_v1
2016-01-05T06:00:00,USDCAD,1H,1.3916,1.39251,1.39137,1.39197,3091.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,34,purchased_csv_contract_v1
2016-01-05T07:00:00,USDCAD,1H,1.39197,1.39203,1.39054,1.39075,4999.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,35,purchased_csv_contract_v1
2016-01-05T08:00:00,USDCAD,1H,1.39075,1.39361,1.3907,1.393,6554.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,36,purchased_csv_contract_v1
2016-01-05T09:00:00,USDCAD,1H,1.39297,1.39378,1.39234,1.39327,6297.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,37,purchased_csv_contract_v1
2016-01-05T10:00:00,USDCAD,1H,1.39328,1.39488,1.39296,1.39405,5337.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,38,purchased_csv_contract_v1
2016-01-05T11:00:00,USDCAD,1H,1.39407,1.3946,1.39193,1.39249,5109.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,39,purchased_csv_contract_v1
2016-01-05T12:00:00,USDCAD,1H,1.39237,1.39448,1.39234,1.39358,5953.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,40,purchased_csv_contract_v1
2016-01-05T13:00:00,USDCAD,1H,1.39354,1.39364,1.39184,1.39245,9251.0,D:\Stock\trading_assistant\legacy_analysis\data\usdcad_1h.csv,41,purchased_csv_contract_v1
