t1_mul	purity_thr	sec5_billion	date	max_level	total_stocks	ge2_stocks	first_panel_count	T1_dynamic_threshold	T1_pct	T3_pct	Purity_ge2_pct	sector_top5_sum_yi	align_top3_top5_count	consecutive_divergence_days	top4_di_list	top4_risk_list	p1_position_advice	fake_strength_warning
0.9	0.55	80	20260810	5	99	13	86	18.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
0.9	0.55	100	20260810	5	99	13	86	18.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
0.9	0.55	120	20260810	5	99	13	86	18.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
0.9	0.6	80	20260810	5	99	13	86	18.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
0.9	0.6	100	20260810	5	99	13	86	18.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
0.9	0.6	120	20260810	5	99	13	86	18.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
0.9	0.65	80	20260810	5	99	13	86	18.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动	NO
0.9	0.65	100	20260810	5	99	13	86	18.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动	NO
0.9	0.65	120	20260810	5	99	13	86	18.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动	NO
1	0.55	80	20260810	5	99	13	86	20.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
1	0.55	100	20260810	5	99	13	86	20.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
1	0.55	120	20260810	5	99	13	86	20.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
1	0.6	80	20260810	5	99	13	86	20.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
1	0.6	100	20260810	5	99	13	86	20.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
1	0.6	120	20260810	5	99	13	86	20.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
1	0.65	80	20260810	5	99	13	86	20.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动	NO
1	0.65	100	20260810	5	99	13	86	20.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动	NO
1	0.65	120	20260810	5	99	13	86	20.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动	NO
1.1	0.55	80	20260810	5	99	13	86	22.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
1.1	0.55	100	20260810	5	99	13	86	22.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
1.1	0.55	120	20260810	5	99	13	86	22.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
1.1	0.6	80	20260810	5	99	13	86	22.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
1.1	0.6	100	20260810	5	99	13	86	22.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
1.1	0.6	120	20260810	5	99	13	86	22.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动；中高位抱团→盯前排	NO
1.1	0.65	80	20260810	5	99	13	86	22.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动	NO
1.1	0.65	100	20260810	5	99	13	86	22.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动	NO
1.1	0.65	120	20260810	5	99	13	86	22.0	12.1	23.2	61.5	72.5	0	1	15|0|12|0	R|G|R|Y	T1分散→多看少动	NO
