trade_date	board_level	code	name	level	continue_num	change_rate	latest	first_limit_up_time	last_limit_up_time	primary_theme	limit_up_type	open_num	trading_amount	order_amount	turnover_rate
20260811	6	600721	百花医药	6	6	10.0086	12.75	1786411501	1786411834	医药	T字板	1	851697290	340775808	17.3791
20260811	4	600272	开开实业	4	4	10.021	15.7	1786411869	1786426716	医药	换手板	36	752039618	18700270	30.2747
20260811	3	603758	秦安股份	3	3	9.974	12.68	1786411500	1786411500	机器人概念	一字板		56683417	119543224	1.0321
20260811	3	600664	哈药股份	3	3	9.9734	8.27	1786412824	1786427272	医药	换手板	20	5494869237	115749408	26.9505
20260811	2	000802	北京文化	2	2	10	5.17	1786411500	1786411500	文化传媒	一字板		254059150	254428512	6.8676
20260811	2	300862	蓝盾光电	2	2	19.9912	27.37	1786411500	1786411500	并购重组	一字板		17084901	764479680	0.4121
20260811	2	600683	京投发展	2	2	9.9897	10.68	1786411503	1786411503	并购重组	一字板		103497216	74588056	1.3082
20260811	2	002248	华东数控	2	2	10.0498	11.06	1786411800	1786411800	新型工业化	换手板		239822220	137236912	7.0777
20260811	2	603188	亚邦股份	2	2	9.9099	4.88	1786411818	1786411818	化工	换手板		107272534	26073352	3.8674
20260811	2	002329	皇氏集团	2	2	10.0865	3.82	1786411809	1786411941	食品饮料	换手板	1	196008509	51796908	7.9389
20260811	2	603797	联泰环保	2	2	10.0218	5.05	1786412018	1786412240	环保	换手板	2	157247620	13315437	5.4925
20260811	2	000859	国风新材	2	2	9.9685	10.48	1786412670	1786413762	芯片	换手板	1	1280296176	82106240	13.9879
20260811	2	605286	同力天启	2	2	9.9961	28.17	1786413781	1786413781	电力	换手板		241778839	57931296	5.3884
20260811	2	600833	第一医药	2	2	9.9909	12.11	1786413629	1786418825	医药	换手板	5	446405965	23225768	17.0487
20260811	2	605179	一鸣食品	2	2	9.992	27.63	1786412555	1786428446	食品饮料	换手板	5	1115570768	23877846	10.3738
20260811	2	001258	立新能源	2	2	10.0138	15.93	1786414149	1786431297	电力	换手板	1	3628988251	6520722	26.1105
20260811	1	002721	金一文化	1	1	10.1083	3.05	1786411893	1786411893	黄金	换手板		732228759	58624356	9.1637
20260811	1	002585	双星新材	1	1	10.0418	10.52	1786411956	1786411956	元器件	换手板		622982119	136324480	6.8077
20260811	1	603087	甘李药业	1	1	10	74.47	1786412038	1786412038	医药	T字板		1227027984	278294912	2.9514
20260811	1	002212	天融信	1	1	9.9693	7.17	1786412043	1786412043	AI应用	换手板		496362093	109221424	6.0719
20260811	1	002256	兆新股份	1	1	9.9723	3.97	1786412274	1786412274	电力	换手板		327544749	59814404	4.183
20260811	1	002047	宝鹰股份	1	1	9.8765	3.56	1786412382	1786412382	ST摘帽	换手板		86677116	53773444	1.6638
20260811	1	600162	香江控股	1	1	10	4.29	1786412430	1786412430	算力	换手板		400355943	72241176	2.9399
20260811	1	603883	老百姓	1	1	9.9686	14.01	1786412418	1786412523	医药	换手板	1	445995562	113775688	4.2765
20260811	1	002685	华东重机	1	1	9.9638	6.07	1786412547	1786412595	芯片	换手板	1	340266330	77555064	5.6884
20260811	1	002687	乔治白	1	1	9.9265	5.98	1786412598	1786412598	服装家纺	换手板		170022140	82928792	7.0065
20260811	1	600126	杭钢股份	1	1	10	7.37	1786413036	1786413036	人工智能	换手板		1115980113	132587536	4.6383
20260811	1	600715	文投控股	1	1	9.7561	1.8	1786412693	1786413107	文化传媒	换手板	1	155548064	23963240	3.0697
20260811	1	002859	洁美科技	1	1	9.9959	81.32	1786412895	1786413153	并购重组	换手板	1	1521094494	126672160	4.519
20260811	1	603106	恒银科技	1	1	10.0118	9.34	1786413168	1786413168	金融概念	换手板		536713838	67904416	11.514
20260811	1	300426	华智数媒	1	1	20	7.8	1786413375	1786413375	文化传媒	换手板		421059209	91973192	14.2557
20260811	1	600863	华能蒙电	1	1	9.9788	5.18	1786413454	1786413454	电力	换手板		1102493069	132859664	3.3467
20260811	1	002229	鸿博股份	1	1	10.0281	11.74	1786413054	1786414125	算力	换手板	1	840333599	136378880	14.8417
20260811	1	603887	城地香江	1	1	10.0213	10.32	1786414709	1786414709	人工智能	换手板		360338565	59116384	6.0281
20260811	1	600667	太极实业	1	1	10.0156	21.2	1786415764	1786415764	芯片	换手板		6466750500	343423040	15.2932
20260811	1	603488	展鹏科技	1	1	9.9648	9.38	1786415995	1786415995	军工	换手板		113766761	30776718	4.3169
20260811	1	002246	北化股份	1	1	9.9853	22.47	1786416366	1786416366	军工	换手板		622488818	75281376	5.2045
20260811	1	002194	武汉凡谷	1	1	10	11	1786416789	1786416789	通信	换手板		782053955	66529032	14.6577
20260811	1	002715	登云股份	1	1	10.0293	15.03	1786417323	1786417323	黄金	换手板		123370965	26842076	6.1784
20260811	1	600881	亚泰集团	1	1	10	1.87	1786417595	1786417595	医药	换手板		306697224	53126188	5.3125
20260811	1	605288	凯迪股份	1	1	9.9948	63.39	1786418165	1786418165	机器人概念	换手板		218278837	52794996	3.7597
20260811	1	603012	创力集团	1	1	9.9631	8.94	1786416567	1786418202	智慧矿山	换手板	2	510155390	59168492	9.1224
20260811	1	603284	林平发展	1	1	10	44.44	1786418518	1786418518	造纸	换手板		204675005	168320272	25.1602
20260811	1	603137	恒尚节能	1	1	10.0073	30.34	1786414852	1786418857	并购重组	换手板	2	985331302	50919624	18.6405
20260811	1	002031	巨轮智能	1	1	9.9812	5.84	1786424784	1786424784	机器人概念	换手板		806525609	68994928	6.4806
20260811	1	603009	北特科技	1	1	10	44	1786424818	1786424818	机器人概念	换手板		467213307	37523156	3.1955
20260811	1	002235	安妮股份	1	1	10.023	9.55	1786425402	1786425402	版权	换手板		358513091	97039936	7.0918
20260811	1	301550	斯菱智驱	1	1	20	87.42	1786425609	1786425609	机器人概念	换手板		1173063680	74991144	7.0907
20260811	1	301529	福赛科技	1	1	20.005	96.16	1786426443	1786426443	机器人概念	换手板		557583951	31344314	9.8721
20260811	1	603179	新泉股份	1	1	10.0079	41.66	1786425197	1786426520	机器人概念	换手板	1	1222329341	164824464	4.266
20260811	1	603823	百合花	1	1	10.0029	75.22	1786427483	1786427483	芯片	换手板		1878325443	96842744	6.2508
20260811	1	002762	金发拉比	1	1	10.032	10.31	1786427877	1786427877	ST摘帽	换手板		224857170	8913903	11.0729
20260811	1	603897	长城科技	1	1	10.0038	29.14	1786428461	1786428461	机器人概念	换手板		316157746	128606472	5.5201
20260811	1	603655	朗博科技	1	1	9.9935	33.79	1786430249	1786430249	汽车零部件	换手板		177465963	12350245	5.2574
20260811	1	301520	万邦医药	1	1	19.9966	70.39	1786417353	1786430463	医药	换手板	6	1404170947	19074352	64.833
20260811	1	000779	甘咨询	1	1	10.0259	12.73	1786430694	1786430694	AI应用	换手板		1460861326	24607802	28.9028
20260811	1	600611	大众交通	1	1	10.0877	5.02	1786412392	1786431076	智能驾驶	换手板	4	982363335	90567064	12.7592
20260811	1	002963	豪尔赛	1	1	10.0219	20.09	1786431255	1786431255	旅游	换手板		350741272	11820956	14.8749
