trade_date	board_level	code	name	level	continue_num	change_rate	latest	first_limit_up_time	last_limit_up_time	primary_theme	limit_up_type	high_days	open_num	trading_amount	order_amount	amount	turnover_rate	industry	kpl_primary_theme	kpl_theme_tags	kpl_plate_code	reason_type	tags	auto_position	change_tag	market_type	currency_value	actual_currency_value
20260811	6	600721	百花医药	6	6	10.0086	12.75	1786411501	1786411834	医药	T字板	6天6板	1	851697290	340775808	340775808	17.3791	生物制药	医药	CRO|减肥药	801045	CRO+创新药+金华国资	总龙头	总龙头	LIMIT_BACK	HS	4902982300	3889045596
20260811	4	600272	开开实业	4	4	10.021	15.7	1786411869	1786426716	医药	换手板	4天4板	36	752039618	18700270	18700270	30.2747	医药商业	医药	医药零售|SPD	801045	SPD+医药商业+资产收购+上海国资			LIMIT_BACK	HS	2512000000	1500668800
20260811	3	603758	秦安股份	3	3	9.974	12.68	1786411500	1786411500	机器人概念	一字板	3天3板		56683417	119543224	119543224	1.0321	汽车配件	机器人概念	机器人概念|汽车零部件	801159	人形机器人+真空镀膜+发动机核心零部件+回购注销	题材龙|一字龙	题材龙	FIRST_LIMIT	HS	5491911500	1888668365
20260811	3	600664	哈药股份	3	3	9.9734	8.27	1786412824	1786427272	医药	换手板	3天3板	20	5494869237	115749408	115749408	26.9505	化学制药	医药	医药|流感	801045	创新药+集采拟中标+半年报预增	中军	中军	LIMIT_BACK	HS	20828077000	11126358559
20260811	2	000802	北京文化	2	2	10	5.17	1786411500	1786411500	文化传媒	一字板	2天2板		254059150	254428512	254428512	6.8676	影视音像	文化传媒	影视院线|文化传媒	801031	《欢迎来龙餐馆》上映+影视全产业链+半年报减亏	题材龙	题材龙	FIRST_LIMIT	HS	3699362500	3445586238
20260811	2	300862	蓝盾光电	2	2	19.9912	27.37	1786411500	1786411500	并购重组	一字板	2天2板		17084901	764479680	764479680	0.4121	电器仪表	并购重组	并购重组|智能驾驶	801250	拟重大资产重组+复牌+真空镀膜设备+环境监测	题材龙	题材龙	FIRST_LIMIT	GEM	4145761500	3847266636
20260811	2	600683	京投发展	2	2	9.9897	10.68	1786411503	1786411503	并购重组	一字板	2天2板		103497216	74588056	74588056	1.3082	区域地产	并购重组	并购重组|地产链	801250	资产重组+拟购光电子资产+TOD轨道物业+北京国资			FIRST_LIMIT	HS	7911504700	3498467394
20260811	2	002248	华东数控	2	2	10.0498	11.06	1786411800	1786411800	新型工业化	换手板	2天2板		239822220	137236912	137236912	7.0777	机床制造	新型工业化	工业母机|减速器	801511	工业母机+谐波减速器+圆台磨床中标			FIRST_LIMIT	HS	3400901300	2805743602
20260811	2	603188	亚邦股份	2	2	9.9099	4.88	1786411818	1786411818	化工	换手板	2天2板		107272534	26073352	26073352	3.8674	染料涂料	化工	化工|实控人变更	801235	染料+资产处置+一季报增长+常州国资			LIMIT_BACK	HS	2782429600	1957717466
20260811	2	002329	皇氏集团	2	2	10.0865	3.82	1786411809	1786411941	食品饮料	换手板	2天2板	1	196008509	51796908	51796908	7.9389	乳制品	食品饮料	乳业|TOPCon	801220	乳业+新式茶饮+代工+种源突破	题材龙	题材龙	LIMIT_BACK	HS	2489085000	2283486551
