trade_date	actual_trade_date	universe	snapshot_minute	sector_code	sector_name	theme_code	theme_name	main_net_amount	big_order_net_amount	strength	pct_chg	relative_inflow	float_market_cap	change_from_open	member_count	main_buy_amount	main_sell_amount
20260810	20260810	featured	15:00	801004k	锂电池	801004k	锂电池	2094250142	660881552	1584	1.261	0.1524451412690876	13737729681416	2026797626	117	39302361524	-37208111382
20260810	20260810	featured	15:00	801088k	有色金属	801088k	有色金属	1764568830	358351005	2637	2.256	0.2800473426987398	6300966161633	1894549499	0	62989136592	-61224567762
20260810	20260810	featured	15:00	801048k	黄金	801048k	黄金	1540256581	545850968	2935	2.851	0.51020723580887	3018884235458	1610181476	11	17344629839	-15804373258
20260810	20260810	featured	15:00	801062k	军工	801062k	军工	1033419368	407502469	2039	1.309	0.11265867779933957	9173011686154	1002914797	176	17864210625	-16830791257
20260810	20260810	featured	15:00	801035k	酿酒	801035k	酿酒	815630158	210225255	2477	2.117	0.2717082754529946	3001859831616	734926386	0	7746540651	-6930910493
20260810	20260810	featured	15:00	801346k	智能电网	801346k	智能电网	799022123	448071024	4003	1.221	0.07895300737729462	10120224036327	749688871	60	14838125302	-14039103179
20260810	20260810	featured	15:00	801178k	储能	801178k	储能	795458568	483093378	1399	1.171	0.05239395607040056	15182258177473	804235476	0	13779899329	-12984440761
20260810	20260810	featured	15:00	801270k	基础建设	801270k	基础建设	714839354	67088036	2601	1.632	0.09738098711312251	7340646004847	754730425	0	8918662053	-8203822699
20260810	20260810	featured	15:00	801031k	文化传媒	801031k	文化传媒	658791376	581385776	836	1.51	0.287896869675455	2288289472347	569871393	0	9095276381	-8436485005
20260810	20260810	featured	15:00	801250k	并购重组	801250k	并购重组	536842169	313638960	4416	1.425	0.03815312565182011	14070725787951	531740525	0	5024771062	-4487928893
20260810	20260810	featured	15:00	801676k	地产链	801676k	地产链	525514501	430629421	171	1.997	0.17809179039411188	2950806995859	515341155	113	5174495920	-4648981419
20260810	20260810	featured	15:00	801909k	可转债	801909k	可转债	499749307	17623605	-20	-0.202			492823308	0	8226610189	-7726860882
20260810	20260810	featured	15:00	801033k	国有企业	801033k	国有企业	497638089	153515401	145	1.644	0.013180457856759895	37755751310625	506516707	0	10248828445	-9751190356
20260810	20260810	featured	15:00	801070k	光伏	801070k	光伏	473863127	16541582	1266	1.166	0.04093732016090973	11575333342227	471448794	126	21060669205	-20586806078
20260810	20260810	featured	15:00	801220k	食品饮料	801220k	食品饮料	472203204	20260511	2557	2.775	0.1876285518575587	2516691619293	475026311	0	4236973748	-3764770544
20260810	20260810	featured	15:00	801694k	非金属材料	801694k	非金属材料	430911338	302060223	72	0.726	0.349096451710005	1234361838653	444890595	0	8573583455	-8142672117
20260810	20260810	featured	15:00	801165k	氢能源	801165k	氢能源	408769124	34525254	112	1.301	0.04376851666260751	9339341498617	401058062	83	4183789250	-3775020126
20260810	20260810	featured	15:00	801580k	发电机	801580k	发电机	401545067	43160158	169	1.694	0.6188390844734823	648868303691	401581025	0	2298358591	-1896813524
20260810	20260810	featured	15:00	801829k	低空经济	801829k	低空经济	380203018	16244977	49	1.163	0.07340139716826188	5179779032386	372404297	124	2688144570	-2307941552
20260810	20260810	featured	15:00	801046k	医疗器械	801046k	医疗器械	354070311	37301294	-341	1.363	0.08320946330791014	4255168786389	350631491	0	5853664243	-5499593932
20260810	20260810	featured	15:00	801376k	健康中国	801376k	健康中国	352477609	300536437	136	1.568	0.24654502748730933	1429668294641	350708573	0	785175945	-432698336
20260810	20260810	featured	15:00	801843k	商业航天	801843k	商业航天	329534954	14392587	12	0.665	0.03320478860377362	9924320191653	333096598	347	4691813308	-4362278354
20260810	20260810	featured	15:00	801635k	平台经济	801635k	平台经济	294332451	157886127	190	2.129	0.05520144114759963	5331970413834	285878073	0	5274290154	-4979957703
20260810	20260810	featured	15:00	801177k	无人机	801177k	无人机	291841463	62043950	100	1.191	0.059949676469573186	4868107389172	291543032	0	2838087440	-2546245977
20260810	20260810	featured	15:00	801012k	钢铁	801012k	钢铁	257653648	132475880	163	1.63	0.2981883838141746	864063330383	280274301	0	3202476170	-2944822522
20260810	20260810	featured	15:00	801027k	银行	801027k	银行	255056523	182437508	56	0.568	0.025818892615392806	9878677865833	257175185	42	8799214756	-8544158233
20260810	20260810	featured	15:00	801330k	旅游	801330k	旅游	246685240	175908432	1199	1.999	0.2374869377147346	1038731824048	247968628	43	1319072950	-1072387710
20260810	20260810	featured	15:00	801464k	农业	801464k	农业	237007462	192468939	2740	2.471	0.05908101017499361	4011567529025	237877074	0	6041255851	-5804248389
20260810	20260810	featured	15:00	801654k	眼科医疗	801654k	眼科医疗	227604699	34580323	525	1.949	0.306148497801862	743445421533	229783873	0	850469258	-622864559
20260810	20260810	featured	15:00	801375k	新材料概念	801375k	新材料概念	206515327	354069382	86	1.1	0.04136748213393348	4992214085725	210119215	0	7899729674	-7693214347
20260810	20260810	featured	15:00	801052k	环保	801052k	环保	187600367	-4741104	616	1.818	0.058336274371215	3215844155666	192023167	0	3483320242	-3295719875
20260810	20260810	featured	15:00	801350k	一带一路	801350k	一带一路	184367563	110191272	633	1.52	0.013098100968569323	14075900273056	177906915	82	3740925107	-3556557544
20260810	20260810	featured	15:00	801053k	零售	801053k	零售	182797559	28559629	697	2.167	0.08229318841601026	2221296349291	186375357	0	1951140187	-1768342628
20260810	20260810	featured	15:00	801511k	新型工业化	801511k	新型工业化	174259438	-132727881	825	0.867	0.02016379439316652	8642194747783	195525965	0	7754892022	-7580632584
20260810	20260810	featured	15:00	801445k	元器件	801445k	元器件	172462375	919114976	231	0.317	0.06404177820014438	2692966682796	196236180	325	23769016434	-23596554059
20260810	20260810	featured	15:00	801080k	煤炭	801080k	煤炭	165348049	-29805560	469	1.908	0.06794309531614298	2433625495433	142059231	0	4687451936	-4522103887
20260810	20260810	featured	15:00	801128k	国产软件	801128k	国产软件	164842194	150224166	-187	0.715	0.07125925606306208	2313274135982	142537596	0	3218635176	-3053792982
20260810	20260810	featured	15:00	801321k	广电网	801321k	广电网	154669954	83521757	138	1.761	0.7982883181992182	193751994704	151219693	0	509430405	-354760451
20260810	20260810	featured	15:00	801493k	光储充一体化	801493k	光储充一体化	148610062	21798519	127	1.818	0.7693828071916805	193154903659	150400369	0	706777756	-558167694
20260810	20260810	featured	15:00	801123k	服装家纺	801123k	服装家纺	125758372	59022959	727	2.331	0.1944076925943894	646879608115	130944934	0	1398720610	-1272962238
20260810	20260810	featured	15:00	801019k	物流	801019k	物流	112620049	-21023422	143	1.526	0.03028203779847928	3719037990424	113280502	0	1646848096	-1534228047
20260810	20260810	featured	15:00	801148k	碳中和	801148k	碳中和	111614649	32603041	126	1.387	0.020604436565241233	5417020195946	105741016	0	1421924459	-1310309810
20260810	20260810	featured	15:00	801082k	ST摘帽	801082k	ST摘帽	111023117	16264389	553	1.59	0.3073345495054586	361245155088	112100514	0	1045184109	-934160992
20260810	20260810	featured	15:00	801358k	大飞机	801358k	大飞机	102252398	77164327	624	1.244	0.04552377207953313	2246131929080	105917144	46	1356628185	-1254375787
20260810	20260810	featured	15:00	801153k	创投	801153k	创投	100444629	-22603360	121	1.445	0.029823429747974604	3367977118957	82999487	0	1466365156	-1365920527
