GroupID	FileCount	TotalKB	SHA256	Top10Paths
1	4	127.96	B0DDBF3C2DCB0D97E3795BDEF342D0A643EAEA0C2EA5B13611A078E191927A6A	D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\东财分时图.html|D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\分时买卖单.html|D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\大单资金分时图.html|D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\底栏调用2.html
2	2	91.48	AAFAE9D43BCC7B1072E624AC7392913A193BA4D585AABEB9B6A069E21A637559	D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\HGPlugins\transaction\RES\Zyy\zyy\html\dssg.html|D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\HGPlugins\transaction\RestorePoint\zyy\html\dssg.html
3	2	31.22	2CE9440C192FAC8AB695D4F71CCFEFBBAB617B45A701980666BF46FCE71919A8	D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\HGPlugins\transaction\RES\Zyy\zyy\html\gznhg.html|D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\HGPlugins\transaction\RestorePoint\zyy\html\gznhg.html
4	2	9.94	DE1D9E964301D2317712304E868E4A09AE5070D1A7E62B7A7E9F89BF674D801D	D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\通达信F11.html|D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\pages\通达信F11.html
5	2	20.12	6A025119B2ED39E773F0DCA1065D46733DBEC7CDF2D7FAEDFD5DD21FB385AE35	D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\龙头股.html|D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\pages\龙头股.html
6	2	2.62	928980DA30881453E8EE8FE6E70715B41AC4833428CFFF800DD3A06EE14A7827	D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\HGPlugins\transaction\RES\Zyy\zyy\comm\calendar\My97DatePicker.htm|D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\HGPlugins\transaction\RestorePoint\zyy\comm\calendar\My97DatePicker.htm
7	2	3.7	DCDBB52CDFA7D35437AE180EA45CA7AE092F1372AB67234FD7E2FEAC04C391C0	D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\webs\cfg\twap.html|D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\webs\cfg\twap_mc.html
8	2	3.7	6F83725EF0CA4B59F047C2C096A4C7B57598911C1FBB0EDB8130BE5ABD5CB1ED	D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\webs\cfg\vwap.html|D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\webs\cfg\vwap_mc.html
9	2	3.8	8104B69A73272436A3EB6E55995F89CF3EA26571FBC5BD387FA617B77E18C3F5	D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\webs\cfg\bsmm.html|D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\webs\cfg\bsmr.html
10	2	175.08	EE154D7657E86C5A8880E3B91EBD850F62E335ADC333B4E9068F7BADE10BF088	D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\HGPlugins\transaction\RES\Zyy\zyy\html\xgsg.html|D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\HGPlugins\transaction\RestorePoint\zyy\html\xgsg.html
11	2	35.68	A4829ED222A848EF329D0AC5EC7C79CB8F78C924A98BB055292E6458798F17DD	D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\HGPlugins\transaction\RES\Zyy\zyy\html\xgzq.html|D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\HGPlugins\transaction\RestorePoint\zyy\html\xgzq.html
12	2	50.02	89B875C782A0ED81ABD4ACD0292072D4DD02EA41A06EC19BA906BEC01FB2E07E	D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\东财K线+资金图.html|D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\pages\东财K线+资金图.html
13	2	34.48	5BD896571F7557CA80B532E01BC8970C0C67290E47F7461F3691CD85B7FE6CCE	D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\复盘.html|D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\pages\复盘.html
