RepresentativePath	SizeKB	SHA256	DupCount
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000001.html	2.56	9B131970E856E0DD3E9CB22031F76493A8A9EDA26CB99EC52CB51E5144714171	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000002.html	6.19	F74E303A644DCC3EE1462B5692A2DC6CE6695156B0C2E2FEB3E0EF02D32A2D57	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000004.html	12.45	A3B1F46BC8EDB9EC80552FB91B8400E750474CC370A8FD4C8DD70F76B89D4FB6	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000005.html	3.59	787C66FC8EC35A435D56795B13FE29EA8FA9A58171931FFF14F5135680B8CB93	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000006.html	10.3	BAD4D8D2504556B88AFB683C7D5ED161485067DBE7407FA6F2E68B063D974FF4	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000007.html	5.38	9212A73CB9309023AFE9F1A6B952BD3F7855DED162C1BC6470D531DC3787D254	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000008.html	12.97	AD2D927BB69116C4305287E3652C82924E1A86F7E3209FA149471ECE275A27B2	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000009.html	9.1	E1C834E6DB1D8F9D9E77C575829B3EB2266D619C0F86402D4DBC51C72D44CEE2	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000010.html	8.59	C591CE7FB256A5792291CD0FD95B2764BD4DD90389C5DB0E5603826FE317D3F9	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000011.html	9.91	893687EBE21A0F0FA047A0A05D5F5257B55DB093CE50197433562617AC52E3E3	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000012.html	8.98	C9AA333C1A74BA241652036F249470B10BA0C86196D2271B7EAA25EF89972AD1	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000014.html	9.13	5416CB2CDA51AE551CC316B3BF884B6E6189EC9FA1448D6B29F9EA8077D17C05	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000016.html	13.17	C132BCA9B61F1C0C2EE9B75F7AF46E5A55E3E0982B9713D691863C9121909933	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000017.html	8.13	8B7956F4E4CF64B001E7E2ECD51B0A5098450994D1974AC2C6DE74BB7C8289AC	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000019.html	7.97	AB9FA5BC2D0E923F6AFCCE0A14D4B5D572943E8EA8710CE6FF308CB8EE42DFFD	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000020.html	8.83	F875DFFC2DFF59C77C8526465ACA00C7AB6FEA39C4640C362BDD3A018B831A86	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000021.html	8.33	7862A111BEBD84507B5062ED9D9AD78987A9A0B947D4DF400B12E29D9F2CA203	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000023.html	6.37	61DE7946A8E671936FFEB0F413736BAB081B45AB6204B093779547E5E66EC728	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000025.html	9.43	AEE6D80CB519084AA3D00DC4FFD99E68B3AC61CB4AB15C167D9E5003CE9D1E7E	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000026.html	9.5	B490526C7E0D1AECE3879D7F25C5F88F5F3F29835739158F840DC0E579C9D45C	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000027.html	6.16	DDB517F100C15AFDFF3A82D00CF9BCD6ED3EF6E89F21208AC5FB557D2BAE4B50	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000028.html	7.78	85D55A548320EAAF04C9646FF13BFC552C27E2B18B5ACA3023255BA95734768B	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000029.html	7.36	F6FFF0F81C7E55BFAA6A86D323688E1D5790F236F46D6AB0ABB7716EFD0812D1	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000030.html	6.92	CC97BEED2AA979395139FDCB60A0507A0434211086BA7CC8465E4A45683E111C	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000031.html	8.24	3AB1AA78B27FDED6ED617E4512CC50C3EA3E33CAC3C73F52F116F7232A607937	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000032.html	8.75	D5844305AC453B5A957BDA8CDD640798F3CA00C4B755E4FE8682415AD7BB035E	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000034.html	10.9	7A537B16764D44B2B0C6F25D687DE6B642AB309FBB0F73CEC4EA0F0B98E163F4	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000035.html	10.55	5BACB80CD5E13798A28FB5CF6E14EC9387344DE4B37ED5E0C1D55AB798FF9BFB	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000036.html	6.53	07EBB0F43D5248C772413BDAC201F29D8B79B19734D810F9B28CE9D5E627F524	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000037.html	12.93	00050F31163058BF29E1E77452AF8A702998326DF0BDB5130A8EAA669AC4F2F3	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000038.html	6.1	AC345A096F81EAD103143B351D327F071BD4A1D1F379DC381CD52DEB689946E0	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000039.html	4.8	56BBE82839DF39FB1085EE6968355AE3E3E59F991C178BD872B8F0B7BCCA8270	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000040.html	9.93	34263E83E85AE31553D585F8323E07FD884695618401B6DC2820F7AC276B354A	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000042.html	9.09	9E14B4A0DC9F17498CC8A8FBFA698CE218A1AA263BD14DE1DBCC37CA2D97DD27	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000045.html	9.79	BCF0BC11878D5F0A7475D05F80DFC5F540BFE068B2F13AB2C7AEF70390BD8D8E	1
D:\Stock\trading_assistant\10_source_library_archive\batch_149_tdx_custom_terminal_external_folder_absorb__20260719\00_raw_snapshot\from_temp_staging__20260806\羽搧綸巾   经典酷黑   灵动版\company\ZTYY\000046.html	8.06	523BC2AD4C4383DE441BD6EC8F3590984AA5CAE3D2D19C9190B185CA19A8CC69	1
