entry_type	entry_path	current_role	default_entry	notes
INDEX_NOTE	10_source_library_archive/batch_100_non_kimi_public_methods_boundary__20260707/README.md	batch_boundary_entry	yes	先看本批 README，再决定走 raw snapshot 还是稳定 bundle
INDEX_NOTE	10_source_library_archive/batch_100_non_kimi_public_methods_boundary__20260707/public_methods_boundary_manifest__20260713.tsv	batch_boundary_manifest	no	本批 manifest；用于追溯 raw snapshot 与稳定 bundle 的绑定关系
INDEX_NOTE	D:\Stock\trading_assistant\10_source_library_archive\_raw_snapshot_batch09\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\README.md	raw_snapshot_entry	no	原始边界说明入口
INDEX_NOTE	10_source_library_archive/_raw_snapshot_batch09/10_来源库_SOURCE_LIBRARY/00_外部公开资料与方法论参考/INDEX_phase1_v1.md	raw_snapshot_index	no	raw snapshot 默认索引入口
INDEX_NOTE	10_source_library_archive/_raw_snapshot_batch09/10_来源库_SOURCE_LIBRARY/00_外部公开资料与方法论参考/SECOND_HOP_TRACK_INDEX_v1.md	second_hop_track_index	no	second-hop 轨道索引；适合先看 Batch9/NFTRADEZ/Smile_SMC/残余区四条线
INDEX_NOTE	10_source_library_archive/_raw_snapshot_batch09/10_来源库_SOURCE_LIBRARY/00_外部公开资料与方法论参考/PROMOTED_BUNDLE_STATUS_v1.tsv	second_hop_bundle_status	no	second-hop 提升状态表；适合看 raw scope 到 batch_107/108/109 的关系
INDEX_NOTE	10_source_library_archive/_raw_snapshot_batch09/10_来源库_SOURCE_LIBRARY/00_外部公开资料与方法论参考/minimal_relocation_candidates_v1.tsv	minimal_relocation_map	no	最小搬迁候选清单
INDEX_NOTE	10_source_library_archive/_raw_snapshot_batch09/10_来源库_SOURCE_LIBRARY/00_外部公开资料与方法论参考/01_外部公开指标资料_Batch9/README.md	second_hop_entry	no	Batch9 二级入口；适合看字段索引、P0 总表和重开入口
INDEX_NOTE	10_source_library_archive/_raw_snapshot_batch09/10_来源库_SOURCE_LIBRARY/00_外部公开资料与方法论参考/02_外部视频与方法论参考/README.md	second_hop_entry	no	视频方法论二级入口；适合分流 NFTRADEZ 与 Smile_SMC
INDEX_NOTE	10_source_library_archive/batch_107_non_kimi_public_batch9_bundle__20260707/README.md	stable_bundle_entry	no	Batch9 公开资料稳定 bundle
INDEX_NOTE	10_source_library_archive/batch_108_non_kimi_nftradez_method_bundle__20260707/README.md	stable_bundle_entry	no	NFTRADEZ 方法参考 bundle
INDEX_NOTE	10_source_library_archive/batch_109_non_kimi_smile_smc_method_bundle__20260707/README.md	stable_bundle_entry	no	Smile_SMC 方法参考 bundle
