entry_type	entry_path	current_role	default_entry	notes
INDEX_NOTE	10_source_library_archive/batch_101_non_kimi_atomic_rules_boundary__20260707/README.md	batch_boundary_entry	yes	先看本批 README，再决定走 raw snapshot 还是提升后的对象包
INDEX_NOTE	D:\Stock\trading_assistant\10_source_library_archive\_raw_snapshot_batch09\10_来源库_SOURCE_LIBRARY\02_原子化拆解文件\README.md	raw_snapshot_entry	no	原始边界说明入口
INDEX_NOTE	10_source_library_archive/_raw_snapshot_batch09/10_来源库_SOURCE_LIBRARY/02_原子化拆解文件/INDEX_phase1_v1.md	raw_snapshot_index	no	raw snapshot 默认索引入口
INDEX_NOTE	10_source_library_archive/_raw_snapshot_batch09/10_来源库_SOURCE_LIBRARY/02_原子化拆解文件/RULE_FAMILY_INDEX_v1.md	second_hop_rule_index	no	规则家族 second-hop；适合先分组看残余规则卡
INDEX_NOTE	10_source_library_archive/_raw_snapshot_batch09/10_来源库_SOURCE_LIBRARY/02_原子化拆解文件/PROMOTED_OBJECT_STATUS_v1.tsv	second_hop_object_status	no	对象提升状态表；适合看 raw snapshot 与 batch_102~106 的关系
INDEX_NOTE	10_source_library_archive/_raw_snapshot_batch09/10_来源库_SOURCE_LIBRARY/02_原子化拆解文件/minimal_relocation_candidates_v1.tsv	minimal_relocation_map	no	最小搬迁候选清单
INDEX_NOTE	10_source_library_archive/batch_102_non_kimi_atomic_kd_mtf_bundle__20260707/README.md	promoted_bundle_entry	no	KD_MTF 对象包入口
INDEX_NOTE	10_source_library_archive/batch_103_non_kimi_atomic_rsj_state_bundle__20260707/README.md	promoted_bundle_entry	no	RSJ 状态包入口
INDEX_NOTE	10_source_library_archive/batch_104_non_kimi_atomic_pv_corr_bundle__20260707/README.md	promoted_bundle_entry	no	PV Corr 状态包入口
INDEX_NOTE	10_source_library_archive/batch_105_non_kimi_atomic_four_axis_state_bundle__20260707/README.md	promoted_bundle_entry	no	四轴状态包入口
INDEX_NOTE	10_source_library_archive/batch_106_non_kimi_atomic_vantharp_r_bundle__20260707/README.md	promoted_bundle_entry	no	Van Tharp R 包入口
