data_name	necessity	scope	current_state	preferred_source	fallback_source	degrade_action	acceptance_check	note
daily_ohlcv_adjusted	MUST	all_core_cards	unknown	local_data_or_akshare	tushare_or_baostock	block_all_backtests	columns_exist_and_len_gte_252	基础输入
weekly_ohlcv	MUST	kd_mtf_ytc_chzl	derivable	from_daily_ohlcv	none	block_dependent_cards	resample_ok_and_last_close_match	默认从日线合成
minute_ohlcv_60m	SHOULD	ytc_vp_tk	unknown	local_data_or_tushare	derive_none	degrade_to_daily_weekly_only	len_gte_200_or_skip_intraday	先看关注池
minute_ohlcv_5m	SHOULD	vp_volfac_intraday	unknown	local_data_or_tushare	none	degrade_to_daily_only	len_gte_240_or_skip_intraday	用于VP/LVN与高频波动
money_flow	MUST_FOR_MFLOW	mflow	unknown	wind_or_ifind	akshare_fund_flow	skip_mflow_card	core_fields_not_null	MFLOW 条件激活
level2_ticks	NICE_ATRATIO	atratio	unknown	paid_l2	none	park_in_future_bucket	if_missing_ok	当前不进核心
institutional_holdings	SHOULD	instb	unknown	wind_or_f10	akshare	skip_instb_execution	quarterly_fields_exist	方法层
chanlun_strokes_zs	MUST_FOR_CHZL	chzl_bsd	unknown	existing_code_or_recompute	open_source_chanlun	skip_chzl_and_use_bpb_ytc	fields_exist_and_sequence_valid	结构层关键依赖
chanlun_divergence	MUST_FOR_CHZL	chzl_bsd	unknown	from_chanlun_series	none	skip_chzl_signal	bc_fields_exist	依赖笔中枢
trade_log	MUST_FOR_KELLY	kelly	unknown	backtest_exports	none	use_default_half_kelly	len_gte_30_or_default	组合层可先降级
atr14	MUST	voltarget_chzl_tkr7	derivable	from_daily_ohlcv	none	block_dependent_cards	atr_non_null_after_warmup	基础指标
forex_ohlcv	SHOULD	tk_fx	unknown	dukascopy_or_oanda	mt5_export	skip_fx_module	columns_exist_and_len_gte_500	不影响A股核心
macro_5d_inputs	SHOULD	macro_daily_report	partial	paid_or_free_mix	manual_input	degrade_to_neutral_50	each_dimension_has_source_or_fallback	跨市场地基
