field_name	field_role	type	required	source_signal	minimal_definition
trade_id	id	string	yes	all	样本内唯一标识
signal_date	core_time	string	yes	all	信号日期
timing_signal_type	core_label	string	yes	all	择时信号类型
csi300_return	context_metric	number	no	market_consistency_r2	沪深300收益或区间收益
r2_value	core_metric	number	no	market_consistency_r2	市场一致性指标
r2_trend	context_label	string	no	market_consistency_r2	R²趋势方向
industrial_capital_net_value	core_metric	number	no	industrial_capital_flow	产业资本净增减持净值
rolling_increase_7d	context_metric	number	no	industrial_capital_flow	7日累计增持
rolling_decrease_7d	context_metric	number	no	industrial_capital_flow	7日累计减持
rolling_increase_14d	context_metric	number	no	industrial_capital_flow	14日累计增持
rolling_decrease_14d	context_metric	number	no	industrial_capital_flow	14日累计减持
rolling_increase_30d	context_metric	number	no	industrial_capital_flow	30日累计增持
rolling_decrease_30d	context_metric	number	no	industrial_capital_flow	30日累计减持
timing_signal_state	output_label	string	yes	all	择时状态标签
timing_bias	output_label	string	yes	all	择时偏向
hold_horizon_weeks	output_param	number	yes	all	建议持有周数
confidence_note	output_note	string	yes	all	置信与参数完备度说明
timing_model_state	output_state	string	yes	all	择时模型状态
proof_basis	output_note	string	yes	all	本行映射依据
