script_family	group_name	variable_name	ui_label	default_value	range_or_options	evidence_level	note
GainzAlgo	ATR Settings	atrLengthInput	ATR Length	14	1..100	source_code_visible	DEFAULT_ATR_LENGTH=14
GainzAlgo	ATR Bands Settings	showBandsInput	Show ATR Bands	true	bool	source_code_visible	default enabled
GainzAlgo	ATR Bands Settings	band1MultInput	Band 1 Multiplier	1.0	0.1..10.0	step=0.1	source_code_visible	closest band
GainzAlgo	ATR Bands Settings	band2MultInput	Band 2 Multiplier	2.0	0.1..10.0	step=0.1	source_code_visible	middle band
GainzAlgo	ATR Bands Settings	band3MultInput	Band 3 Multiplier	3.0	0.1..10.0	step=0.1	source_code_visible	outer band
GainzAlgo	Volatility Signals	showVolSignalsInput	Show Volatility Signals	true	bool	source_code_visible	default enabled
GainzAlgo	Volatility Signals	volThresholdInput	Volatility Threshold	1.5	0.5..5.0	step=0.1	source_code_visible	ATR 50% above average
GainzAlgo	Trend Detection	showTrendSignalsInput	Show Trend Signals	true	bool	source_code_visible	default enabled
GainzAlgo	Trend Detection	trendSmoothingInput	Trend Smoothing	21	unknown	source_capture_default_only	page-visible default summary
GainzAlgo	Regime Detection	enableRegimeDetection	Enable Regime Detection	true	bool	source_code_visible	default enabled
GainzAlgo	Regime Calculation	regimeBaselineLengthInput	ATR Baseline Length	50	20..200	source_code_visible	recommended 50-100
GainzAlgo	Regime Calculation	regimeBaselineTypeInput	Baseline Type	SMA	SMA|EMA	source_code_visible	balanced default
GainzAlgo	Regime Thresholds	compressionThresholdInput	Compression Threshold	0.70	0.3..0.9	step=0.05	source_code_visible	ATR 30% below baseline
GainzAlgo	Regime Thresholds	expansionThresholdInput	Expansion Threshold	1.15	1.0..1.5	step=0.05	source_code_visible	ATR 15% above baseline
GainzAlgo	Regime Thresholds	highVolThresholdInput	High Volatility Threshold	1.40	1.2..2.0	step=0.05	source_code_visible	ATR 40% above baseline
GainzAlgo	Regime Thresholds	exhaustionLookbackInput	Exhaustion Lookback	5	3..20	source_code_visible	declining ATR confirmation
GainzAlgo	Regime Visuals	showRegimeBackgroundInput	Show Regime Background	true	bool	source_code_visible	default enabled
GainzAlgo	Regime Visuals	showRegimeLabelInput	Show Regime Label	true	unknown	source_capture_default_only	page-visible default summary
GainzAlgo	Regime Visuals	regimeLabelPositionInput	Label Position	Top Right	Top Left|Top Right|Bottom Left|Bottom Right	source_code_visible	label placement
GainzAlgo	Dynamic Stop Loss	enableDynamicSL	Enable Dynamic Stop Loss	true	bool	source_code_visible	default enabled
GainzAlgo	Dynamic Stop Loss	slMultiplierInput	Stop Loss ATR Multiplier	2.0	0.5..5.0	step=0.1	source_code_visible	stop distance
GainzAlgo	Dynamic Stop Loss	showSLLinesInput	Show SL Lines	true	bool	source_code_visible	default enabled
GainzAlgo	Take Profit Levels	enableMultipleTP	Enable Multiple TP Levels	true	bool	source_code_visible	default enabled
GainzAlgo	Take Profit Levels	tp1MultiplierInput	TP1 Multiplier	1.5	0.5..5.0	step=0.1	source_code_visible	first scale-out
GainzAlgo	Take Profit Levels	tp2MultiplierInput	TP2 Multiplier	2.5	1.0..10.0	step=0.5	source_code_visible	second scale-out
GainzAlgo	Take Profit Levels	tp3MultiplierInput	TP3 Multiplier	4.0	2.0..15.0	step=0.5	source_code_visible	final target
GainzAlgo	Take Profit Levels	showTPLabelsInput	Show TP Labels	true	bool	source_code_visible	default enabled
GainzAlgo	Support & Resistance	enableSRLevels	Enable S/R Levels	true	bool	source_code_visible	default enabled
GainzAlgo	Support & Resistance	srLookbackInput	S/R Lookback Period	20	10..100	source_code_visible	short-term default
GainzAlgo	Support & Resistance	srStrengthInput	S/R Strength (ATR)	1.5	0.5..3.0	step=0.1	source_code_visible	level significance
GainzAlgo	Risk Management	enableRiskCalc	Enable Risk Calculator	true	bool	source_code_visible	default enabled
GainzAlgo	Risk Management	accountSizeInput	Account Size	10000	min=100	source_code_visible	account sizing default
GainzAlgo	Risk Management	riskPercentInput	Risk Per Trade (%)	1.0	0.1..10.0	step=0.1	source_code_visible	conservative default
GainzAlgo	Risk Management	showPositionSizeInput	Show Position Size	true	bool	source_code_visible	default enabled
GainzAlgo	ATR Percentile	enableATRPercentile	Enable ATR Percentile	true	bool	source_code_visible	default enabled
GainzAlgo	ATR Percentile	percentileLookback	Percentile Lookback	100	50..500	source_code_visible	historical comparison window
GainzAlgo	ATR Percentile	showPercentileLabel	Show Percentile Label	true	bool	source_code_visible	default enabled
GainzAlgo	Volatility Contraction	enableVolContraction	Enable Contraction Pattern	true	bool	source_code_visible	default enabled
GainzAlgo	Volatility Contraction	contractionBars	Contraction Bars	7	3..20	source_code_visible	one-week consolidation
